# 使用中の単字 = 2260字 / 使用中の master表示 = 5362種
# ★候補にしてよいのは この一覧に載っている字のみ。載っていない字は使わない。

## [A] 生物に使われている字(最近縁字を選ぶ際の第一候補)
字	語根数	既に割り当てられている代表例(語根=語釈)
萝	6(生物5)	karot={Ｂ}【植】ニンジン（人参） / rafan={Ｂ}【植】ダイコン（大根）（種）;【植】ダ / rap={Ｏ}【植】カブ,カブラ（蕪）（種） / ananas={Ｏ}【果】パイナップル / jakv=【植】【PIV】Frukto (s^ajnf
鲸	7(生物5)	balen={Ｏ}【動】クジラ;セミクジラ / cetac=【動】クジラ類,>>baleno,>>mak / ork=【動】シャチ（鯱）（種） / narval=【動】イッカク（一角） / kac^alot=【動】マッコウクジラ（抹香鯨，種）,=mak
鹅	6(生物5)	cign={Ｂ}【鳥】ハクチョウ（白鳥）;《転》詩聖 / anser={Ｂ}【鳥】ガチョウ（鵞鳥）;《転》まぬけ者 / sfenisk=【動】【PIV】G. (Genro) (Sp / amanit=【菌】テングタケ（天狗茸）,ベニテングタケ / pingven={Ｏ}【鳥】ペンギン（科の総称）
鹦	6(生物5)	psitak=【動】【PIV】Papago (unuspe / nau^til=【動】オウムガイ（属） / kakatu=【鳥】バタンインコ,オウム（属）,>>pap / konur=【鳥】=papageto（インコ）;（特に） / ara=【鳥】コンゴウインコ（属）
虎	5(生物5)	tigr={Ｂ}【動】トラ（虎） / lacert={Ｂ}【動】トカゲ（類）;【動】コモチカナヘ / karis=【植】【PIV】G. (Genro) (Ca / ork=【動】シャチ（鯱）（種） / gobius=【魚】ハゼ（科の総称）;ゴビウス（属）
蝉	8(生物5)	cikad={Ｂ}【虫】セミ（蝉） / fulgor=【動】【PIV】G. (Genro) (Fu / cukcukcikad=《Ｎ》【虫】ツクツクボウシ（speco de / kanacikad=《Ｎ》【虫】ヒグラシ（speco de ci / mincikad=《Ｎ》【虫】ミンミンゼミ（speco de 
莲	5(生物5)	lotus={Ｂ}【植】ハス（蓮）,スイレン（睡蓮）;【 / anemon={Ｏ}【植】アネモネ / barbaden=【植】【PIV】1 Sp. (Specio) / nimfe=【植】スイレン（睡蓮）（属）,=akvoli / nelumb=【植】【PIV】G. (Genro) (Ne
豹	5(生物5)	fok={Ｏ}【動】ゴマフアザラシ（属）;《般》アザ / leopard={Ｏ}【動】ヒョウ（豹）,=pantero / panter={Ｏ}【動】ヒョウ（豹）（種）=leopar / gepard=【動】チーター,=c^asleopardo / jaguar={Ｏ}【動】ジャガー
子	54(生物4)	bazidi=【植】【PIV】Cilindra, klab / gimnosperm=【植】裸子の,裸子植物の / silen=【植】【PIV】G. (Genro) (Si / hiacint={Ｏ}【植】ヒアシンス（属）
心	33(生物4)	kardi=【貝】ヨーロッパザルガイ（食用の二枚貝）;【 / karpel=【植】【PIV】Florfolio, sur / pistak={Ｏ}【果】ピスタチオ（果実・種子） / sapot=【植】【PIV】1 Alia, nelegi
红	21(生物4)	arbut=【果】アルブツスの実（ヘビイチゴに似た赤く丸 / koc^=【動】【PIV】1 Sp. (Specio) / mangl=【果】マングローブ（の実） / rizofor=【植】【PIV】G. (Genro) (Rh
甘	9(生物4)	gliciriz={Ｏ}【植】カンゾウ（甘草）（属） / kamomil={Ｏ}【植】カミツレ,カミルレ（_Matri / batat=【植】サツマイモ（薩摩芋）（種）,甘藷（かん / patat=【植】=batato（サツマイモ）
体	39(生物4)	plastid=【生】【植】【PIV】Organeto de / celom=【動】【PIV】Korpa kavo c^e / molusk={Ｏ}【動】軟体動物 / korm=【植】【PIV】1 Vegeta korpo
石	49(生物4)	diant={Ｂ}【植】ナデシコ（属）,カーネーション, / erik={Ｏ}【植】エリカ（属）,ヒース / kokolit=【植】【PIV】1 G. (Genro) C / likopodi=【植】ヒカゲノカズラ（属）
茶	5(生物4)	te={Ｂ}茶,紅茶（茶葉および飲料）;【植】チャ / kameli={Ｏ}【植】ツバキ（椿，属） / mate={Ｏ}【植】マテチャ;【料】マテ茶 / sazank=《Ｎ》【植】サザンカ（山茶花）（specio
角	26(生物4)	ergot=【植】麦角（ばっかく）;【鳥】蹴爪（けづめ） / anten={Ｏ}【虫】触角;【通】アンテナ / karob={Ｏ}【果】イナゴマメ（の実） / poligon={Ｏ}【植】タデ（蓼）（属）;【数】多角形,
血	43(生物4)	vampir={Ｏ}吸血鬼;【動】チスイコウモリモドキ,> / hirud={Ｏ}【動】ヒル / dracen=【植】【PIV】G. (Genro) (Dr / skistosom=【動】【PIV】G. (Genro) (Sc
袋	6(生物4)	krop={Ｏ}【鳥】そ嚢（のう）;【病】=strum / makrop=【動】カンガルー（属）,>>kanguruo / marsupi=【動】【PIV】(marsupium) Ve / kanguru={Ｏ}【動】カンガルー（一般名）,>>mak
刺	15(生物4)	gasteroste=【魚】イトヨ（属）;トゲウオ,=dornfi / knid=【動】【PIV】Speco de c^elo / karis=【植】【PIV】G. (Genro) (Ca / notakant=【動】【PIV】G. (Genro) (No
冠	13(生物4)	krest={Ｂ}【動】（鳥の）とさか;（鳥の）羽冠;《 / korol={Ｏ}【植】花冠（かかん）,=petalar / egret=【鳥】冠羽（かんう）;【服】（帽子の）羽根飾 / kraks=【動】【PIV】G. (Genro) (Cr
葱	5(生物4)	cep={Ｂ}【料】玉ネギ;【植】タマネギ / alium=【植】【PIV】G. (Genro) (Al / ampelopraz=【植】【PIV】1 Kf. (Kultivo / pore={Ｏ}【植】リーキ（種）,ニラネギ（韮葱）,
核	19(生物4)	jugland={Ｏ}【果】クルミ（胡桃）;【植】クルミ（属 / drup=【植】石果（せきか）（ウメ、モモなど堅い核を / pekan=【植】【PIV】Speco de nukso / karj=【植】【PIV】G. (Genro) (Ca
龟	5(生物4)	testud={Ｂ}【動】カメ（亀）;【史】（古代ローマの / emid=【動】【PIV】Testudulo (Emy / keloni=【動】ウミガメ（科の総称）,=martest / karet=【動】【PIV】Mara testudulo
茎	7(生物4)	tig={Ｂ}【植】茎（くき）;（ピストンなどの）棒 / rizom=【植】根茎,地下茎 / kulm=【植】（麦などの）茎,>>tigo;《詩》= / korm=【植】【PIV】1 Vegeta korpo
枣	4(生物4)	daktil={Ｂ}【果】ナツメヤシ;【文】長短短格,強弱 / jujub=【果】ナツメ;【菓】（ナツメの香りを付けた） / zizif=【植】ナツメ（属）,>>jujubarbo / scil=【植】【PIV】G. (Genro) (Sc
