版	表面	見出し(raw)	行	語釈冒頭
学習者版	直角o	rekt/angul/o	L33575	{Ｂ}【数】直角,=orto
学習者版	离	for	L11592	{Ｂ}［副］遠くへ;離れて
学習者版	离	for-	L11594	{Ｂ}［副］遠くへ;離れて
学習者版	穿	tra	L40885	{Ｂ}［前］〜を通って,〜を貫いて;〜の端から端まで,〜中に;（時間的に）〜の間中
学習者版	穿	tra-	L40886	{Ｂ}［前］〜を通って,〜を貫いて;〜の端から端まで,〜中に;（時間的に）〜の間中
学習者版	穿刺i	punkci/i	L32741	［他］【医】穿刺（せんし）する
学習者版	穿刺i	tra/pik/i	L41210	［他］刺し通す,突き通す
学習者版	等势a	egal/potencial/a	L8130	【理】等ポテンシャルの,等電位の
学習者版	等势a	ekvipotencial/a	L47093	【理】【PIV】= egalpotenciala.
学習者版	群	-ar-	L2220	{Ｂ}［接尾辞］（同種のものの集団を示す）,>>arbaro,>>homaro
学習者版	群	ar	L61917	{Ｂ}［接尾辞］（同種のものの集団を示す）,>>arbaro,>>homaro
学習者版	肚肠o	trip/kolbas/o	L41446	【料】アンドゥイユ（臓物のソーセージ）
学習者版	肚肠o	anduj/o	L45013	【PIV】Porka tripkolbaso: fumaj^ita andujo.
学習者版	肝草o	hepat/herb/o	L14197	【植】=hepatiko（スハマソウ）
学習者版	肝草o	hepatik/o	L14198	【植】スハマソウ（属）,=hepatherbo
学習者版	胸骨o	brust/ost/o	L4508	【解】胸骨
学習者版	胸骨o	sternum/o	L37956	【解】胸骨
学習者版	自	mem	L24872	{Ｂ}［副］〜自身,〜自ら,〜そのもの;自分から,自発的に,おのずと
学習者版	自	mem-	L24873	{Ｂ}［副］〜自身,〜自ら,〜そのもの;自分から,自発的に,おのずと
学習者版	自治性o	au^tonom/ec/o	L2869	【政】自治,自治権
学習者版	自治性o	mem/reg/ec/o	L24975	自治;自制
学習者版	至	g^is	L13744	{Ｂ}［接］〜するまで
学習者版	至	g^is-	L13747	{Ｂ}［接］〜するまで
学習者版	船壁o	pavez/o	L29687	【海】舷墻（げんしょう）（上甲板舷側上の防壁）
学習者版	船壁o	s^ip/mur/o	L59982	【PIV】La vertikala parto de la s^ips^elo.
学習者版	船尾o	pou^p/o	L31539	【海】船尾,=s^ipvosto
学習者版	船尾o	s^ip/vost/o	L39296	船尾,とも,=pou^po
学習者版	花冠o	flor/kron/o	L11373	花の冠
学習者版	花冠o	korol/o	L19822	{Ｏ}【植】花冠（かかん）,=petalaro
学習者版	苦行o	asket/o	L2572	苦行者;禁欲主義者
学習者版	苦行o	sufer/ad/o	L38497	苦難,苦悩,受難
学習者版	草o	herb/o	L14219	{Ｂ}草;牧草,芝草;【植】草本
学習者版	草o	po/o	L62175	【地名】ポー川（イタリア）
学習者版	蝎鱼o	skorpi/fis^/o	L36976	【魚】フサカサゴ（属）,=skorpeno
学習者版	蝎鱼o	skorpen/o	L55133	【動】【PIV】G. (Genro) (Scorpaena) de fis^oj el la ord
学習者版	越	trans	L41078	{Ｂ}［前］〜の向こうに,〜を越えて
学習者版	越	trans-	L41079	{Ｂ}［前］〜の向こうに,〜を越えて
学習者版	过ᴾᴿ	preter	L31858	{Ｂ}［前］〜のそばを通って,〜を素通りして
学習者版	过ᴾᴿ	preter-	L31859	{Ｂ}［前］〜のそばを通って,〜を素通りして
学習者版	间	inter	L15641	{Ｂ}［前］〜の間に,〜の間で;〜の中にまじって
学習者版	间	inter-	L15642	{Ｂ}［前］〜の間に,〜の間で;〜の中にまじって
学習者版	雨云o	nimbus/o	L27578	【気】乱雲,=nimbostratuso;雨雲,>>pluvnubo
学習者版	雨云o	pluv/nub/o	L30931	雨雲
学習者版	食行o	mang^/ad/o	L24203	食事
学習者版	食行o	-mang^/ad/o	L57307	食事
学習者版	首柱o	c^ef/mast/o	L5343	【海】メインマスト,大檣（だいしょう）
学習者版	首柱o	steven/o	L37963	【海】船首材
学習者版	香草o	lavend/o	L21707	{Ｏ}【植】ラベンダー（属）
学習者版	香草o	spic/herb/o	L37611	【料】香辛料用野菜,香草,>>aromherbo
学習者版	马栗o	c^eval/kas^tan/o	L5479	【果】マロニエの実,ウマグリ
学習者版	马栗o	hipo/kas^tan/o	L14412	【植】マロニエ,セイヨウトチノキ,=c^evalkas^tano,>>eskulo##偽分解##過細
学習者版	马栗o	hipo/kastan/o	L49034	【植】【PIV】1 (ark. (arkaismo, arkaisme)) Alia nomo (H
学術版	一性a	unu/ec/a	L42127	統一的な,一致した,一貫した
学術版	一性a	monofizit/a	L52181	【PIV】Rilata al la monofizitoj: la monofizitaj ekle
学術版	一性o	unu/ec/o	L42129	統一性,一致,一貫性;単一性
学術版	一性o	monofizit/o	L52180	【キ】【PIV】Homo, kiu kredas, ke estas nur unu naturo 
学術版	一神主义o	unu/di/ism/o	L42123	【宗】一神論,一神教,=monoteismo
学術版	一神主义o	unitari/ism/o	L56609	【PIV】La doktrino de tiu skolo. Vd Socino.
学術版	三角a	tri/angul/a	L41325	三角形の
学術版	三角a	trigonometri/a	L56435	【PIV】Rilata al trigonometrio: trigonometriaj funkc
学術版	三角o	tri/angul/o	L41328	{Ｂ}【数】三角形
学術版	三角o	trigonometri/o	L41364	{Ｏ}【数】三角法
学術版	上	sur	L38830	{Ｂ}［前］〜の上に,〜の表面に;〜のところに
学術版	上	sur-	L38831	{Ｂ}［前］〜の上に,〜の表面に;〜のところに
学術版	上ˢᴾ	super	L38661	{Ｂ}［前］〜の上方に,〜の上に;〜に優越して;〜に熱中して
学術版	上ˢᴾ	super-	L38662	{Ｂ}［前］〜の上方に,〜の上に;〜に優越して;〜に熱中して
学術版	下	sub	L38216	{Ｂ}［前］〜の下に,下方に;〜の形をとって;〜に従って
学術版	下	sub-	L38217	{Ｂ}［前］〜の下に,下方に;〜の形をとって;〜に従って
学術版	不育化具o	sterilizator/o	L55431	【PIV】Aparato por sterilizi. Vd au^toklavo.
学術版	不育化具o	steril/iz/il/o	L55432	【PIV】Aparato por sterilizi. Vd au^toklavo.
学術版	不长a	ne/long/a	L27198	長くない,短めの
学術版	不长a	nelg/a	L52396	【PIV】Okazinta nelge.
学術版	不长e	ne/long/e	L27199	長くなく,少しの間
学術版	不长e	nelg/e	L52395	【PIV】Antau^ nelonge: en la tombejo, nelge, vi paro
学術版	东家o	orientalist/o	L28710	東洋通;東洋学者,>>orientologo
学術版	东家o	orient/ist/o	L28727	進路指導教員
学術版	个主义o	individualism/o	L15220	=individuismo（個人主義）
学術版	个主义o	individu/ism/o	L15226	個人主義
学術版	个家o	individualist/o	L15221	=individuisto（個人主義者）
学術版	个家o	individu/ist/o	L15227	個人主義者
学術版	中o	mez/o	L25283	{Ｂ}まん中,中央,中点;中間,中位,中ほど;最中,途中
学術版	中o	meso/o	L51937	【PIV】Tiu peritonea refaldo.
学術版	举具o	lev/il/o	L21948	【機】てこ,レバー;=levmas^ino,=levaparato
学術版	举具o	levator/o	L51407	【PIV】1 = elevatoro. 2 Nomo de diversaj muskoloj, k
学術版	乐家o	muzik/ist/o	L26557	音楽家
学術版	乐家o	optimist/o	L28555	{Ｏ}オプティミスト,楽天主義者;楽天家,><pesimisto
学術版	二倍a	du/obl/a	L7820	二倍の;二重の;二度の
学術版	二倍a	diploid/a	L46793	【PIV】= duploida.
学術版	二子叶oj	dikotiledon/oj	L46742	【植】【PIV】Dukotiledonoj.
学術版	二子叶oj	du/kotiledon/oj	L59452	【植】【PIV】Klaso (Dicotyledones) de angiospermoj kara
学術版	二形a	dimorf/a	L46764	【PIV】= duforma.
学術版	二形a	du/form/a	L58570	【PIV】Ekzistanta sub du formoj.
学術版	二形主义o	dimorf/ism/o	L46766	【PIV】= duformismo.
学術版	二形主义o	du/form/ism/o	L58572	【PIV】Fenomenaro rezultanta el duformeco.
学術版	二形性o	dimorf/ec/o	L46765	【PIV】= duformeco.
学術版	二形性o	du/form/ec/o	L58571	【地質】【理】【生】【PIV】Eco de substancoj au^ organismoj du
学術版	二色a	du/kolor/a	L7765	二色の,二色刷の
学術版	二色a	dikro/a	L46745	【地質】【理】【PIV】(pp (se paroli pri) neizotropa kristal
学術版	于	pri	L31940	{Ｂ}［前］〜について,〜に関して
学術版	于	pri-	L31941	{Ｂ}［前］〜について,〜に関して
学術版	五角o	kvin/angul/o	L21132	【数】五角形
学術版	五角o	pentagon/o	L29863	【数】五角形,=kvinangulo
学術版	以	per	L29895	{Ｂ}［前］〜で,〜を使って,〜によって,〜を介して
学術版	以	per-	L29896	{Ｂ}［前］〜で,〜を使って,〜によって,〜を介して
学術版	住所o	domicil/o	L7428	【法】（登録された）住所;本籍
学術版	住所o	log^/ej/o	L22458	住みか;住居;宿泊所,宿舎
学術版	侧柏o	tuj/o	L41754	【植】クロベ（黒檜）（属）
学術版	侧柏o	tujan/o	L56532	【化】【PIV】Simpla, unucikla monoterpeno, C 10 H 18, k
学術版	全a	c^ia	L5490	{Ｂ}［形］すべての,あらゆる,どんな〜でも
学術版	全a	integr/a	L15591	全部の,完全な,欠けたところのない;不可分の,不可欠の
学術版	全o	c^io	L5602	{Ｂ}［代］すべて（の事・物）
学術版	全o	integr/o	L49486	【PIV】integrado
学術版	八分o	ok/on/o	L28257	八分の一;【楽】八分音符
学術版	八分o	oktant/o	L28278	【数】八分円;【天】八分儀
学術版	六角a	heksagon/a	L48798	【PIV】= sesangula.
学術版	六角a	ses/angul/a	L57527	【理】【地質】【PIV】(pp (se paroli pri) kristalsistemo) Ha
学術版	六角o	ses/angul/o	L36384	【数】六角形
