語根A	面A	層A	FA	語根B	面B	層B	FB	字A	字B	IoU	blur	マーク差
rezon	推ᴿ	CSV2890	10	dimensi	维	CSV2890	6	推	维	0.490	0.950	あり
rond	圆	CSV2890	36	bed	圃	PEJVO	6	圆	圃	0.532	0.965	なし
cirkl	圆ᶜ	CSV2890	23	bed	圃	PEJVO	6	圆	圃	0.532	0.965	あり
his	升ᴴ	PEJVO	6	ŝalt	开	CSV2890	25	升	开	0.551	0.948	あり
rab	抢	CSV2890	28	pistol	枪ᴾ	PEJVO	6	抢	枪	0.507	0.972	あり
temperatur	温	CSV2890	12	eksces	滥	PEJVO	6	温	滥	0.462	0.943	なし
model	模	CSV2890	14	transvers	横ᵀ	PEJVO	6	模	横	0.492	0.964	あり
dimensi	维	CSV2890	6	vertebr	椎	PEJVO	7	维	椎	0.480	0.951	なし
piramid	锥ᴾ	PEJVO	6	vertebr	椎	PEJVO	7	锥	椎	0.487	0.969	あり
boben	圈	PEJVO	15	bed	圃	PEJVO	6	圈	圃	0.468	0.965	なし
eg^	棱	PEJVO	10	naved	梭	PEJVO	6	棱	梭	0.493	0.964	なし
sabat	土ˢ	CSV2890	5	kavalir	士	PEJVO	12	土	士	0.451	0.957	あり
jam	已	文法層	5	si	己	文法層	95	已	己	0.836	0.987	なし
jam	已	文法層	5	propr	己ᴾ	CSV2890	32	已	己	0.836	0.987	あり
jam	已	文法層	5	propriet	己ᴾᵀ	PEJVO	8	已	己	0.836	0.987	あり
flank	侧	CSV2890	83	gau^g^	测ᴳ	PEJVO	5	侧	测	0.591	0.969	あり
flank	侧	CSV2890	83	kusp	倒	PEJVO	5	侧	倒	0.517	0.955	なし
last	末	CSV2890	25	futur	未	PEJVO	5	末	未	0.630	0.973	なし
ĵet	投	CSV2890	67	servut	役	PEJVO	5	投	役	0.488	0.970	なし
spekul	投ˢ	PEJVO	7	servut	役	PEJVO	5	投	役	0.488	0.970	あり
kur	跑	CSV2890	63	citoz	胞ᶜᶻ	PIV	5	跑	胞	0.473	0.946	あり
agrabl	快	CSV2890	10	parcel	块ᴾ	PEJVO	5	快	块	0.518	0.951	あり
pend	挂	CSV2890	43	cinam	桂	CSV2890	5	挂	桂	0.484	0.975	なし
prunt	借	CSV2890	20	domaĝ	惜	CSV2890	5	借	惜	0.500	0.971	なし
brun	褐	CSV2890	28	denunc	揭ᴰ	CSV2890	5	褐	揭	0.466	0.973	あり
branĉ	枝	CSV2890	24	lice	校	CSV2890	5	枝	校	0.458	0.950	なし
verg	枝ⱽ	CSV2890	13	lice	校	CSV2890	5	枝	校	0.458	0.950	あり
preĝ	祈	CSV2890	18	zigzag	折ᶻ	PEJVO	5	祈	折	0.518	0.966	あり
zigzag	折ᶻ	PEJVO	5	analiz	析	CSV2890	13	折	析	0.520	0.960	あり
litr	升	CSV2890	7	inaŭgur	开ᴵ	CSV2890	5	升	开	0.551	0.948	あり
his	升ᴴ	PEJVO	6	inaŭgur	开ᴵ	CSV2890	5	升	开	0.551	0.948	あり
promoci	升ᴾ	PEJVO	9	inaŭgur	开ᴵ	CSV2890	5	升	开	0.551	0.948	あり
traduk	译	CSV2890	23	glace	泽	PEJVO	5	译	泽	0.565	0.950	なし
interpret	译ᴵ	CSV2890	12	glace	泽	PEJVO	5	译	泽	0.565	0.950	あり
termi	温ᵀᴿ	PEJVO	5	eksces	滥	PEJVO	6	温	滥	0.462	0.943	あり
put	井	CSV2890	9	aneks	并ᴬ	PEJVO	5	井	并	0.604	0.982	あり
alkohol	醇	CSV2890	22	ekstaz	醉ᴱᴷ	PEJVO	5	醇	醉	0.471	0.974	あり
s^ablon	模ˢ̂	PEJVO	5	palp	摸	CSV2890	11	模	摸	0.581	0.980	あり
s^ablon	模ˢ̂	PEJVO	5	horizontal	横	CSV2890	10	模	横	0.492	0.964	あり
s^ablon	模ˢ̂	PEJVO	5	transvers	横ᵀ	PEJVO	6	模	横	0.492	0.964	あり
moskit	蚊	CSV2890	5	formik	蚁	CSV2890	10	蚊	蚁	0.521	0.978	なし
pent	悔	CSV2890	12	kateh^iz	诲ᴷᴴ̂	PEJVO	5	悔	诲	0.639	0.954	あり
pent	悔	CSV2890	12	ume	梅	PEJVO	5	悔	梅	0.583	0.966	なし
prokrast	延	CSV2890	14	kuri	廷	PEJVO	5	延	廷	0.629	0.965	なし
persik	桃	CSV2890	5	provok	挑	CSV2890	7	桃	挑	0.578	0.980	なし
ran	蛙	CSV2890	8	ostr	蚌	PEJVO	5	蛙	蚌	0.543	0.970	なし
avantaĝ	优	CSV2890	6	angor	忧	PEJVO	5	优	忧	0.514	0.970	なし
ĉirkaŭ	围	文法層	71	stapl	囤	PEJVO	4	围	囤	0.487	0.963	なし
peri	围ᴾ	PEJVO	13	stapl	囤	PEJVO	4	围	囤	0.487	0.963	あり
sieg^	围ˢ	PEJVO	9	stapl	囤	PEJVO	4	围	囤	0.487	0.963	あり
grund	土	CSV2890	23	licenci	士ᴸ	PEJVO	4	土	士	0.451	0.957	あり
sabat	土ˢ	CSV2890	5	licenci	士ᴸ	PEJVO	4	土	士	0.451	0.957	あり
aŭ	或	文法層	4	abstin	戒	CSV2890	8	或	戒	0.483	0.962	なし
nur	仅	文法層	4	rit	仪	PEJVO	5	仅	仪	0.498	0.951	なし
tre	很	文法層	4	radik	根	CSV2890	41	很	根	0.614	0.974	なし
tre	很	文法層	4	arĝent	银	CSV2890	10	很	银	0.488	0.964	なし
tre	很	文法層	4	bank	银ᴮ	CSV2890	34	很	银	0.488	0.964	あり
flank	侧	CSV2890	83	test	测ᵀ	PEJVO	4	侧	测	0.591	0.969	あり
arde	鸟ᴬ	PEJVO	4	ebon	乌	PEJVO	8	鸟	乌	0.520	0.961	あり
skolop	鸟ˢ	PEJVO	4	ebon	乌	PEJVO	8	鸟	乌	0.520	0.961	あり
motacil	鸟ᴹᵀ	PEJVO	4	ebon	乌	PEJVO	8	鸟	乌	0.520	0.961	あり
alegr	快ᴬᴸ	PEJVO	4	blok	块	CSV2890	28	快	块	0.518	0.951	あり
alegr	快ᴬᴸ	PEJVO	4	parcel	块ᴾ	PEJVO	5	快	块	0.518	0.951	あり
somat	体ˢᵀ	PIV	4	ripoz	休	CSV2890	12	体	休	0.545	0.979	あり
