語根A	面A	層A	FA	語根B	面B	層B	FB	字A	字B	IoU	blur	マーク差
medal	牌	PEJVO	7	lien	脾	PEJVO	3	牌	脾	0.502	0.974	なし
bed	圃	PEJVO	6	akapar	囤ᴬ	PEJVO	3	圃	囤	0.544	0.960	あり
retrospektiv	顾	PEJVO	3	rezignaci	顺	PEJVO	3	顾	顺	0.525	0.968	なし
inter	间	文法層	235	anekdot	闻	CSV2890	2	间	闻	0.616	0.971	なし
sorp	木ˢ	PEJVO	2	taktik	术	CSV2890	3	木	术	0.680	0.969	あり
tili	木ᵀ	PEJVO	2	taktik	术	CSV2890	3	木	术	0.680	0.969	あり
kornus	木ᴷᴿ	PEJVO	2	taktik	术	CSV2890	3	木	术	0.680	0.969	あり
ro	木ᴿ	PIV	2	taktik	术	CSV2890	3	木	术	0.680	0.969	あり
koril	木ᴷᴵ	PIV	2	taktik	术	CSV2890	3	木	术	0.680	0.969	あり
as^ok	木ᴬˢ̂	PIV	2	taktik	术	CSV2890	3	木	术	0.680	0.969	あり
kobe	木ᴷᴮ	PIV	2	taktik	术	CSV2890	3	木	术	0.680	0.969	あり
perse	木ᴾ	PIV	2	taktik	术	CSV2890	3	木	术	0.680	0.969	あり
angostur	木ᴬˢ	PIV	2	taktik	术	CSV2890	3	木	术	0.680	0.969	あり
far	做	CSV2890	104	orgojl	傲ᴼ	PEJVO	2	做	傲	0.505	0.972	あり
ot	待	文法層	21	pag^i	侍ᴾ	PEJVO	2	待	侍	0.494	0.956	あり
ot	待	文法層	21	stevard	侍ˢ	PEJVO	2	待	侍	0.494	0.956	あり
atend	待ᴬ	CSV2890	15	pag^i	侍ᴾ	PEJVO	2	待	侍	0.494	0.956	あり
atend	待ᴬ	CSV2890	15	stevard	侍ˢ	PEJVO	2	待	侍	0.494	0.956	あり
kivi	鸟ᴷ	PEJVO	2	ebon	乌	PEJVO	8	鸟	乌	0.520	0.961	あり
perdrik	鸟ᴾᴰ	PEJVO	2	ebon	乌	PEJVO	8	鸟	乌	0.520	0.961	あり
sit	鸟ˢᴵ	PIV	2	ebon	乌	PEJVO	8	鸟	乌	0.520	0.961	あり
pluvi	鸟ᴾⱽ	PIV	2	ebon	乌	PEJVO	8	鸟	乌	0.520	0.961	あり
apterig	鸟ᴬᴾ	PIV	2	ebon	乌	PEJVO	8	鸟	乌	0.520	0.961	あり
kur	跑	CSV2890	63	celul	胞ᶜ	PEJVO	2	跑	胞	0.473	0.946	あり
renkont	遇	CSV2890	10	kompuls	逼	PIV	2	遇	逼	0.529	0.948	なし
vent	风	CSV2890	81	feniks	凤	PEJVO	2	风	凤	0.484	0.978	なし
stil	风ˢ	CSV2890	27	feniks	凤	PEJVO	2	风	凤	0.484	0.978	あり
tajfun	风ᵀ	CSV2890	2	feniks	凤	PEJVO	2	风	凤	0.484	0.978	あり
esk	风ᴱ	PEJVO	11	feniks	凤	PEJVO	2	风	凤	0.484	0.978	あり
anem	风ᴬ	PEJVO	3	feniks	凤	PEJVO	2	风	凤	0.484	0.978	あり
ventol	风ⱽᴸ	PEJVO	6	feniks	凤	PEJVO	2	风	凤	0.484	0.978	あり
som	体ˢᴹ	PIV	2	ripoz	休	CSV2890	12	体	休	0.545	0.979	あり
sat	饱	CSV2890	27	petard	炮ᴾ	PEJVO	2	饱	炮	0.536	0.947	あり
satur	饱ˢᴿ	PEJVO	14	petard	炮ᴾ	PEJVO	2	饱	炮	0.536	0.947	あり
propuls	推ᴾᴿ	PIV	2	dimensi	维	CSV2890	6	推	维	0.490	0.950	あり
inferenc	推ᴵ	PIV	2	dimensi	维	CSV2890	6	推	维	0.490	0.950	あり
propuls	推ᴾᴿ	PIV	2	vertebr	椎	PEJVO	7	推	椎	0.724	0.982	あり
inferenc	推ᴵ	PIV	2	vertebr	椎	PEJVO	7	推	椎	0.724	0.982	あり
roz	玫	CSV2890	35	razi	攻ᴿ	PIV	2	玫	攻	0.527	0.952	あり
vek	醒	CSV2890	13	glikol	醇ᴳ	PIV	2	醒	醇	0.482	0.963	あり
sobr	醒ˢ	CSV2890	7	glikol	醇ᴳ	PIV	2	醒	醇	0.482	0.963	あり
vitr	玻	CSV2890	53	eskarp	坡ᴱ	PEJVO	2	玻	坡	0.527	0.953	あり
glac	玻ᴳ	PEJVO	2	dekliv	坡	CSV2890	13	玻	坡	0.527	0.953	あり
glac	玻ᴳ	PEJVO	2	talus	坡ᵀ	PEJVO	3	玻	坡	0.527	0.953	あり
glac	玻ᴳ	PEJVO	2	eskarp	坡ᴱ	PEJVO	2	玻	坡	0.527	0.953	あり
vitre	玻ⱽᴱ	PIV	2	dekliv	坡	CSV2890	13	玻	坡	0.527	0.953	あり
vitre	玻ⱽᴱ	PIV	2	talus	坡ᵀ	PEJVO	3	玻	坡	0.527	0.953	あり
vitre	玻ⱽᴱ	PIV	2	eskarp	坡ᴱ	PEJVO	2	玻	坡	0.527	0.953	あり
bistr	褐ᴮˢ	PEJVO	2	rivel	揭	CSV2890	11	褐	揭	0.466	0.973	あり
bistr	褐ᴮˢ	PEJVO	2	denunc	揭ᴰ	CSV2890	5	褐	揭	0.466	0.973	あり
bistr	褐ᴮˢ	PEJVO	2	skorpi	蝎	CSV2890	7	褐	蝎	0.450	0.956	あり
vin	酒	CSV2890	68	asperg	洒	PEJVO	2	酒	洒	0.558	0.978	なし
bier	酒ᴮ	CSV2890	20	asperg	洒	PEJVO	2	酒	洒	0.558	0.978	あり
brand	酒ᴮᴺ	CSV2890	11	asperg	洒	PEJVO	2	酒	洒	0.558	0.978	あり
g^in	酒ᴳ̂	PEJVO	4	asperg	洒	PEJVO	2	酒	洒	0.558	0.978	あり
likvor	酒ᴸ	PEJVO	9	asperg	洒	PEJVO	2	酒	洒	0.558	0.978	あり
sake	酒ˢ	PEJVO	2	asperg	洒	PEJVO	2	酒	洒	0.558	0.978	あり
fot	拍	CSV2890	87	cipres	柏	PEJVO	2	拍	柏	0.622	0.973	なし
takt	拍ᵀ	CSV2890	17	cipres	柏	PEJVO	2	拍	柏	0.622	0.973	あり
ikt	拍ᴵ	PIV	2	cipres	柏	PEJVO	2	拍	柏	0.622	0.973	あり
branĉ	枝	CSV2890	24	teĥnik	技ᵀᴴ̂	CSV2890	2	枝	技	0.584	0.974	あり
verg	枝ⱽ	CSV2890	13	teĥnik	技ᵀᴴ̂	CSV2890	2	枝	技	0.584	0.974	あり
rabd	枝ᴿ	PIV	3	teĥnik	技ᵀᴴ̂	CSV2890	2	枝	技	0.584	0.974	あり
preĝ	祈	CSV2890	18	skand	析ˢ	PEJVO	2	祈	析	0.488	0.959	あり
akcident	祸	CSV2890	10	kaserol	锅ᴷˢ	CSV2890	2	祸	锅	0.495	0.959	あり
akcident	祸	CSV2890	10	marmit	锅ᴹ	PEJVO	2	祸	锅	0.495	0.959	あり
kontrol	检	CSV2890	33	dubel	栓ᴰ	PIV	2	检	栓	0.505	0.950	あり
ekzamen	检ᴱ	CSV2890	31	dubel	栓ᴰ	PIV	2	检	栓	0.505	0.950	あり
detekt	检ᴰ	PEJVO	12	dubel	栓ᴰ	PIV	2	检	栓	0.505	0.950	なし
inspekt	检ᴵᴺ	PEJVO	7	dubel	栓ᴰ	PIV	2	检	栓	0.505	0.950	あり
skrutini	检ˢ	PIV	2	kran	栓	CSV2890	9	检	栓	0.505	0.950	あり
skrutini	检ˢ	PIV	2	bolt	栓ᴮ	PEJVO	7	检	栓	0.505	0.950	あり
skrutini	检ˢ	PIV	2	rigl	栓ᴿ	PEJVO	7	检	栓	0.505	0.950	あり
skrutini	检ˢ	PIV	2	embol	栓ᴱ	PEJVO	3	检	栓	0.505	0.950	あり
skrutini	检ˢ	PIV	2	dubel	栓ᴰ	PIV	2	检	栓	0.505	0.950	あり
fald	折	CSV2890	36	skand	析ˢ	PEJVO	2	折	析	0.520	0.960	あり
rabat	折ᴿ	CSV2890	10	skand	析ˢ	PEJVO	2	折	析	0.520	0.960	あり
zigzag	折ᶻ	PEJVO	5	skand	析ˢ	PEJVO	2	折	析	0.520	0.960	あり
refrakt	折ᴿᶠ	PEJVO	14	skand	析ˢ	PEJVO	2	折	析	0.520	0.960	あり
plis	折ᴾ	PEJVO	3	skand	析ˢ	PEJVO	2	折	析	0.520	0.960	あり
dies	升ᴰ	PEJVO	2	ŝalt	开	CSV2890	25	升	开	0.551	0.948	あり
dies	升ᴰ	PEJVO	2	inaŭgur	开ᴵ	CSV2890	5	升	开	0.551	0.948	あり
dies	升ᴰ	PEJVO	2	apert	开ᴬ	PEJVO	4	升	开	0.551	0.948	あり
tepid	温ᵀᴾ	PEJVO	2	eksces	滥	PEJVO	6	温	滥	0.462	0.943	あり
kom	逗	CSV2890	9	retret	退ᴿᵀ	PEJVO	2	逗	退	0.518	0.961	あり
ŝerc	逗ˢ̂	CSV2890	13	retret	退ᴿᵀ	PEJVO	2	逗	退	0.518	0.961	あり
pioĉ	镐	CSV2890	5	manuskript	稿	CSV2890	2	镐	稿	0.545	0.961	なし
glikol	醇ᴳ	PIV	2	rav	醉	CSV2890	9	醇	醉	0.471	0.974	あり
glikol	醇ᴳ	PIV	2	ebri	醉ᴱ	CSV2890	11	醇	醉	0.471	0.974	あり
glikol	醇ᴳ	PIV	2	ekstaz	醉ᴱᴷ	PEJVO	5	醇	醉	0.471	0.974	あり
laŭb	棚ᴸ	CSV2890	2	kokos	椰	CSV2890	9	棚	椰	0.547	0.958	あり
barak	棚ᴮᴿ	PEJVO	2	kokos	椰	CSV2890	9	棚	椰	0.547	0.958	あり
markez	棚ᴹ	PEJVO	2	kokos	椰	CSV2890	9	棚	椰	0.547	0.958	あり
emigr	迁ᴱ	PIV	2	pedant	迂	PEJVO	3	迁	迂	0.498	0.969	あり
kul	蚊ᴷ	PEJVO	2	formik	蚁	CSV2890	10	蚊	蚁	0.521	0.978	あり
pent	悔	CSV2890	12	katekiz	诲	PEJVO	2	悔	诲	0.639	0.954	なし
rimors	悔ᴿ	PIV	2	katekiz	诲	PEJVO	2	悔	诲	0.639	0.954	あり
rimors	悔ᴿ	PIV	2	kateh^iz	诲ᴷᴴ̂	PEJVO	5	悔	诲	0.639	0.954	あり
rimors	悔ᴿ	PIV	2	ume	梅	PEJVO	5	悔	梅	0.583	0.966	あり
amator	好	CSV2890	8	stukac^	奸ˢ	PIV	2	好	奸	0.507	0.954	あり
hobi	好ᴴ	CSV2890	2	kokr	奸	PEJVO	3	好	奸	0.507	0.954	あり
hobi	好ᴴ	CSV2890	2	adult	奸ᴬ	PEJVO	8	好	奸	0.507	0.954	あり
hobi	好ᴴ	CSV2890	2	stukac^	奸ˢ	PIV	2	好	奸	0.507	0.954	あり
diletant	好ᴰ	PEJVO	4	stukac^	奸ˢ	PIV	2	好	奸	0.507	0.954	あり
kolumn	栏	CSV2890	2	dig	拦	PEJVO	6	栏	拦	0.546	0.963	なし
batrak	蛙ᴮ	PEJVO	2	ostr	蚌	PEJVO	5	蛙	蚌	0.543	0.970	あり
batrak	蛙ᴮ	PEJVO	2	mitul	蚌ᴹ	PEJVO	3	蛙	蚌	0.543	0.970	あり
elit	优ᴱ	PEJVO	2	angor	忧	PEJVO	5	优	忧	0.514	0.970	あり
optimum	优ᴼ	PEJVO	2	angor	忧	PEJVO	5	优	忧	0.514	0.970	あり
bovl	碗	CSV2890	4	pojn	腕	PEJVO	2	碗	腕	0.527	0.963	なし
kola	木ᴷᴸ	PEJVO	1	taktik	术	CSV2890	3	木	术	0.680	0.969	あり
gnet	木ᴳ	PEJVO	1	taktik	术	CSV2890	3	木	术	0.680	0.969	あり
viburn	木ⱽ	PEJVO	1	taktik	术	CSV2890	3	木	术	0.680	0.969	あり
evonim	木ᴱ	PEJVO	1	taktik	术	CSV2890	3	木	术	0.680	0.969	あり
magnoli	木ᴹᴳ	PEJVO	1	taktik	术	CSV2890	3	木	术	0.680	0.969	あり
terebint	木ᵀᴿ	PEJVO	1	taktik	术	CSV2890	3	木	术	0.680	0.969	あり
berberis	木ᴮ	PEJVO	1	taktik	术	CSV2890	3	木	术	0.680	0.969	あり
meli	木ᴹᴱᴸ	PEJVO	1	taktik	术	CSV2890	3	木	术	0.680	0.969	あり
neri	木ᴺᴿ	PEJVO	1	taktik	术	CSV2890	3	木	术	0.680	0.969	あり
fatsi	木ᶠᵀ	PEJVO	1	taktik	术	CSV2890	3	木	术	0.680	0.969	あり
ilici	木ᴵᴸ	PEJVO	1	taktik	术	CSV2890	3	木	术	0.680	0.969	あり
ailant	木ᴬᴵᴸ	PEJVO	1	taktik	术	CSV2890	3	木	术	0.680	0.969	あり
ardizi	木ᴬᴿᴰ	PEJVO	1	taktik	术	CSV2890	3	木	术	0.680	0.969	あり
eleagn	木ᴱᴬ	PEJVO	1	taktik	术	CSV2890	3	木	术	0.680	0.969	あり
jasmen	木ᴶˢ	PEJVO	1	taktik	术	CSV2890	3	木	术	0.680	0.969	あり
karpen	木ᴷᴬᴿᴾ	PEJVO	1	taktik	术	CSV2890	3	木	术	0.680	0.969	あり
kratag	木ᴷᴿᴬ	PEJVO	1	taktik	术	CSV2890	3	木	术	0.680	0.969	あり
osmant	木ᴼˢ	PEJVO	1	taktik	术	CSV2890	3	木	术	0.680	0.969	あり
stirak	木ˢᴵ	PEJVO	1	taktik	术	CSV2890	3	木	术	0.680	0.969	あり
fraksen	木ᶠˢ	PEJVO	1	taktik	术	CSV2890	3	木	术	0.680	0.969	あり
frangol	木ᶠᴳ	PEJVO	1	taktik	术	CSV2890	3	木	术	0.680	0.969	あり
oleandr	木ᴼᴸ	PEJVO	1	taktik	术	CSV2890	3	木	术	0.680	0.969	あり
oleastr	木ᴼᵀ	PEJVO	1	taktik	术	CSV2890	3	木	术	0.680	0.969	あり
tamarik	木ᵀᴬ	PEJVO	1	taktik	术	CSV2890	3	木	术	0.680	0.969	あり
hidrange	木ᴴᴰ	PEJVO	1	taktik	术	CSV2890	3	木	术	0.680	0.969	あり
hortensi	木ᴴᴼ	PEJVO	1	taktik	术	CSV2890	3	木	术	0.680	0.969	あり
zantoksil	木ᶻᴺ	PEJVO	1	taktik	术	CSV2890	3	木	术	0.680	0.969	あり
c^at	木ᶜ̂	PIV	1	taktik	术	CSV2890	3	木	术	0.680	0.969	あり
der	木ᴰ	PIV	1	taktik	术	CSV2890	3	木	术	0.680	0.969	あり
ele	木ᴱᴸ	PIV	1	taktik	术	CSV2890	3	木	术	0.680	0.969	あり
anon	木ᴬ	PIV	1	taktik	术	CSV2890	3	木	术	0.680	0.969	あり
biks	木ᴮᴷ	PIV	1	taktik	术	CSV2890	3	木	术	0.680	0.969	あり
bold	木ᴮᴸ	PIV	1	taktik	术	CSV2890	3	木	术	0.680	0.969	あり
ceib	木ᶜ	PIV	1	taktik	术	CSV2890	3	木	术	0.680	0.969	あり
duri	木ᴰᵁ	PIV	1	taktik	术	CSV2890	3	木	术	0.680	0.969	あり
flog	木ᶠ	PIV	1	taktik	术	CSV2890	3	木	术	0.680	0.969	あり
gari	木ᴳᴿ	PIV	1	taktik	术	CSV2890	3	木	术	0.680	0.969	あり
guta	木ᴳᵀ	PIV	1	taktik	术	CSV2890	3	木	术	0.680	0.969	あり
heve	木ᴴ	PIV	1	taktik	术	CSV2890	3	木	术	0.680	0.969	あり
fenik	木ᶠᴺ	PIV	1	taktik	术	CSV2890	3	木	术	0.680	0.969	あり
kluzi	木ᴷᶻ	PIV	1	taktik	术	CSV2890	3	木	术	0.680	0.969	あり
akebi	木ᴬᴷ	PIV	1	taktik	术	CSV2890	3	木	术	0.680	0.969	あり
arali	木ᴬᴿ	PIV	1	taktik	术	CSV2890	3	木	术	0.680	0.969	あり
au^kub	木ᴬᵁ̆	PIV	1	taktik	术	CSV2890	3	木	术	0.680	0.969	あり
avero	木ᴬⱽ	PIV	1	taktik	术	CSV2890	3	木	术	0.680	0.969	あり
balat	木ᴮᵀ	PIV	1	taktik	术	CSV2890	3	木	术	0.680	0.969	あり
budle	木ᴮᴰ	PIV	1	taktik	术	CSV2890	3	木	术	0.680	0.969	あり
cestr	木ᶜˢ	PIV	1	taktik	术	CSV2890	3	木	术	0.680	0.969	あり
cikas	木ᶜᴷ	PIV	1	taktik	术	CSV2890	3	木	术	0.680	0.969	あり
damar	木ᴰᴹ	PIV	1	taktik	术	CSV2890	3	木	术	0.680	0.969	あり
efedr	木ᴱᶠ	PIV	1	taktik	术	CSV2890	3	木	术	0.680	0.969	あり
ereti	木ᴱᴿ	PIV	1	taktik	术	CSV2890	3	木	术	0.680	0.969	あり
eskul	木ᴱˢ	PIV	1	taktik	术	CSV2890	3	木	术	0.680	0.969	あり
kopaiv	木ᴷᴾ	PIV	1	taktik	术	CSV2890	3	木	术	0.680	0.969	あり
kupres	木ᴷˢ	PIV	1	taktik	术	CSV2890	3	木	术	0.680	0.969	あり
burser	木ᴮᵁ	PIV	1	taktik	术	CSV2890	3	木	术	0.680	0.969	あり
agatid	木ᴬᴳ	PIV	1	taktik	术	CSV2890	3	木	术	0.680	0.969	あり
albizi	木ᴬᴸ	PIV	1	taktik	术	CSV2890	3	木	术	0.680	0.969	あり
amirid	木ᴬᴹ	PIV	1	taktik	术	CSV2890	3	木	术	0.680	0.969	あり
anagir	木ᴬᴺ	PIV	1	taktik	术	CSV2890	3	木	术	0.680	0.969	あり
antiar	木ᴬᵀ	PIV	1	taktik	术	CSV2890	3	木	术	0.680	0.969	あり
argani	木ᴬᴬ	PIV	1	taktik	术	CSV2890	3	木	术	0.680	0.969	あり
au^kume	木ᴬᵁ	PIV	1	taktik	术	CSV2890	3	木	术	0.680	0.969	あり
azarol	木ᴬᶻ	PIV	1	taktik	术	CSV2890	3	木	术	0.680	0.969	あり
azimen	木ᴬᴵ	PIV	1	taktik	术	CSV2890	3	木	术	0.680	0.969	あり
banjan	木ᴮᴺ	PIV	1	taktik	术	CSV2890	3	木	术	0.680	0.969	あり
cedrel	木ᶜᴰ	PIV	1	taktik	术	CSV2890	3	木	术	0.680	0.969	あり
celtid	木ᶜᴸ	PIV	1	taktik	术	CSV2890	3	木	术	0.680	0.969	あり
cercid	木ᶜᴿ	PIV	1	taktik	术	CSV2890	3	木	术	0.680	0.969	あり
deodar	木ᴰᴰ	PIV	1	taktik	术	CSV2890	3	木	术	0.680	0.969	あり
dileni	木ᴰᴸ	PIV	1	taktik	术	CSV2890	3	木	术	0.680	0.969	あり
drimis	木ᴰᴿ	PIV	1	taktik	术	CSV2890	3	木	术	0.680	0.969	あり
empetr	木ᴱᴹ	PIV	1	taktik	术	CSV2890	3	木	术	0.680	0.969	あり
eu^geni	木ᴱᵁ̆	PIV	1	taktik	术	CSV2890	3	木	术	0.680	0.969	あり
gvaran	木ᴳⱽ	PIV	1	taktik	术	CSV2890	3	木	术	0.680	0.969	あり
hikori	木ᴴᴷ	PIV	1	taktik	术	CSV2890	3	木	术	0.680	0.969	あり
himene	木ᴴᴹ	PIV	1	taktik	术	CSV2890	3	木	术	0.680	0.969	あり
hipofe	木ᴴᴾ	PIV	1	taktik	术	CSV2890	3	木	术	0.680	0.969	あり
simarub	木ˢᴹ	PIV	1	taktik	术	CSV2890	3	木	术	0.680	0.969	あり
alatern	木ᴬᴱ	PIV	1	taktik	术	CSV2890	3	木	术	0.680	0.969	あり
aleu^rit	木ᴬᴸᴱ	PIV	1	taktik	术	CSV2890	3	木	术	0.680	0.969	あり
amelanc^	木ᴬᶜ̂	PIV	1	taktik	术	CSV2890	3	木	术	0.680	0.969	あり
anamirt	木ᴬᴺᴬ	PIV	1	taktik	术	CSV2890	3	木	术	0.680	0.969	あり
aviceni	木ᴬᶜ	PIV	1	taktik	术	CSV2890	3	木	术	0.680	0.969	あり
bau^hini	木ᴮᵁ̆	PIV	1	taktik	术	CSV2890	3	木	术	0.680	0.969	あり
bignoni	木ᴮᴳ	PIV	1	taktik	术	CSV2890	3	木	术	0.680	0.969	あり
bosveli	木ᴮˢ	PIV	1	taktik	术	CSV2890	3	木	术	0.680	0.969	あり
celastr	木ᶜᵀ	PIV	1	taktik	术	CSV2890	3	木	术	0.680	0.969	あり
cinamom	木ᶜᴺ	PIV	1	taktik	术	CSV2890	3	木	术	0.680	0.969	あり
delonik	木ᴰᴷ	PIV	1	taktik	术	CSV2890	3	木	术	0.680	0.969	あり
epakrid	木ᴱᴾ	PIV	1	taktik	术	CSV2890	3	木	术	0.680	0.969	あり
eritren	木ᴱᴺ	PIV	1	taktik	术	CSV2890	3	木	术	0.680	0.969	あり
garcini	木ᴳᶜ	PIV	1	taktik	术	CSV2890	3	木	术	0.680	0.969	あり
gledic^i	木ᴳᴸ	PIV	1	taktik	术	CSV2890	3	木	术	0.680	0.969	あり
hipoman	木ᴴᴺ	PIV	1	taktik	术	CSV2890	3	木	术	0.680	0.969	あり
hur	木ᴴᴿ	PIV	1	taktik	术	CSV2890	3	木	术	0.680	0.969	あり
kad	木ᴷᴰ	PIV	1	taktik	术	CSV2890	3	木	术	0.680	0.969	あり
kus	木ᴷᵁ	PIV	1	taktik	术	CSV2890	3	木	术	0.680	0.969	あり
mug	木ᴹᵁ	PIV	1	taktik	术	CSV2890	3	木	术	0.680	0.969	あり
orn	木ᴼ	PIV	1	taktik	术	CSV2890	3	木	术	0.680	0.969	あり
kava	木ᴷⱽ	PIV	1	taktik	术	CSV2890	3	木	术	0.680	0.969	あり
kofe	木ᴷᶠ	PIV	1	taktik	术	CSV2890	3	木	术	0.680	0.969	あり
kokl	木ᴷᴷ	PIV	1	taktik	术	CSV2890	3	木	术	0.680	0.969	あり
moli	木ᴹᴸ	PIV	1	taktik	术	CSV2890	3	木	术	0.680	0.969	あり
nau^l	木ᴺ	PIV	1	taktik	术	CSV2890	3	木	术	0.680	0.969	あり
opul	木ᴼᴾ	PIV	1	taktik	术	CSV2890	3	木	术	0.680	0.969	あり
rafi	木ᴿᶠ	PIV	1	taktik	术	CSV2890	3	木	术	0.680	0.969	あり
ramn	木ᴿᴹ	PIV	1	taktik	术	CSV2890	3	木	术	0.680	0.969	あり
rusk	木ᴿˢ	PIV	1	taktik	术	CSV2890	3	木	术	0.680	0.969	あり
skin	木ˢᴷ	PIV	1	taktik	术	CSV2890	3	木	术	0.680	0.969	あり
tonk	木ᵀᴺ	PIV	1	taktik	术	CSV2890	3	木	术	0.680	0.969	あり
iksor	木ᴵ	PIV	1	taktik	术	CSV2890	3	木	术	0.680	0.969	あり
kacur	木ᴷᶜ	PIV	1	taktik	术	CSV2890	3	木	术	0.680	0.969	あり
kalun	木ᴷᴺ	PIV	1	taktik	术	CSV2890	3	木	术	0.680	0.969	あり
kau^ri	木ᴷᵁ̆	PIV	1	taktik	术	CSV2890	3	木	术	0.680	0.969	あり
kubeb	木ᴷᴱ	PIV	1	taktik	术	CSV2890	3	木	术	0.680	0.969	あり
kumar	木ᴷᴹ	PIV	1	taktik	术	CSV2890	3	木	术	0.680	0.969	あり
kvasi	木ᴷᴬ	PIV	1	taktik	术	CSV2890	3	木	术	0.680	0.969	あり
maduk	木ᴹᴰ	PIV	1	taktik	术	CSV2890	3	木	术	0.680	0.969	あり
malus	木ᴹˢ	PIV	1	taktik	术	CSV2890	3	木	术	0.680	0.969	あり
mirik	木ᴹᴿ	PIV	1	taktik	术	CSV2890	3	木	术	0.680	0.969	あり
okrom	木ᴼᴷ	PIV	1	taktik	术	CSV2890	3	木	术	0.680	0.969	あり
pajen	木ᴾᴶ	PIV	1	taktik	术	CSV2890	3	木	术	0.680	0.969	あり
papau^	木ᴾᴾ	PIV	1	taktik	术	CSV2890	3	木	术	0.680	0.969	あり
pirus	木ᴾᴵ	PIV	1	taktik	术	CSV2890	3	木	术	0.680	0.969	あり
psidi	木ᴾˢ	PIV	1	taktik	术	CSV2890	3	木	术	0.680	0.969	あり
robur	木ᴿᴮ	PIV	1	taktik	术	CSV2890	3	木	术	0.680	0.969	あり
sarak	木ˢᴿ	PIV	1	taktik	术	CSV2890	3	木	术	0.680	0.969	あり
sofor	木ˢᶠ	PIV	1	taktik	术	CSV2890	3	木	术	0.680	0.969	あり
spire	木ˢᴾ	PIV	1	taktik	术	CSV2890	3	木	术	0.680	0.969	あり
strob	木ˢᵀ	PIV	1	taktik	术	CSV2890	3	木	术	0.680	0.969	あり
sumak	木ˢᵁ	PIV	1	taktik	术	CSV2890	3	木	术	0.680	0.969	あり
jambos	木ᴶ	PIV	1	taktik	术	CSV2890	3	木	术	0.680	0.969	あり
johimb	木ᴶᴴ	PIV	1	taktik	术	CSV2890	3	木	术	0.680	0.969	あり
kanang	木ᴷᴳ	PIV	1	taktik	术	CSV2890	3	木	术	0.680	0.969	あり
karite	木ᴷᵀ	PIV	1	taktik	术	CSV2890	3	木	术	0.680	0.969	あり
katalp	木ᴷᴬᵀ	PIV	1	taktik	术	CSV2890	3	木	术	0.680	0.969	あり
kebrac^	木ᴷᶜ̂	PIV	1	taktik	术	CSV2890	3	木	术	0.680	0.969	あり
kolute	木ᴷᴼ	PIV	1	taktik	术	CSV2890	3	木	术	0.680	0.969	あり
laburn	木ᴸᴮ	PIV	1	taktik	术	CSV2890	3	木	术	0.680	0.969	あり
larici	木ᴸᴿ	PIV	1	taktik	术	CSV2890	3	木	术	0.680	0.969	あり
longan	木ᴸᴺ	PIV	1	taktik	术	CSV2890	3	木	术	0.680	0.969	あり
lorant	木ᴸᵀ	PIV	1	taktik	术	CSV2890	3	木	术	0.680	0.969	あり
makeri	木ᴹᴷ	PIV	1	taktik	术	CSV2890	3	木	术	0.680	0.969	あり
mezere	木ᴹᶻ	PIV	1	taktik	术	CSV2890	3	木	术	0.680	0.969	あり
musend	木ᴹᴺ	PIV	1	taktik	术	CSV2890	3	木	术	0.680	0.969	あり
negund	木ᴺᴳ	PIV	1	taktik	术	CSV2890	3	木	术	0.680	0.969	あり
pandan	木ᴾᴺ	PIV	1	taktik	术	CSV2890	3	木	术	0.680	0.969	あり
pitang	木ᴾᵀ	PIV	1	taktik	术	CSV2890	3	木	术	0.680	0.969	あり
pumili	木ᴾᴹ	PIV	1	taktik	术	CSV2890	3	木	术	0.680	0.969	あり
ramonc^	木ᴿᶜ̂	PIV	1	taktik	术	CSV2890	3	木	术	0.680	0.969	あり
robini	木ᴿᴵ	PIV	1	taktik	术	CSV2890	3	木	术	0.680	0.969	あり
sapind	木ˢᴰ	PIV	1	taktik	术	CSV2890	3	木	术	0.680	0.969	あり
sorbus	木ˢᴮ	PIV	1	taktik	术	CSV2890	3	木	术	0.680	0.969	あり
sparti	木ˢᴬ	PIV	1	taktik	术	CSV2890	3	木	术	0.680	0.969	あり
strikn	木ˢᴺ	PIV	1	taktik	术	CSV2890	3	木	术	0.680	0.969	あり
telope	木ᵀᴾ	PIV	1	taktik	术	CSV2890	3	木	术	0.680	0.969	あり
tipuan	木ᵀᴵ	PIV	1	taktik	术	CSV2890	3	木	术	0.680	0.969	あり
tujops	木ᵀᴶ	PIV	1	taktik	术	CSV2890	3	木	术	0.680	0.969	あり
zelkov	木ᶻ	PIV	1	taktik	术	CSV2890	3	木	术	0.680	0.969	あり
kajeput	木ᴷᴶ	PIV	1	taktik	术	CSV2890	3	木	术	0.680	0.969	あり
karagan	木ᴷᴬᴿ	PIV	1	taktik	术	CSV2890	3	木	术	0.680	0.969	あり
kastane	木ᴷᴬˢ	PIV	1	taktik	术	CSV2890	3	木	术	0.680	0.969	あり
kenomel	木ᴷᴱᴺ	PIV	1	taktik	术	CSV2890	3	木	术	0.680	0.969	あり
kokolob	木ᴷᴼᴷ	PIV	1	taktik	术	CSV2890	3	木	术	0.680	0.969	あり
kombret	木ᴷᴼᴹ	PIV	1	taktik	术	CSV2890	3	木	术	0.680	0.969	あり
komifor	木ᴷᴼᴹᴵ	PIV	1	taktik	术	CSV2890	3	木	术	0.680	0.969	あり
