cefalospin	头脊	【PIV】Rilata al cerbo au^ cefalo k al spino: cerbo spina likvo.
cefalotorak	头胸	【動】【PIV】Antau^a parto de la korpo de iuj artropodoj (krustacoj, araneuloj), kiu devenas el
cekumit	盲肠炎	【病】盲腸炎,=cekuminflamo,>>apendicito
celulit	胞炎	【病】蜂巣炎（ほうそうえん）,フレグモーネ,=flegmono
centifoli	百叶	【植】【PIV】Centfolia rozo. Vd muskrozo. -> trifolio, milfolio.
centigrad	厘度	【PIV】= centezimala, centuma.
centigram	厘克	{Ｏ}【単】センチグラム
centilitr	厘升	{Ｏ}【単】センチリットル
centromer	央链节	【生】【PIV】Loko de kromosomo, kie alfiksig^as la spindelfibroj.
centrosom	央体	【生】【PIV】Enc^ela organeto, c^e la pinto de mitoza au^ mejoza spindelo, kiu konsistas el du 
cianat	青盐	【化】【PIV】Salo au^ organika derivaj^o de cianata acido HOCN.
cianfit	青植	【PIV】(iom ark. (arkaismo, arkaisme)) = cianobakterioj.
cianid	青化	【化】シアン化物
cianofit	青植	【PIV】(iom ark. (arkaismo, arkaisme)) = cianobakterioj.
cikadomorf	蝉形	【動】【PIV】Subordo (Cicadomorpha) de insektoj el la ordo de hemipteroj, ampleksanta i.a. (int
ciklometr	环计	【PIV】Instrumento por mezuri c^e rado la iritan vojlongon. Vd hodometro, taksimetro, kilome
ciklometri	环测	【数】【PIV】(pp (se paroli pri) funkcio) Inversa al trigonometria funkcio. -> sinuso.
citolog	胞学家	【生】【PIV】Specialisto pri citologio.
citologi	胞学	【PIV】Scienco pri la strukturo k funkciado de la c^eloj. Sin. (sinonimo) c^elologio.
citoplasm	胞浆	【生】【PIV】C^elplasmo. Vd plasmo.
citoskelet	胞骨	【生】【PIV】C^elskeleto.
citosol	胞液	【生】【PIV】C^elsolo.
citotrop	胞向	【生】【医】【PIV】Afina al la c^eloj: citotropa viruso. Sin. (sinonimo) c^elafina.
citrat	柑盐	【化】【PIV】Salo de citrata acido, HOOC-C(OH)(CH 2-COOH)-CH 2-COOH, abunda en la fruktoj de la
dakriocistit	泪囊炎	【医】【PIV】Inflamo de dakriocisto(j).
daktilograf	指记	【PIV】(tr (transitiva)) Mas^inskribi, tajpi: koncerne la daktilografitan leteron, kiun mi s
daktiloskopi	指镜	【PIV】Procedo, per kiu oni identigas personojn per la observado de la hau^tlinioj sur la po
