r	rk	y	yk	r_gloss	y_gloss
molar	臼	muel	磨	【解】大臼歯,=granda mueldento;臼歯（きゅうし）,=m	{Ｂ}［他］（ひきうすなどで）挽く,粉にする,細かく砕く;押しつぶす
monitor	监	vid	见	［他］【機】モニタリングする	{Ｂ}［他］見る,見える,目にうつる;会う,面会する;見て気づく,認める
monitor	监	varan	龙	［他］【機】モニタリングする	【動】オオトカゲ（科）
motacil	鸟	vost	尾	【鳥】セキレイ（鶺鴒）（属）,=vostskuanto	尾の;《転》後尾の
mung	擦鼻	naz	鼻	［他］洟（はな）をかんでやる,洟をかむ,=nazpurigi	鼻の
naci	族	regn	国	民族の;国民の;国立の,国の	国の,国家の
naft	原油	krud	粗	{Ｏ}【化】ナフサ;《般》原油,=kruda petrolo	{Ｂ}生の,未加工の;粗野な,荒々しい
nap	油菜	rap	萝卜	{Ｏ}【農】カブ,カブラ（蕪）,=rapo;【植】セイヨウアブラナ（種）	{Ｏ}【植】カブ,カブラ（蕪）（種）
narkotik	麻醉	narkot	麻	{Ｏ}【医】麻酔薬,=narkotaj^o	麻酔性の;眠気を催すような
navig	航	mar	海	［自］【海】航行する,=marveturi;【空】航行する,=aerve	海の
navig	航	aer	气	［自］【海】航行する,=marveturi;【空】航行する,=aerve	空気の,大気の;空の,空中の,航空の;《転》空虚な,実体のない
nerv	神经	nervoz	躁	神経の;=nervoza（神経質な）	{Ｂ}神経質な,神経の細い,いらだった
nimfe	睡莲	akv	水	【植】スイレン（睡蓮）（属）,=akvolilio	水の;【生】水生の
nimf	精	vulv	外阴	{Ｏ}【神】ニンフ（ギリシア神話の水の精）;【虫】若虫（わかむし）;【解	陰門の,外陰部の
nostalgi	怀旧	hejm	家	郷愁に満ちた	家庭の,自宅の;（動物が）飼いならされた
nukle	核	atom	子	核の;有核の;【理】原子核の	原子の;原子力の,核の
oblikv	斜	supr	顶	{Ｂ}斜めの,傾斜した	上方の
okup	占	eko	境	{Ｂ}［他］占めている,占有している,占領している;=ekokupi;専	
operaci	操	operac	作战	［他］【医】手術する;【商】操作する;【数】【情】演算する	【軍】作戦,軍事行動
orbit	轨	okul	目	［自］軌道を描いて回る	目の
orkid	兰	testik	丸	【植】ハクサンチドリ（属）,オルキス;【解】精巣,睾丸（こうがん）,=t	{Ｏ}【解】精巣,睾丸（こうがん）
ostag^	人质	garanti	保	［自］人質になっている	保証の,担保の
oval	椭圆	ov	卵	{Ｏ}卵形線の;卵形の,=ovoforma	{Ｂ}卵（たまご）,鶏卵;【生】卵（らん）,>>frajo
pad	径	voj	路	（野山や森の）小道,細道,=vojeto	［自］たどる,進む;道を行く,=vojiri
paradize	极乐鸟	paradiz	天	【鳥】フウチョウ（風鳥）,ゴクラクチョウ（極楽鳥）（科の総称）,=par	天国の;楽園の,極楽の
parvenu	升	nov	新	［自］成り上がる	{Ｂ}新しい,新規の,最新の;新品の,できたばかりの
pas	过	pase	昔	=pasema（一時的な）	《詩》=pasinteco（過去）;=pasintaj^o（昔のこと）
pase	昔	pasi	情	《詩》=pasinteco（過去）;=pasintaj^o（昔のこと）	情熱的な,熱烈な
pau^t	翘嘴	lip	唇	［自］口をとがらす,ふくれ面をする,=lipmieni	唇の
penik	笔	kvast	穗	［自］筆で描く,はけで塗る	{Ｏ}ふさ飾り
penik	笔	grapol	串	［自］筆で描く,はけで塗る	（花や果実の）房;【植】総状花序
perkut	撞	frap	敲	《稀》［他］（硬い物体が）打撃を与える,衝撃を与える,=frapi;【医	{Ｂ}［他］たたく,打つ;たたいて音を出す;はっとさせる,驚かす
perl	珠	bi	生	真珠の,真珠のような,真珠色の	
perpendikl	垂	ort	直角	【数】垂直の;【数】=orta（直角の）	【数】直角の
perpendikular	垂	ort	直角	垂直な,=perpendikla	【数】直角の
petiol	叶柄	foli	叶	【植】葉柄,=folitigo	［自］葉をつける;［他］=foliumi
pic^	阴户	vulv	外阴	《俗》=vulvo（陰門）	陰門の,外陰部の
pic^	阴户	tonal	调	《俗》=vulvo（陰門）	
plant	植	veget	茂	{Ｂ}［他］植える,植え付ける;（地面に差し込んで）立てる	植生の;《転》無為の,無気力な
plint	础	plank	板	【建】（柱や彫刻台の下の四角い）柱礎,台座;【建】根石;【建】=plan	［他］床を張る
pluk	摘	pin	松	［他］（花や実を）摘む,摘みとる,>>des^iri;つまみ上げる;【楽	{Ｂ}【植】マツ（松）（属）
plural	复数	plur	多	{Ｂ}【Ｇ】複数,=plurnombro,>>singularo	
pojn	腕	man	手	【解】手首,=manradiko	手で
polen	粉	flor	花	［他］【植】受粉させる,授粉する	花の;花のような
poligon	多角	plur	多	{Ｏ}【植】タデ（蓼）（属）;【数】多角形,=plurangulo;《古	
poligon	多角	fagopir	麦	{Ｏ}【植】タデ（蓼）（属）;【数】多角形,=plurangulo;《古	【植】ソバ（蕎麦）（属）;ソバの実
polm	掌	man	手	【解】手のひら,=manplato	手で
polo	马球	male	捶	【運】ポロ,=maleopilko	［他］槌で打つ
