# PEJVO層に残る未割当の生物名語根 = 384件
# 列: 語根 / 分野 / F(出現語数) / 代表語釈 / 出現語(最大6)
blit	【植】	F=1	【植】アカザの一種（葉野菜）	blit/o
bulbil	【植】	F=1	【植】むかご,珠芽	bulbil/o
cembr	【植】	F=1	【植】ヨーロッパハイマツ	cembr/o
centau^re	【植】	F=1	【植】ヤグルマギク属,>>cejano	centau^re/o
cerefoli	【植】	F=1	【植】チャービル（香草として料理に使う）	cerefoli/o
cikori	【植】	F=1	{Ｏ}【植】チコリー,キクニガナ,>>endivio	cikori/o
citiz	【植】	F=1	【植】エニシダ（属）	citiz/o
datur	【植】	F=1	{Ｏ}【植】チョウセンアサガオ（属）	datur/o
delfini	【植】	F=1	【植】ヒエンソウ（属）,=alau^dosprono	delfini/o
desmodi	【植】	F=1	【植】ヌスビトハギ（属）	desmodi/o
diklin	【植】	F=1	【植】雌雄異花の	diklin/a
drakunkol	【植】	F=1	【植】ドラクンクルス（属）;【植】エストラゴン,タラゴン,=estragono	drakunkol/o
edelvejs	【植】	F=1	【植】エーデルワイス,セイヨウウスユキソウ,=neg^ofloro	edelvejs/o
egopodi	【植】	F=1	【植】エゾボウフウ（属）,イワミツバ	egopodi/o
eki	【植】	F=1	【植】シャゼンムラサキ（属）	eki/o
ekinokl	【植】	F=1	《Ｎ》【植】ヒエ（稗）（属）	ekinokl/o
eleagn	【植】	F=1	【植】グミ（属）	eleagn/o
enant	【植】	F=1	【植】セリ（属）,>>cikuto（ドクゼリ）;【鳥】ハシグロヒタキ（属）	enant/o
endokarp	【植】	F=1	【植】内果皮,>>epikarpo	endokarp/o
epigin	【植】	F=1	【植】子房下位の	epigin/a
epikarp	【植】	F=1	【植】外果皮,>>endokarpo	epikarp/o
epilobi	【植】	F=1	【植】アカバナ（属）	epilobi/o
erantid	【植】	F=1	【植】セツブンソウ（節分草）（属）	erantid/o
eringi	【植】	F=1	【植】ヒゴタイサイコ（属）,エリンギウム	eringi/o
eriobotri	【植】	F=1	【植】ビワ（枇杷）（属）,>>lanmespilo	eriobotri/o
eriofor	【植】	F=1	【植】ワタスゲ（属）	eriofor/o
erizim	【植】	F=1	【植】エゾスズシロ（属）,エリシマム	erizim/o
eruk	【植】	F=1	【植】キバナスズシロ（属）;【料】ロケットサラダ,ルッコラ（キバナスズシロの食用葉）	eruk/o
estragon	【植】	F=1	《Ｎ》【植】エストラゴン,タラゴン,>>drakunkolo	estragon/o
falar	【植】	F=1	【植】クサヨシ（属）	falar/o
fanerogam	【植】	F=1	【植】顕花植物,><kriptogamoj	fanerogam/oj
farbit	【植】	F=1	【植】アサガオ	farbit/o
fatsi	【植】	F=1	《Ｎ》【植】ヤツデ（八つ手）（属）（genro _Fatsia_，c^iamverda arbusto）	fatsi/o
felandri	【植】	F=1	【植】セリの一種（有毒）	felandri/o
fenkol	【植】	F=1	{Ｏ}【植】ウイキョウ（属）	fenkol/o
ferol	【植】	F=1	【植】オオウイキョウ（属）	ferol/o
festuk	【植】	F=1	【植】ウシノケグサ（属）	festuk/o
filant	【植】	F=1	【植】コミカンソウ（属）	filant/o
fimbril	【植】	F=1	【植】=fimbrio（房状へり）	fimbril/o
flakurti	【植】	F=1	【植】ルカム（属）（熱帯産の果樹）	flakurti/o
foliol	【植】	F=1	【植】=foliero（小葉）	foliol/o
fragmit	【植】	F=1	【植】ヨシ（葦）（属）,アシ（葦）	fragmit/o
fraksen	【植】	F=1	{Ｏ}【植】トネリコ（属）	fraksen/o
frangol	【植】	F=1	{Ｏ}【植】ラムヌス・フラングラ（クロウメモドキの一種）,セイヨウクロウメモドキ	frangol/o
fuksi	【植】	F=1	【植】フクシア（属）	fuksi/o
fumari	【植】	F=1	【植】カラクサケマン（属）	fumari/o
genist	【植】	F=1	{Ｏ}【植】ヒトツバエニシダ（属）,>>citizo	genist/o
georgin	【植】	F=1	《古》【植】=dalio（ダリア）	georgin/o
geum	【植】	F=1	【植】ダイコンソウ（属）	geum/o
ginece	【植】	F=1	（古代ギリシアの）婦人部屋;【植】雌ずい（群）,=pistilo	ginece/o
ginostem	【植】	F=1	【植】合着めしべ,ずい柱	ginostem/o
gladiol	【植】	F=1	【植】グラジオラス（属）	gladiol/o
glau^ci	【植】	F=1	【植】ツノゲシ（属）	glau^ci/o
glekom	【植】	F=1	【植】カキドオシ（属）	glekom/o
gliceri	【植】	F=1	【植】ドジョウツナギ（属）	gliceri/o
globulari	【植】	F=1	【植】クロブラリア（属）,ルリカンザシ	globulari/o
gramine	【植】	F=1	【植】イネ科	gramine/oj
gus^	【植】	F=1	【植】（マメ科植物の）莢（さや）,=pizujo	gus^/o
hedisar	【植】	F=1	【植】イワオウギ（属）	hedisar/o
heliantem	【植】	F=1	【植】ハンニチバナ（属）	heliantem/o
