char	root1	band1	gloss1	root2	band2	gloss2
富	ric^		{Ｂ}金持ちの,富んだ,裕福な;豪華な,高価な;豊かな,豊富な	oz	suf	【化】【PIV】Monosakarido; malofte uzata memstare, g^enerale en kunmetaj^oj por nomi: 1 monosak
怖	teror	pejvo	【政】テロル,テロ,組織的暴力	horor	pejvo	身の毛もよだつ,戦慄すべき
浮	pelag	piv	【生態】【PIV】Vivularo de la akvomaso de maro au^ de lago, sed ne de ties fundo. Vd bento, nekt	bu	pejvo	［他］【海】浮標を設置する
副	adverb	basic	{Ｂ}【Ｇ】副詞,>>e-vorto	akcesor	pejvo	{Ｏ}副の,副次的な,付随的な,>>flanka
福	beat	pejvo	至福の;【カ】福者の列に加えられた	elize	pejvo	エリジウムの;至福の,喜びに満ちた
腹	ventr	basic	腹の,腹部の	lapar	pejvo	【医】【PIV】Abdomeno (en kunmetaj^oj).
覆	mulc^	pejvo	［他］【農】（作物に）敷き藁を敷く,マルチングする	teg	basic	{Ｂ}［他］（布・皮などで）上張りする,覆いをする
物	aj^		物,事物,ものごと,>>objekto	objekt	basic	物体の
柄	ans	pejvo	（水差し・つぼ・引き出し・ドアなどの）取っ手,>>tenilo	stip	pejvo	{Ｏ}【植】ハネガヤ（羽茅）（属）;【植】（キノコやシダ類の）柄
壁	mur	basic	{Ｂ}壁,へい（塀）;壁状のもの;《転》障壁	pariet	pejvo	【機】内壁;【解】壁
募	kvest	piv	【PIV】(ntr (netransitiva)) Peti k kolekti monon, por religiaj au^ bonfaraj celoj: voje mi c	varb	basic	{Ｏ}［他］（会員などを）募集する;【軍】徴募する
蓬	vil	pejvo	毛で覆われた,毛むくじゃらの,けば立った	hirt	pejvo	{Ｏ}（毛の）逆立った,（髪の）乱れた
忘	amnezi	pejvo	【病】健忘症	forges	basic	{Ｂ}［他］忘れる,失念する;なおざりにする,おろそかにする
望	esper	basic	希望の	perspektiv	pejvo	{Ｏ}眺望,見晴らし,遠景;展望,見通し;【美】遠近法,透視図法
膨	ekspansi	pejvo	［自］【理】（気体が）膨張する,>>dilati	dilat	pejvo	［他］【理】膨張させる,>>ekspansii
墨	tuc^	pejvo	［他］墨でかく;（水彩で）薄く塗る,=lavumi	ink	basic	（万年筆などの）インクカートリッジ
朴	naiv	basic	{Ｂ}素朴な,無邪気な;うぶな,世間知らずの,愚直な	rustik	piv	【建】【PIV】Prezentanta simplan, ec^ krudan prilaboradon, kiu restigis multajn neregulaj^ojn, 
盆	basen	pejvo	{Ｏ}泉水,ため池;船溜まり;（川の）流域;【地理】盆地,=rondvalo	pelv	basic	{Ｏ}たらい,洗面器,水盤;【解】骨盤
幕	kulis	pejvo	{Ｏ}【劇】舞台裏;舞台の袖（そで）;《転》内幕,舞台裏	akt	basic	{Ｂ}【劇】幕;【法】証書
慢	adag^	pejvo	【楽】（速度標語）ゆるやかに	kronik	pejvo	【医】慢性の,><akuta
魅	fascin	pejvo	魅惑的な,魅了する	c^arm		{Ｂ}魅力的な,魅惑的な,かわいい
蜜	miel	basic	蜂蜜の,蜂蜜入りの;蜜のように甘い;《転》甘ったるい	nektar	pejvo	{Ｏ}【神】ネクタル（酒）;《転》甘露,美酒;【植】花蜜（かみつ）
