char	root1	gloss1	root2	gloss2
勺	s^kop	【PIV】Ujo el ligno au^ lado, uzata por fo	kuler	{Ｂ}【料】さじ,スプーン
守	gard	番をして;用心深く	garnizon	［自］【軍】駐屯する
手	man	手で	kiral	【理】【PIV】1 Ne simetria sub speguligo: mul
朱	vermiljon	朱の,朱色の	cinabr	朱の;朱色の
首	c^ef	主な,主要な	arki	(語釈なし)
授	profesor	{Ｂ}（大学・高等教育機関の）教授（人）	inic	［他］（人に）秘伝を授ける;手ほどきをする
酬	honorari	［他］謝礼金を払う	rekompenc	お返しに,褒美として
十	decimal	{Ｏ}【数】十進法の,=dekuma	dek	十番目の
汁	most	{Ｏ}（発酵前の）ブドウ液,>>vino	suk	汁の;みずみずしい,=sukplena
醇	glikol	【化】【PIV】1 Senkolora likvo, diolo, HOCH 2	alkohol	アルコールの
助	help	手助けの,援助の;補助的な	adjunkt	助役,補佐,助手,>>asistanto
序	sekvenc	【楽】【PIV】1 【楽】Almenau^ dufoja ripeto de f	ord	順序の;整理された
匠	virtuoz	{Ｏ}（演奏の）名手,巨匠;（一般に）名人,達人,>>majstro	prot	【PIV】Laborestro en pasintecaj presejoj.
唱	h^or	{Ｂ}合唱団,合唱隊;合唱,合唱曲,=koruso;【劇】コロス（古代ギリシア演	kant	{Ｂ}［他］歌う;（鳥が）さえずる;《転》心地よい音を奏でる;（詩や歌で）褒めた
将	baldau^	まもなくの	general	{Ｂ}【軍】将軍;将官
照	fotograf	【写】写真濃度	ilumin	{Ｏ}［他］照明する,イルミネーションで飾る;【宗】天啓を与える
障	handikap	［他］【運】ハンディキャップをつける	bar	{Ｏ}［他］道をふさぐ;《転》妨げる
上	sur	【解】ふくらはぎ,=tibikarno	super	上方の;上位の;優れた
条	lat	［他］木摺りを打ちつける	stri	線状の,筋状の
拭	s^vabr	［他］モップで拭く	vis^	{Ｂ}［他］ふく,ぬぐう;ふき取る
殖	koloni	植民地の,植民の	prolifer	【PIV】(ntr (netransitiva)) 1 (pp (se paro
食	eklips	【天】食の	mang^	{Ｂ}［他］食べる;（虫が）食う;常食とする;《転》腐食する,むしばむ;《転》む
辱	blasfem	{Ｂ}［自］【宗】不敬なことを言う,冒涜的な言葉を吐く;［他］ののしる	sakrilegi	冒涜的な,神聖を汚す;無礼な,罰当たりな
伸	etend	{Ｂ}［他］伸ばす;（手を伸ばして）差し出す;（金属を）延ばす;広げる,拡張する	ekstens	【解】【PIV】(tr (transitiva)) Malfaldi anato
振	oscil	［自］【理】（往復）振動する	vibr	震動の,振動の
疹	ekzantem	【病】発疹性の	tif	{Ｏ}【病】チフス（通称）,>>ekzantema tifo,>>tifoido
真	au^tentik	{Ｏ}真正の,（典拠により）確かな;【法】認証された	ver	{Ｂ}本当の,実際の;真実の,真の,本物の
神	di	神の;神のような,この上なくすばらしい	numen	【心】【宗】【PIV】1 Tio, kio, je supernatura ni
臣	vasal	{Ｏ}【史】（封建制下の）家臣,臣下	ministr	大臣の
