語根	層	disp	id	群サイズ	F	綴りとの関係	逆引き候補数	末尾を落とすと
social	CSV2890	社ˢᴸ	sl	4	21	綴り内の文字	1	soci
societ	CSV2890	社ˢᵀ	st	4	14	綴り内の文字	1	soci
litani	PEJVO	祈ᴸ	l	2	1	接頭辞	1	preĝ
tost	CSV2890	祝ᵀ	t	2	3	接頭辞	1	ben
providenc	PEJVO	神ᴾ	p	3	3	接頭辞	1	di
numen	PIV	神ᴺ	n	3	2	接頭辞	1	di
deism	PIV	神主义ᴰ	d	2	1	接頭辞	1	teism
deist	PIV	神家ᴰ	d	2	1	接頭辞	1	teist
teokrati	PIV	神治ᵀᴵ	ti	2	1	綴り内の文字	1	teokrat
neŭr	PEJVO	神经ᴺᵁ̆	nŭ	2	20	綴り内の文字	1	nerv
neu^rologi	PIV	神经学ᴺᵁ̆	nŭ	2	1	綴り内の文字	1	nervologi
ĉek	CSV2890	票ᶜ̂	ĉ	3	10	接頭辞	1	bilet
balot	CSV2890	票ᴮᴬ	ba	3	21	接頭辞	1	bilet
hieratik	PEJVO	祭ᴴ	h	2	2	接頭辞	1	mes
embarg	PEJVO	禁ᴱ	e	5	2	接頭辞	1	tabu
prohibici	PEJVO	禁ᴾ	p	5	3	接頭辞	2	tabu
prohib	PEJVO	禁ᴾᴿ	pr	5	1	接頭辞	2	prohibici
interdikt	PEJVO	禁ᴵ	i	5	1	接頭辞	1	tabu
elize	PEJVO	福ᴱ	e	2	3	接頭辞	1	beat
repudi	PEJVO	离ᴿ	r	2	2	接頭辞	1	for
ion	PIV	离子ᴵ	i	2	3	接頭辞	1	jon
gramin	PEJVO	禾ᴳᴿ	gr	4	1	接頭辞	3	gramine
gliceri	PEJVO	禾ᴳᴸ	gl	4	1	接頭辞	1	gramine
agrostid	PEJVO	禾ᴬ	a	4	1	接頭辞	1	gramine
partikular	PEJVO	私ᴾᵀ	pt	2	3	綴り内の文字	2	privat
alopeci	PEJVO	秃ᴬ	a	2	1	接頭辞	1	kalv
spec	CSV2890	种ˢᴾ	sp	5	24	接頭辞	2	sem
ras	PEJVO	种ᴿ	r	5	20	接頭辞	1	sem
speci	PEJVO	种ˢᴵ	si	5	13	綴り内の文字	1	sem
inokul	PEJVO	种ᴵ	i	5	5	接頭辞	1	sem
sekci	CSV2890	科ˢᴷ	sk	4	4	先頭+子音	1	scienc
ed	PEJVO	科ᴱ	e	4	17	接頭辞	1	scienc
ac	PEJVO	科ᴬ	a	4	8	接頭辞	1	scienc
sekretari	CSV2890	秘ˢᴿ	sr	9	9	綴り内の文字	2	sekret
konfidenc	CSV2890	秘ᴷ	k	9	8	接頭辞	3	sekret
konfidenci	PEJVO	秘ᴷᴵ	ki	9	1	綴り内の文字	2	konfidenc
kabal	PEJVO	秘ᴷᴮ	kb	9	3	先頭+子音	1	konfidenc
mistik	PEJVO	秘ᴹ	m	9	6	接頭辞	1	sekret
okult	PEJVO	秘ᴼ	o	9	1	接頭辞	1	sekret
esoter	PEJVO	秘ᴱ	e	9	3	接頭辞	1	sekret
arkan	PIV	秘ᴬ	a	9	1	接頭辞	1	sekret
farm	CSV2890	租ᶠ	f	4	11	接頭辞	1	lu
rent	CSV2890	租ᴿ	r	4	3	接頭辞	1	lu
c^art	PEJVO	租ᶜ̂	ĉ	4	9	接頭辞	1	lu
fulik	PEJVO	秧鸡ᶠ	f	4	1	接頭辞	1	ral
galinol	PEJVO	秧鸡ᴳ	g	4	1	接頭辞	2	ral
galinul	PEJVO	秧鸡ᴳᵁ	gu	4	1	綴り内の文字	1	galinol
kumulus	PEJVO	积ᴷ	k	2	4	接頭辞	1	volumen
simetri	PEJVO	称ˢ	s	4	7	接頭辞	1	pretend
kvalifik	PEJVO	称ᴷ	k	4	6	接頭辞	2	pretend
kvalif	PEJVO	称ᴷⱽ	kv	4	1	接頭辞	2	kvalifik
dilu	PEJVO	稀ᴰ	d	2	5	接頭辞	1	rar
proces	CSV2890	程ᴾᶜ	pc	4	8	綴り内の文字	3	program
procez	PEJVO	程ᴾᶻ	pz	4	6	綴り内の文字	1	program
procedur	PEJVO	程ᴾᴰ	pd	4	7	綴り内の文字	1	program
akciz	PEJVO	税ᴬ	a	2	5	接頭辞	1	impost
aplomb	PEJVO	稳ᴬ	a	2	2	接頭辞	1	stabil
kvast	PEJVO	穗ᴷ	k	3	2	接頭辞	1	spik
ament	PIV	穗ᴬ	a	3	2	接頭辞	1	spik
vak	CSV2890	空ⱽ	v	4	12	接頭辞	2	spac
vaku	PEJVO	空ⱽᵁ	vu	4	16	綴り内の文字	1	vak
idl	PIV	空ᴵ	i	4	3	接頭辞	1	spac
penetr	CSV2890	穿ᴾ	p	5	20	接頭辞	3	tra
tred	PEJVO	穿ᵀᴰ	td	5	2	綴り内の文字	1	tra
permeabl	PEJVO	穿ᴾᴿ	pr	5	6	先頭+子音	3	penetr
perfor	PIV	穿ᴾᶠ	pf	5	2	綴り内の文字	1	penetr
impet	CSV2890	突ᴵ	i	3	11	接頭辞	1	subit
sturm	PEJVO	突ˢᵀ	st	3	5	接頭辞	2	subit
asfiksi	PEJVO	窒ᴬ	a	2	2	接頭辞	1	sufok
giĉet	CSV2890	窗ᴳ	g	2	1	接頭辞	1	fenestr
fove	PIV	窝ᶠ	f	2	2	接頭辞	1	ricel
stereofoni	PIV	立体声ˢᴵ	si	2	1	綴り内の文字	1	stereofon
stereoskopi	PIV	立体镜ˢᴵ	si	2	1	綴り内の文字	1	stereoskop
alce	PIV	立葵ᴬᶜ	ac	2	2	綴り内の文字	1	alte
konkurs	CSV2890	竞ᴷˢ	ks	3	20	綴り内の文字	1	konkur
konkurenc	PEJVO	竞ᴷᴺ	kn	3	9	先頭+子音	3	konkur
fabel	CSV2890	童ᶠ	f	3	10	接頭辞	1	infan
pedo	PEJVO	童ᴾ	p	3	3	接頭辞	1	infan
bambuz	PIV	竹ᴮᶻ	bz	2	1	綴り内の文字	1	bambu
komik	CSV2890	笑ᴷ	k	2	7	接頭辞	1	rid
krajon	CSV2890	笔ᴷ	k	2	15	接頭辞	1	penik
flut	PEJVO	笛ᶠᴸ	fl	3	10	接頭辞	1	fajf
fifr	PEJVO	笛ᶠᶠ	ff	3	1	先頭+子音	2	fajf
simbol	CSV2890	符ˢᴹ	sm	3	14	先頭+子音	2	sign
semio	PIV	符ˢᴱ	se	3	2	接頭辞	1	sign
izo	文法層	等ᴵ	i	3	36	接頭辞	1	egal
ekvivalent	PEJVO	等ᴱᴷ	ek	3	11	接頭辞	1	egal
kariokinez	PIV	等分ᴷ	k	2	1	接頭辞	1	mitoz
izomorfi	PIV	等形ᴵᴵ	ii	2	1	綴り内の文字	1	izomorf
tenden	PEJVO	筋ᵀ	t	2	5	接頭辞	1	muskol
tab	PEJVO	签ᵀ	t	4	2	接頭辞	1	lot
paraf	PEJVO	签ᴾ	p	4	2	接頭辞	1	lot
signatur	PIV	签ˢ	s	4	2	接頭辞	1	lot
konciz	CSV2890	简ᴷ	k	3	6	接頭辞	1	simpl
lakon	PEJVO	简ᴸ	l	3	7	接頭辞	1	simpl
komput	CSV2890	算ᴷᴹ	km	3	37	先頭+子音	1	kalkul
aritmetik	PEJVO	算ᴬ	a	3	7	接頭辞	1	kalkul
administr	CSV2890	管ᴬ	a	7	14	接頭辞	2	tub
dukt	PEJVO	管ᴰ	d	7	12	接頭辞	1	tub
s^alm	PEJVO	管ˢ̂	ŝ	7	6	接頭辞	1	tub
intendant	PEJVO	管ᴵ	i	7	7	接頭辞	1	tub
administraci	PEJVO	管ᴬᶜ	ac	7	7	綴り内の文字	1	administr
kateter	PEJVO	管ᴷ	k	7	2	接頭辞	1	tub
valiz	CSV2890	箱ⱽ	v	4	4	接頭辞	1	kest
kofr	PEJVO	箱ᴷᶠ	kf	4	4	先頭+子音	1	kest
kontener	PIV	箱ᴷᴺ	kn	4	3	先頭+子音	1	kest
riz	CSV2890	米ᴿ	r	2	30	接頭辞	1	metr
kategori	CSV2890	类ᴷᵀ	kt	3	6	先頭+子音	1	klasifik
analogi	PEJVO	类ᴬ	a	3	4	接頭辞	1	klasifik
pulvor	CSV2890	粉ᴾ	p	4	23	接頭辞	3	farun
pudr	CSV2890	粉ᴾᴰ	pd	4	5	先頭+子音	1	pulvor
polen	PEJVO	粉ᴾᴺ	pn	4	10	綴り内の文字	1	pulvor
grajn	CSV2890	粒ᴳ	g	6	26	接頭辞	3	er
granul	PEJVO	粒ᴳᴺ	gn	6	8	綴り内の文字	3	grajn
partikl	PEJVO	粒ᴾ	p	6	6	接頭辞	1	er
korpuskl	PEJVO	粒ᴷ	k	6	4	接頭辞	1	er
granol	PEJVO	粒ᴳᴼ	go	6	1	綴り内の文字	1	grajn
rasp	PEJVO	粗ᴿ	r	3	11	接頭辞	1	krud
aspr	PIV	粗ᴬ	a	3	1	接頭辞	1	krud
viskoz	PEJVO	粘ⱽ	v	2	8	接頭辞	1	muk
setari	PEJVO	粟ˢ	s	3	1	接頭辞	1	panic
ekinokl	PEJVO	粟ᴱ	e	3	1	接頭辞	1	panic
fek	PEJVO	粪ᶠ	f	3	11	接頭辞	1	sterk
ekskrement	PEJVO	粪ᴱ	e	3	3	接頭辞	1	sterk
viktuali	PIV	粮ⱽ	v	2	1	接頭辞	1	proviant
fajn	PEJVO	精ᶠ	f	8	9	接頭辞	1	ekzakt
rafin	PEJVO	精ᴿ	r	8	13	接頭辞	1	ekzakt
nimf	PEJVO	精ᴺ	n	8	3	接頭辞	2	ekzakt
niks	PEJVO	精ᴺᴷ	nk	8	2	先頭+子音	1	nimf
silf	PEJVO	精ˢᴸ	sl	8	1	先頭+子音	1	spermat
spermat	PIV	精ˢ	s	8	2	接頭辞	3	ekzakt
spermati	PIV	精ˢᴵ	si	8	2	綴り内の文字	2	spermat
c^ur	PIV	精液ᶜ̂	ĉ	2	3	接頭辞	1	sperm
amel	PEJVO	糊ᴬ	a	2	9	接頭辞	1	past
konfit	CSV2890	糖ᴷ	k	9	5	接頭辞	2	suker
bombon	CSV2890	糖ᴮ	b	9	4	接頭辞	1	suker
kand	PEJVO	糖ᴷᴰ	kd	9	5	綴り内の文字	1	konfit
glukoz	PEJVO	糖ᴳ	g	9	2	接頭辞	4	suker
gluk	PIV	糖ᴳᴸ	gl	9	4	接頭辞	4	glukoz
glik	PIV	糖ᴳᴵ	gi	9	3	綴り内の文字	2	glukoz
sakarid	PIV	糖ˢᴰ	sd	9	9	綴り内の文字	1	suker
glucid	PIV	糖ᴳᶜ	gc	9	2	綴り内の文字	1	glukoz
glukuri	PIV	糖尿ᴳ	g	3	1	接頭辞	2	diabet
glukozuri	PIV	糖尿ᴳᶻ	gz	3	1	綴り内の文字	1	glukuri
glukozemi	PIV	糖血ᴳᶻ	gz	2	1	綴り内の文字	1	glukemi
fakultat	PEJVO	系ᶠ	f	4	12	接頭辞	1	sistem
genea	PEJVO	系ᴳ	g	4	4	接頭辞	1	sistem
spalir	PEJVO	系ˢᴾ	sp	4	2	接頭辞	1	sistem
vegetar	CSV2890	素ⱽ	v	3	4	接頭辞	2	element
vegan	PEJVO	素ⱽᴺ	vn	3	2	綴り内の文字	1	vegetar
rig	PEJVO	索ᴿ	r	4	5	接頭辞	1	indeks
staj	PEJVO	索ˢ	s	4	4	接頭辞	1	indeks
funikl	PEJVO	索ᶠ	f	4	2	接頭辞	1	indeks
kumul	PIV	累ᴷ	k	2	1	接頭辞	1	akumul
eritr	PEJVO	红ᴱ	e	3	3	接頭辞	1	ruĝ
skarlat	PEJVO	红ˢ	s	3	2	接頭辞	1	ruĝ
rizofor	PIV	红树ᴿ	r	2	2	接頭辞	1	mangl
hemati	PEJVO	红胞ᴴ	h	2	1	接頭辞	1	eritrocit
gracil	PEJVO	纤ᴳ	g	2	2	接頭辞	1	fibr
rendevu	CSV2890	约ᴿ	r	4	3	接頭辞	1	kontrakt
konvenci	CSV2890	约ᴷⱽ	kv	4	8	綴り内の文字	1	kontrakt
pakt	PEJVO	约ᴾ	p	4	1	接頭辞	1	kontrakt
rang	CSV2890	级ᴿ	r	5	21	接頭辞	1	klas
kaskad	PEJVO	级ᴷˢ	ks	5	4	先頭+子音	2	klas
hierarki	PEJVO	级ᴴ	h	5	3	接頭辞	2	klas
hierarh^i	PEJVO	级ᴴᴴ̂	hĥ	5	1	綴り内の文字	1	hierarki
veft	PEJVO	纬ⱽ	v	2	3	接頭辞	1	latitud
gaz	PEJVO	纱ᴳ	g	2	3	接頭辞	1	vual
papir	PIV	纸草ᴾᴬ	pa	2	3	接頭辞	2	papirus
fret	PEJVO	纹ᶠ	f	5	3	接頭辞	3	tatu
frang^	PEJVO	纹ᶠᴺ	fn	5	8	綴り内の文字	1	fret
arabesk	PEJVO	纹ᴬ	a	5	1	接頭辞	1	tatu
fimbril	PEJVO	纹ᶠᴹ	fm	5	1	先頭+子音	1	fret
drat	CSV2890	线ᴰ	d	4	31	接頭辞	1	lini
line	PEJVO	线ᴸᴱ	le	4	5	綴り内の文字	2	lini
linear	PEJVO	线ᴸᴿ	lr	4	6	綴り内の文字	1	lini
kompon	CSV2890	组ᴷ	k	3	18	接頭辞	1	op
organiz	PEJVO	组ᴼᴿ	or	3	0	接頭辞	1	op
detal	CSV2890	细ᴰᵀ	dt	2	19	先頭+子音	2	delikat
trik	CSV2890	织ᵀᴿ	tr	4	14	接頭辞	2	teks
trikot	CSV2890	织ᵀᵀ	tt	4	5	綴り内の文字	1	teks
hist	PEJVO	织ᴴ	h	4	8	接頭辞	1	teks
final	PEJVO	终ᶠᴸ	fl	3	5	綴り内の文字	1	fin
finis^	PIV	终ᶠˢ̂	fŝ	3	2	綴り内の文字	1	fin
varp	PEJVO	经ⱽ	v	2	7	接頭辞	1	bibli
ekonomik	CSV2890	经济ᴱᴷ	ek	2	5	接頭辞	2	ekonomi
bibliofili	PIV	经爱ᴮᴵ	bi	2	1	接頭辞	2	bibliofil
plus^	PEJVO	绒ᴾ	p	3	3	接頭辞	1	velur
lanug	PEJVO	绒ᴸ	l	3	7	接頭辞	1	velur
nod	CSV2890	结ᴺ	n	7	18	接頭辞	1	lig
bant	CSV2890	结ᴮ	b	7	3	接頭辞	1	lig
konklud	CSV2890	结ᴷ	k	7	6	接頭辞	3	lig
tuberkul	PEJVO	结ᵀ	t	7	7	接頭辞	1	lig
komisur	PEJVO	结ᴷᴹ	km	7	1	先頭+子音	1	konklud
knot	PIV	结ᴷᵀ	kt	7	1	綴り内の文字	1	konklud
skrofol	PEJVO	结核ˢ	s	2	2	接頭辞	1	ftiz
litiaz	PIV	结石ᴸ	l	2	2	接頭辞	1	kalkulus
strangol	PEJVO	绞ˢ	s	2	3	接頭辞	1	vinc^
prezident	CSV2890	统ᴾ	p	2	6	接頭辞	1	tradici
kontinu	PEJVO	续ᴷ	k	2	23	接頭辞	1	daŭr
skabioz	PEJVO	续断ˢ	s	2	1	接頭辞	1	dipsak
prefiks	CSV2890	缀ᴾ	p	4	3	接頭辞	1	sufiks
afiks	PEJVO	缀ᴬ	a	4	1	接頭辞	1	sufiks
infiks	PIV	缀ᴵ	i	4	1	接頭辞	1	sufiks
tiravir	PIV	缆ᵀ	t	2	2	接頭辞	1	kabl
damask	PEJVO	缎ᴰ	d	2	4	接頭辞	1	saten
rilaks	PEJVO	缓ᴿ	r	4	4	接頭辞	2	lant
paliativ	PEJVO	缓ᴾ	p	4	2	接頭辞	1	lant
remit	PIV	缓ᴿᴹ	rm	4	2	先頭+子音	1	rilaks
redakt	CSV2890	编ᴿ	r	5	12	接頭辞	2	plekt
kompil	CSV2890	编ᴷ	k	5	10	接頭辞	1	plekt
redaktor	CSV2890	编ᴿᴿ	rr	5	5	綴り内の文字	1	redakt
editor	PIV	编ᴱ	e	5	2	接頭辞	1	plekt
afin	PIV	缘ᴬ	a	2	4	接頭辞	1	border
steb	PEJVO	缝ˢ	s	2	5	接頭辞	1	kudr
obsed	PEJVO	缠ᴼ	o	3	4	接頭辞	1	implik
hant	PIV	缠ᴴ	h	3	1	接頭辞	1	implik
s^rump	PEJVO	缩ˢ̂	ŝ	6	4	接頭辞	1	sistol
sistol	PEJVO	缩ˢ	s	6	2	接頭辞	1	ful
deflaci	PEJVO	缩ᴰ	d	6	3	接頭辞	1	ful
miniatur	PEJVO	缩ᴹ	m	6	6	接頭辞	1	ful
kontrah	PIV	缩ᴷ	k	6	3	接頭辞	1	ful
lakun	PIV	缺ᴸ	l	3	1	接頭辞	1	mank
karenc	PIV	缺ᴷ	k	3	1	接頭辞	1	mank
bokal	PEJVO	罐ᴮ	b	3	2	接頭辞	1	amfor
kanistr	PEJVO	罐ᴷ	k	3	1	接頭辞	1	amfor
tenis	CSV2890	网ᵀ	t	3	8	接頭辞	1	ret
retikul	PIV	网ᴿᴷ	rk	3	3	綴り内の文字	1	ret
penal	PEJVO	罚ᴾᴸ	pl	2	3	綴り内の文字	1	pun
kitel	CSV2890	罩ᴷ	k	3	2	接頭辞	2	mask
klos^	PEJVO	罩ᴷᴸ	kl	3	7	接頭辞	2	kitel
pek	CSV2890	罪ᴾ	p	3	21	接頭辞	1	kulp
krim	CSV2890	罪ᴷᴿ	kr	3	23	接頭辞	1	kulp
kapr	CSV2890	羊ᴷ	k	7	15	接頭辞	2	ŝaf
merin	PEJVO	羊ᴹ	m	7	1	接頭辞	2	ŝaf
ibeks	PEJVO	羊ᴵ	i	7	1	接頭辞	1	ŝaf
muflon	PEJVO	羊ᴹᶠ	mf	7	1	先頭+子音	1	merin
ovi	PIV	羊ᴼ	o	7	2	接頭辞	1	ŝaf
karakul	PIV	羊ᴷᴿ	kr	7	1	先頭+子音	2	kapr
pterid	PEJVO	羊齿ᴾ	p	18	1	接頭辞	5	filik
osmund	PEJVO	羊齿ᴼ	o	18	1	接頭辞	1	filik
pteridi	PEJVO	羊齿ᴾᴵ	pi	18	1	綴り内の文字	5	pterid
azol	PIV	羊齿ᴬ	a	18	1	接頭辞	2	filik
psilot	PIV	羊齿ᴾˢ	ps	18	1	接頭辞	2	pterid
davali	PIV	羊齿ᴰ	d	18	1	接頭辞	3	filik
aspleni	PIV	羊齿ᴬˢ	as	18	4	接頭辞	1	azol
ceterak	PIV	羊齿ᶜ	c	18	1	接頭辞	2	filik
densteti	PIV	羊齿ᴰᴺ	dn	18	1	先頭+子音	1	davali
polistik	PIV	羊齿ᴾᴸ	pl	18	1	先頭+子音	3	pterid
platiceri	PIV	羊齿ᴾᵀ	pt	18	1	綴り内の文字	5	pterid
selaginel	PIV	羊齿ˢ	s	18	1	接頭辞	2	filik
driopterid	PIV	羊齿ᴰᴿ	dr	18	1	接頭辞	1	davali
kriptogram	PIV	羊齿ᴷ	k	18	1	接頭辞	1	filik
nefrolepid	PIV	羊齿ᴺ	n	18	1	接頭辞	1	filik
cistopterid	PIV	羊齿ᶜˢ	cs	18	1	先頭+子音	1	ceterak
skolopendri	PIV	羊齿ˢᴷ	sk	18	1	接頭辞	1	selaginel
antilop	PEJVO	羚ᴬ	a	4	2	接頭辞	1	c^am
gazel	PEJVO	羚ᴳ	g	4	2	接頭辞	2	c^am
gnu	PEJVO	羚ᴳᴺ	gn	4	1	接頭辞	1	gazel
greg	CSV2890	群ᴳ	g	3	5	接頭辞	1	ar
hord	PEJVO	群ᴴ	h	3	1	接頭辞	1	ar
arh^ipelag	PEJVO	群岛ᴬᴴ̂	aĥ	2	1	綴り内の文字	1	arkipelag
volan	PEJVO	羽ⱽ	v	2	3	接頭辞	1	plum
pterig	PEJVO	翅ᴾᴳ	pg	2	7	綴り内の文字	1	pter
lop	PEJVO	翻ᴸ	l	3	2	接頭辞	1	renvers
revers	PEJVO	翻ᴿⱽ	rv	3	3	先頭+子音	2	renvers
senil	PEJVO	老ˢ	s	3	4	接頭辞	1	veteran
old	PEJVO	老ᴼ	o	3	1	接頭辞	1	veteran
plug	CSV2890	耕ᴾ	p	3	17	接頭辞	1	kultur
s^pat	PEJVO	耕ˢ̂	ŝ	3	3	接頭辞	1	kultur
rast	PEJVO	耙ᴿ	r	2	4	接頭辞	1	erp
otoskopi	PIV	耳镜ᴼᴵ	oi	2	1	綴り内の文字	1	otoskop
pubi	PIV	耻骨ᴾᴵ	pi	2	2	綴り内の文字	1	pub
karier	CSV2890	职ᴷ	k	3	7	接頭辞	1	ofic
profesi	CSV2890	职ᴾ	p	3	13	接頭辞	1	ofic
asoci	CSV2890	联ᴬ	a	5	11	接頭辞	1	uni
federaci	CSV2890	联ᶠ	f	5	10	接頭辞	3	uni
feder	PEJVO	联ᶠᴱ	fe	5	9	接頭辞	3	federaci
federal	PEJVO	联ᶠᴸ	fl	5	2	綴り内の文字	1	federaci
kim	PIV	聚伞ᴷ	k	2	1	接頭辞	1	cum
karn	CSV2890	肉ᴷ	k	2	27	接頭辞	1	viand
bugr	PIV	肛交ᴮ	b	2	2	接頭辞	1	sodomi
intest	CSV2890	肠ᴵ	i	6	10	接頭辞	2	kolbas
enter	PEJVO	肠ᴱ	e	6	11	接頭辞	1	kolbas
ile	PEJVO	肠ᴵᴸ	il	6	1	接頭辞	1	intest
jejun	PEJVO	肠ᴶ	j	6	1	接頭辞	1	kolbas
mortadel	PIV	肠ᴹ	m	6	1	接頭辞	1	kolbas
ileit	PIV	肠炎ᴵ	i	2	1	接頭辞	1	enterit
akci	CSV2890	股ᴬ	a	3	7	接頭辞	1	koks
femur	CSV2890	股ᶠ	f	3	8	接頭辞	1	koks
skapol	PEJVO	肩ˢ	s	2	4	接頭辞	1	ŝultr
eduk	CSV2890	育ᴱ	e	2	35	接頭辞	1	kresk
pneu^mon	PEJVO	肺ᴾᴺ	pn	3	7	接頭辞	2	pulm
pneu^moni	PIV	肺ᴾᴵ	pi	3	1	綴り内の文字	1	pulm
pneu^monit	PIV	肺炎ᴾᴺ	pn	2	1	接頭辞	1	pulmit
nefr	PIV	肾ᴺ	n	2	11	接頭辞	1	ren
piel	PIV	肾盆ᴾᴸ	pl	2	1	先頭+子音	2	pjel
inflaci	PEJVO	胀ᴵ	i	4	3	接頭辞	1	puf
turg	PIV	胀ᵀ	t	4	4	接頭辞	2	puf
turgesk	PIV	胀ᵀˢ	ts	4	1	綴り内の文字	1	turg
gastr	PEJVO	胃ᴳ	g	3	22	接頭辞	2	stomak
gaster	PEJVO	胃ᴳᴱ	ge	3	1	綴り内の文字	1	gastr
stomakit	PIV	胃炎ˢ	s	2	1	接頭辞	1	gastrit
gastroskopi	PIV	胃镜ᴳᴵ	gi	2	1	綴り内の文字	1	gastroskop
kole	PIV	胆ᴷ	k	2	9	接頭辞	1	gal
kolesterin	PEJVO	胆醇ᴷᴺ	kn	2	1	綴り内の文字	1	kolesterol
parker	PEJVO	背ᴾ	p	2	5	接頭辞	1	dors
korpulent	PEJVO	胖ᴷ	k	2	2	接頭辞	1	obez
blast	PIV	胚ᴮ	b	2	10	接頭辞	1	embri
embriotomi	PIV	胚切ᴱᴼ	eo	2	1	綴り内の文字	2	embritomi
embriofit	PIV	胚植ᴱᴼ	eo	2	1	綴り内の文字	1	embrifit
embriogenez	PIV	胚源ᴱᴼ	eo	2	1	綴り内の文字	1	embrigenez
celul	PEJVO	胞ᶜ	c	4	2	接頭辞	3	ĉel
cito	PIV	胞ᶜᵀ	ct	4	6	先頭+子音	2	celul
citoz	PIV	胞ᶜᶻ	cz	4	5	綴り内の文字	1	celul
citologi	PIV	胞学ᶜ	c	2	1	接頭辞	1	c^elologi
pankreas	PEJVO	胰ᴾˢ	ps	2	1	綴り内の文字	1	pankreat
gum	CSV2890	胶ᴳᴹ	gm	5	19	先頭+子音	1	glu
kaŭĉuk	CSV2890	胶ᴷ	k	5	17	接頭辞	2	glu
koloid	PEJVO	胶ᴷᴸ	kl	5	5	先頭+子音	1	kaŭĉuk
aglutin	PEJVO	胶ᴬ	a	5	3	接頭辞	1	glu
bust	PEJVO	胸ᴮˢ	bs	4	2	先頭+子音	2	brust
steto	PEJVO	胸ˢ	s	4	4	接頭辞	1	brust
torak	PEJVO	胸ᵀ	t	4	3	接頭辞	1	brust
iv	文法層	能ᴵ	i	5	126	接頭辞	1	pov
energi	CSV2890	能ᴱ	e	5	55	接頭辞	1	pov
kapabl	CSV2890	能ᴷ	k	5	29	接頭辞	2	pov
kompetent	CSV2890	能ᴷᴹ	km	5	8	先頭+子音	1	kapabl
lard	CSV2890	脂ᴸ	l	9	11	接頭辞	2	gras
seb	PEJVO	脂ˢ	s	9	8	接頭辞	2	gras
rezin	PEJVO	脂ᴿ	r	9	12	接頭辞	1	gras
bedeli	PEJVO	脂ᴮ	b	9	1	接頭辞	1	gras
adip	PIV	脂ᴬ	a	9	4	接頭辞	1	gras
lipid	PIV	脂ᴸᴾ	lp	9	7	先頭+子音	1	lard
steat	PIV	脂ˢᵀ	st	9	4	接頭辞	1	seb
kopal	PIV	脂ᴷ	k	9	3	接頭辞	1	gras
arteri	CSV2890	脉ᴬ	a	8	6	接頭辞	2	vejn
puls	PEJVO	脉ᴾ	p	8	10	接頭辞	1	vejn
angi	PEJVO	脉ᴬᴺ	an	8	9	接頭辞	1	arteri
nervur	PEJVO	脉ᴺ	n	8	1	接頭辞	1	vejn
sfigm	PIV	脉ˢ	s	8	4	接頭辞	1	vejn
vaskul	PIV	脉ⱽˢ	vs	8	7	先頭+子音	1	vejn
fleb	PIV	脉ᶠ	f	8	2	接頭辞	1	vejn
vejnit	PIV	脉炎ⱽ	v	5	1	接頭辞	2	flebit
angiit	PIV	脉炎ᴬ	a	5	1	接頭辞	2	flebit
arteriit	PIV	脉炎ᴬᴿ	ar	5	1	接頭辞	1	angiit
vaskulit	PIV	脉炎ⱽˢ	vs	5	1	先頭+子音	1	vejnit
first	PEJVO	脊ᶠ	f	3	7	接頭辞	1	spin
raki	PIV	脊ᴿ	r	3	3	接頭辞	1	spin
hilum	PEJVO	脐ᴴ	h	2	1	接頭辞	1	umbilik
encefal	PEJVO	脑ᴱ	e	3	11	接頭辞	1	cerb
cerebr	PIV	脑ᶜᴿ	cr	3	2	先頭+子音	2	cerb
pio	PIV	脓ᴾᴵ	pi	2	5	接頭辞	1	pus
impetigin	PIV	脓疮ᴵᴺ	in	2	1	綴り内の文字	1	impetig
seps	PEJVO	腐ˢ	s	3	15	接頭辞	2	putr
sapr	PIV	腐ˢᴿ	sr	3	7	綴り内の文字	1	seps
urli	PEJVO	腮ᵁ	u	2	1	接頭辞	1	mumps
lumb	CSV2890	腰ᴸ	l	2	5	接頭辞	1	tali
lapar	PEJVO	腹ᴸ	l	3	4	接頭辞	1	ventr
abdomen	PEJVO	腹ᴬ	a	3	1	接頭辞	1	ventr
aden	PIV	腺ᴬ	a	2	10	接頭辞	1	gland
adenopati	PIV	腺病ᴬᴼ	ao	2	1	綴り内の文字	1	adenpati
gamb	CSV2890	腿ᴳ	g	2	4	接頭辞	1	krur
balzam	PEJVO	膏ᴮ	b	7	7	接頭辞	1	cir
pomad	PEJVO	膏ᴾ	p	7	2	接頭辞	2	cir
kataplasm	PEJVO	膏ᴷ	k	7	2	接頭辞	1	cir
plastr	PEJVO	膏ᴾᴸ	pl	7	1	接頭辞	1	pomad
ungvent	PEJVO	膏ᵁ	u	7	1	接頭辞	1	cir
liniment	PEJVO	膏ᴸ	l	7	1	接頭辞	1	cir
himeni	PEJVO	膜ᴴ	h	2	1	接頭辞	1	membran
patel	PEJVO	膝ᴾ	p	2	1	接頭辞	1	genu
ekspansi	PEJVO	膨ᴱ	e	2	8	接頭辞	1	dilat
grop	PIV	臀ᴳ	g	2	4	接頭辞	1	pug
vasal	PEJVO	臣ⱽ	v	2	2	接頭辞	1	ministr
spontane	PEJVO	自发ˢᴱ	se	2	7	綴り内の文字	1	spontan
au^tonomi	PEJVO	自治ᴬᴵ	ai	2	3	綴り内の文字	1	au^tonom
