type	char	root	band	fullKanji	gloss
2根	逐	proskrib	pejvo	逐	［他］追放する,=ekzili;=malpermesi;=eksterleg^igi
2根	窒	sufok	basic	窒	窒息するような,息苦しい,息詰まる
2根	窒	asfiksi	pejvo	窒	［他］【医】窒息させる
2根	忠	fidel	basic	忠	{Ｂ}忠実な,誠実な;節操の堅い,貞節な;事実を曲げない
2根	忠	lojal	basic	忠	{Ｂ}忠義な,忠実な;誠実な,公正な
2根	兆	megom	pejvo	兆	【電】=megaomo（メガオーム）
2根	挑	provok	basic	挑	挑発の;挑発する
2根	朝	dinasti	pejvo	朝	{Ｏ}【史】（一系統の）王朝
2根	跳	salt	basic	跳	{Ｂ}［自］跳ぶ,跳び上がる,跳躍する;飛び移る,飛びのく;《転》飛躍する;《転》急増する
2根	跳	kapriol	pejvo	跳	［自］跳ね回る,跳躍する
piv単独	珍	delic	piv	珍	【PIV】Delikata g^uo (gastronomia, amora k.a. (k
2根	爪	ung	basic	爪	［他］つめを立てる,ひっかく,>>ungograti,>>ungovundi
2根	爪	klik	pejvo	爪	【機】歯止め,爪（つめ）;（排他的な）徒党,一味,派閥
2根	抵	hipotek	pejvo	抵	［他］抵当に入れる,担保に入れる
2根	蹄	huf	basic	蹄	{Ｂ}【動】ひづめ（蹄）
2根	摘	pluk	pejvo	摘	［他］（花や実を）摘む,摘みとる,>>des^iri;つまみ上げる;【楽】（ハープなどを）つ
2根	摘	enukle	pejvo	摘	［他］【医】（腫瘍・眼球などを）摘出する
2根	哲	filozofi	basic	哲	哲学的な
2根	哲	filozof	pejvo	哲	［自］=filozofii（哲学する）;達観する
2根	堵	ŝtop	basic	堵	(無)
2根	堵	obtur	pejvo	堵	［他］（穴や開口部を）ふさぐ,密閉する;【医】（虫歯を）充填する
2根	徒	van	basic	徒	{Ｂ}実りのない,むだな;むなしい,実質を伴わない
2根	徒	adept	pejvo	徒	{Ｏ}（学説・教義の）信奉者;（思想・運動の）支持者,仲間,同志
2根	奴	sklav	basic	奴	奴隷の,奴隷的な;卑屈な,言いなりの
2根	怒	koler	basic	怒	怒りの,立腹した,怒っている
2根	怒	kolerik	piv	怒	【医】【PIV】Apartenanta al unu el la kvar temperam
2根	党	parti	basic	党	党の;=partieca（党派的な）
2根	刀	sabr	pejvo	刀	［他］サーベルで切る,切りつける
2根	痘	akn	basic	痘	{Ｂ}にきび,吹き出物（ふきでもの）
2根	痘	variol	pejvo	痘	{Ｏ}【病】天然痘,痘瘡（とうそう）
2根	答	respond	basic	答	答えの,返答の;一致する,対応する;責任のある
2根	踏	tret	pejvo	踏	{Ｏ}［他］踏む,踏みつける;踏みつぶす
2根	橡	kverk	basic	橡	{Ｂ}【植】ナラ（楢）,カシ（樫）,オーク;【植】コナラ属
2根	橡	glan	pejvo	橡	{Ｏ}【植】カシの実,どんぐり;【解】亀頭
2根	年	jar	basic	年	年間の,=unujara;年次の,毎年の,=c^iujara
2根	燃	brul	basic	燃	燃えるような,燃焼の
2根	燃	fuel	pejvo	燃	【技】【PIV】Solida, likva au^ gasa substanco el ki
2根	波	ond	basic	波	波の,波状の
2根	肺	pulm	basic	肺	肺の
2根	肺	pneu^mon	pejvo	肺	【医】【PIV】Pulmo (en kunmetaj^oj).
2根	倍	ploid	piv	倍	【生】【PIV】Nombro de homologaj serioj de la n kro
2根	媒	svat	basic	媒	{Ｂ}［他］（職業的に）結婚を仲介する,仲人する
2根	媒	medium	pejvo	媒	霊媒の
2根	陪	akompan	basic	陪	{Ｂ}［他］同行する;【楽】伴奏する
2根	博	doktor	basic	博	博士の
2根	博	erudici	pejvo	博	学識豊かな,博識の
2根	舶	bark	basic	舶	{Ｂ}小型船,小型帆船（s^ipoより小さく、boatoより大きい）;【海】バーク船
2根	爆	eksplod	basic	爆	{Ｂ}［自］爆発する,破裂する;《転》激高する;《転》勃発（ぼっぱつ）する
2根	卑	trivial	pejvo	卑	{Ｏ}野卑な,下卑た,卑俗な,低俗な,>>banala,>>vulgara
2根	披	mantel	basic	披	{Ｂ}【服】マント,外套,コート,ケープ;【建】マントルピース;《転》覆い隠すもの
2根	泌	sekreci	pejvo	泌	［他］分泌する
2根	肥	fekund	basic	肥	繁殖力のある,多産な;《転》実り多い,肥沃（ひよく）な
2根	被	pasiv	basic	被	{Ｏ}受身の,消極的な;【Ｇ】受動の
2根	避	evit	basic	避	{Ｂ}［他］避ける,回避する,
2根	避	rifuĝ	basic	避	(無)
2根	膝	genu	basic	膝	［自］ひざまずいている,ひざ立ちしている
2根	菱	romb	pejvo	菱	{Ｏ}【数】菱形（ひしがた）;【魚】=rombofis^o（ヒラメの一種）
2根	菱	lozang^	pejvo	菱	{Ｏ}（紋章の）菱形紋;（宝石の）菱形面;（ひし形の）糖衣錠,=pastelo;【数】=>r
2根	必	neces	basic	必	{Ｂ}必要な,不可欠の;【論】必然の,必然的な
2根	必	nepr	basic	必	絶対必要な,不可欠の,必然の
piv単独	逼	kompuls	piv	逼	【PIV】(tr (transitiva)) Igi, ke iu efektive ple
2根	品	frand	basic	品	美味の,おいしいそうな
2根	怖	teror	pejvo	怖	【政】テロル,テロ,組織的暴力
2根	怖	horor	pejvo	怖	身の毛もよだつ,戦慄すべき
2根	侮	ofend	basic	侮	侮辱的な,感情を害する,無礼な
2根	侮	insult	basic	侮	侮辱的な,ののしりの
2根	武	arm	basic	武	{Ｂ}［他］武装させる;装甲する
2根	覆	teg	basic	覆	{Ｂ}［他］（布・皮などで）上張りする,覆いをする
2根	覆	mulc^	pejvo	覆	［他］【農】（作物に）敷き藁を敷く,マルチングする
2根	吻	kis	basic	吻	{Ｂ}［他］キスする,口づけする;《転》そっと触れる
2根	焚	incendi	pejvo	焚	火災の,=brulega;放火の,=bruliga
piv単独	丙	propil	piv	丙	【化】【PIV】La radiko CH 3-CH 2-CH 2 -.
piv単独	蔑	disdegn	piv	蔑	【PIV】(tr (transitiva)) Mals^ati: alpreni tian 
2根	墓	tomb	basic	墓	墓の,墓のような
2根	峰	alp	pejvo	峰	【地理】【PIV】Alta monto, kun pas^tejoj sur la flan
2根	崩	kolaps	pejvo	崩	［自］【病】虚脱する;【天】崩壊する;【情】フリーズする;《転》（急に）意気消沈する,衰弱す
2根	放	emancip	pejvo	放	{Ｏ}［他］【法】親権を解除する;《転》（政治的・社会的束縛から）解放する,>>liberi
2根	烹	kuir	basic	烹	料理の,調理の
2根	烹	gastronomi	basic	烹	(無)
2根	蓬	vil	pejvo	蓬	毛で覆われた,毛むくじゃらの,けば立った
