-ant-	在
heroo	杰/o
heziti	犹/i
hierau^	昨
higieno	卫ᴴ/o
himno	颂/o
hirundo	燕/o
historio	史/o
hodiau^	今
hoko	钩/o
homo	人/o
honesta	诚/a
honoro	誉/o
honti	耻/i
hordeo	麦ᴴ/o
horizonto	界ᴴ/o
horlog^o	钟ᴴᴸ/o
horo	钟/o
hospitalo	医ᴴ/o
hotelo	馆/o
humana	仁/a
humida	湿/a
humila	谦/a
humoro	情ᴴ/o
hundo	犬/o
ia	某a
ial	某因
iam	某时
idealo	想ᴵᴰ/o
identa	同ᴵ/a
ideo	意/o
ie	某e
iel	某样
ies	某之
ignori	忽/i
ili	他们
ilustri	图ᴵ/i
imagi	想ᴵ/i
imiti	仿/i
imperio	帝/o
impliki	缠/i
importi	进ᴵ/i
imposto	税/o
impreso	印ᴵ/o
imuna	免/a
inciti	惹/i
indiferenta	冷/a
indigni	愤/i
indiki	指ᴵ/i
individuo	个/o
indulgi	饶/i
industrio	业/o
infano	童/o
infekti	染/i
infero	狱/o
influi	影ᴵ/i
informi	告/i
iniciati	创ᴵᶜ/i
injekti	注ᴵ/i
inklina	倾ᴵ/a
inko	墨/o
insekto	虫/o
insigno	徽/o
insisti	坚ᴵ/i
inspiri	启/i
instali	装ᴵ/i
instigi	唆/i
instinkto	本/o
instrui	教/i
instrumento	器ᴵ/o
insulo	岛/o
insulti	侮ᴵ/i
intelekto	智ᴵ/o
inteligenta	聪/a
intenci	意ᴵᴺ/i
inter	间
interesi	趣/i
interna	内ᴵ/a
interpreti	译ᴵ/i
intesto	肠ᴵ/o
intima	亲ᴵ/a
inundi	淹/i
inventi	创ᴵ/i
inviti	邀/i
ing^eniero	技ᴵ/o
io	某o
iom	某量
iri	往/i
ironio	反ᴵ/o
iu	某u
izoli	隔/i
ja	确ᴶ
jako	服ᴶ/o
jam	已
januaro	一月/o
jaro	年/o
jen	这
jes	对ᴶ
ju	越ᴶ
jubileo	庆典/o
julio	七月/o
juna	幼/a
junio	六月/o
jupo	裙/o
juro	法/o
justa	公ᴶ/a
juvelo	宝/o
jug^i	判/i
kabano	庐/o
kabineto	阁ᴷ/o
kadro	框/o
kaduka	朽/a
kaj	和ᴷ
kajero	册/o
kajo	码ᴷᴶ/o
kaldrono	锅ᴷ/o
kalendaro	历/o
kalkano	跟/o
kalkuli	算/i
kalsono	裤ᴷ/o
kalumnii	谤/i
kamarado	伴ᴷᴿ/o
kameno	炉ᴷ/o
kamiono	车ᴷ/o
kampo	田/o
kanalo	渠/o
kandelo	烛/o
kandidato	候/o
kanti	唱/i
kanzono	曲ᴷᴺ/o
kapabla	能ᴷ/a
kapitalo	资/o
kapo	头/o
kapro	羊ᴷ/o
kapti	捕/i
kara	亲/a
karaktero	格/o
karbo	炭/o
karesi	抚/i
karno	肉/o
karoto	胡萝卜/o
kartono	板ᴷ/o
kaserolo	锅ᴷˢ/o
kaso	库/o
kastelo	城/o
katalogo	录ᴷ/o
kataro	炎/o
kategorio	类ᴷᵀ/o
kateno	链ᴷ/o
kato	猫/o
kavo	洞/o
kazo	例ᴷ/o
kac^o	粥/o
kag^o	笼/o
kas^i	藏/i
kas^tano	栗/o
kau^zo	因ᴷ/o
kau^c^uko	胶ᴷ/o
ke	事
kelka	些/a
kelnero	侍/o
kelo	窖/o
kemio	化学/o
kerno	核/o
kesto	箱/o
kia	何a
kial	何因
kiam	何时
kie	何e
kiel	何样
kies	何之
kino	映/o
kio	何o
kiom	何量
kirurgio	外科ᴷᴵ/o
kisi	吻/i
kiu	何u
klara	清/a
klasika	典/a
klaso	级/o
klera	文/a
kliento	客ᴷ/o
klimato	气候/o
klini	斜/i
klopodi	尽/i
klubo	社ᴷ/o
knabo	郎/o
knedi	揉/i
koketa	媚ᴷ/a
koko	鸡/o
kolegio	院ᴷᴸ/o
kolektiva	集/能ᴵ/a
koleri	怒/i
kolizii	撞/i
kolo	颈/o
kolombo	鸽/o
kolono	柱ᴷ/o
koloro	色/o
kolumno	栏/o
komandi	令ᴷ/i
kombi	梳/i
kombini	合/i
komedio	剧ᴷ/o
komenci	始ᴷ/i
komerci	商/i
komforta	舒/a
komika	笑ᴷ/a
komisii	委ᴷ/i
komisiono	委ᴷᴺ/o
komitato	委ᴷᵀ/o
komo	逗/o
kompanio	伴ᴷᴹ/o
kompari	较/i
kompati	怜/i
kompetenta	能ᴷᴹ/a
kompleta	全ᴷ/a
kompliki	复ᴷᴹ/i
komponi	组ᴷ/i
kompreni	解/i
komuna	共ᴷᴹ/a
komuniki	传/i
koncepto	概ᴷ/o
koncerni	涉ᴷ/i
koncerto	奏/o
kondamni	判ᴷ/i
kondic^o	件/o
konduki	导ᴷ/i
konduti	举ᴷ/i
konferenco	会ᴷᶠ/o
konfesi	认ᴷᶠ/i
konfidenco	秘ᴷ/o
konfidi	信ᴷᴺ/i
konfirmi	确ᴷ/i
konfuzi	乱/i
kongreso	会/o
koni	认/i
konjekti	猜ᴷ/i
konkludi	结ᴷ/i
konkuri	竞/i
konkurso	竞ᴷˢ/o
konscienco	良ᴷ/o
konscii	觉/i
konsekvenco	果ᴷ/o
konsenti	赞ᴷ/i
konservi	存ᴷ/i
konsideri	虑/i
konsili	议/i
konsisti	成ᴷ/i
konsoli	慰/i
konstanta	恒/a
konstati	确ᴷˢ/i
konstitucio	宪/o
konstrui	建/i
konsumi	耗/i
kontanta	现ᴷ/a
kontenta	满ᴷ/a
kontrakti	约/i
kontrau^	对
kontroli	检/i
konvena	适ᴷ/a
konversacii	谈/i
konvinki	服ᴷ/i
korbo	篮/o
kordo	弦/o
korekti	改/i
korespondi	通/i
koridoro	廊/o
korno	角/o
koro	心/o
korpo	体/o
korto	院/o
korvo	鸦/o
kosmo	宇/o
kosti	费/i
kostumo	装ᴷ/o
koto	泥/o
kotono	棉ᴷ/o
koverto	封/o
kovri	盖/i
krado	栅/o
krajono	笔ᴷ/o
kranio	颅/o
krano	栓/o
kravato	领带/o
krac^i	吐ᴷ/i
kredi	信/i
kredito	信/受/o
krei	创/i
kremo	酪/o
krepusko	昏ᴷ/o
kreski	育/i
kreto	白石/o
krevi	裂ᴷ/i
krii	叫/i
krimo	罪ᴷᴿ/o
kripla	残ᴷᴾ/a
kristalo	晶/o
kritiki	评ᴷ/i
krizo	危ᴷ/o
krokodilo	鳄/o
krom	外
krono	冠/o
kroc^i	钩ᴷ/i
kruco	十字/o
kruda	粗/a
kruela	残/a
kruro	腿/o
krusto	壳ᴷ/o
kruta	陡/a
kruc^o	壶ᴷ/o
kubo	方ᴷ/o
kubuto	肘/o
kudri	缝/i
kuglo	弹ᴷ/o
kuiri	烹/i
kuko	糕/o
kukumo	瓜ᴷ/o
kukurbo	瓜ᴷᴿ/o
kulero	勺/o
kulpa	罪/a
kulturi	耕/i
kun	共
kuniklo	兔ᴷ/o
kupono	券/o
kupro	铜/o
kuraci	医/i
kurag^a	勇/a
kurbo	曲/o
kuri	跑/i
kurioza	奇ᴷ/a
kurso	课/o
kurteno	帘/o
kuseno	垫/o
kutimo	习/o
kuvo	桶/o
kuzo	堂/o
kus^i	躺/i
kvadrato	方ᴷⱽ/o
kvalito	质ᴷ/o
kvankam	虽
kvanto	量/o
kvar	四
kvartalo	区ᴷ/o
kvazau^	如
kverko	橡/o
kvieta	静ᴷ/a
kvin	五
la	该
labori	劳/i
laca	疲/a
lado	板ᴸ/o
lago	湖/o
lakto	乳/o
lama	跛/a
lampo	灯/o
lando	国/o
lango	舌/o
lano	毛ᴸ/o
lardo	脂ᴸ/o
larmo	泪/o
larg^a	宽/a
lasi	留/i
lasta	末/a
lavi	洗/i
lau^	按
lau^di	赞/i
lau^ta	响ᴸ/a
leciono	课ᴸ/o
ledo	革/o
legi	读/i
legomo	菜/o
lekcio	讲ᴸ/o
leki	舔/i
leono	狮/o
leporo	兔/o
lerni	学/i
lerta	巧/a
letero	信ᴸ/o
