-ant-	在
marmelado	果酱/o
masoni	砌/i
mastr/umi	主/um/i
melki	挤/i
metalurgio	冶金/o
meh^aniko	械ᴹᴴ̂/o
meh^anismo	机ᴹᴱ/主义/o
milimetro	粟ᴹ/米/o
mir/inda	惊/值/a
mirtelo	果ᴹ/o
mistifiki	骗ᴹ/i
munti	装ᴹ/i
muzelo	口鼻/o
mug^i	吼/i
najtingalo	夜莺/o
nepra	必ᴺᴾ/a
nervoza	躁/a
neto	清ᴺ/o
nuko	项/o
nul	零
oficiro	军官/o
olivo	橄榄/o
operacii	操/i
opero	歌剧/o
oponi	反ᴼ/i
opozicii	对ᴼ/i
oratoro	演说/o
orfo	孤/o
orienti	东/i
orto	直角/o
ovalo	椭圆/o
pajlo	草ᴾ/o
palato	口顶/o
paliso	桩ᴾ/o
palmo	棕/o
paralelo	并/o
paras^uto	伞ᴾ/o
pavo	孔雀/o
pau^zi	歇/i
pekli	盐浸/i
pendolo	摆/o
perono	台ᴾᴿ/o
piceo	云杉/o
pigo	鹊/o
piloto	领航/o
pioc^o	镐/o
pipo	烟斗/o
plago	灾ᴾ/o
pland/umo	足底/um/o
plando	足底/o
planto	植/o
plastiko	塑ᴾᴷ/o
platano	悬铃木/o
plen/ag^a	满/岁/a
plen/umi	满/um/i
pleto	盘ᴾ/o
pli/igi	更/使/i
plong^i	潜/i
pluralo	复数/o
poluro	磨ᴾ/o
porcelano	瓷/o
precipa	主ᴾᶜ/a
preskribi	规ᴾ/i
produkto	产/o
profeto	先知/o
proksim/uma	近/um/a
proletario	无产ᴾᴿ/o
proleto	无产/o
propagandi	传ᴾ/i
propozicio	句ᴾ/o
provizo	供ᴾ/o
provoki	挑/i
pruno	李/o
prunto	借/o
pudro	粉ᴾᴰ/o
punto	花边/o
pupilo	瞳/o
puso	脓/o
racio	理ᴿ/o
radiatoro	散热/o
rau^ka	沙哑/a
rau^po	毛虫/o
re/formi	再/形/i
reakcio	反应/o
reflekti	反射/i
regimento	团ᴿ/o
registro	录/o
reklami	宣ᴿ/i
rekompenco	酬/o
rekordo	记ᴿ/o
rekt/angulo	直/角ᴬ/o
rento	租ᴿ/o
resto	余/o
resumo	再/总/o
revolucii	革ᴿ/i
rezervo	储/o
ribeli	叛/i
ribo	醋栗/o
riveli	揭/i
riverenci	拜ᴿ/i
rivoluo	转ᴿ/o
roso	露/o
rulo	卷ᴿ/o
rusto	锈/o
sarki	耘/i
satiro	讽刺/o
sci/vola	知/愿/a
sciuro	松鼠/o
sekalo	黑麦/o
sekci	切ˢ/i
senato	上院/o
sin/dona	己/n/给/a
sin/garda	己/n/守/a
sin/teno	己/n/持/o
singularo	单ˢ/o
sino	怀/o
sitelo	桶ˢ/o
situo	位/o
skorpio	蝎/o
sledo	雪车/o
solido	固/o
sonoro	响/o
sorgo	高粱/o
spektaklo	戏/o
spinaco	菠菜/o
spiti	逆ˢ/i
splito	片ˢ/o
spongo	海绵/o
stadiono	赛场/o
stameno	雄蕊/o
stampo	印ˢ/o
starti	起/i
sterko	粪/o
streko	划ˢ/o
strigo	猫头鹰/o
striki	罢/i
struto	鸵鸟/o
stumpo	桩/o
substanco	质ˢ/o
subtila	精细/a
suplemento	补ˢ/o
supro	顶/o
susuri	沙响/i
svati	媒/i
takto	拍ᵀ/o
tapeto	壁纸/o
tau^ga	适/a
tegolo	瓦/o
telegrafo	远/记ᴳ/o
telegramo	远/克/o
tempesto	暴风ᵀ/o
tenera	柔ᵀ/a
ter/pomo	地/苹/o
teraso	台ᵀ/o
terni	喷ᵀ/i
teh^niko	技ᵀᴴ̂/o
tinkturo	染ᵀ/o
tinti	鸣/i
torento	激流/o
torto	饼/o
tragika	悲剧/a
traktato	条约/o
traktoro	拖ᵀᴷ/o
tramo	电车/o
tri/angulo	三/角ᴬ/o
tribunalo	法院/o
trumpeto	小号/o
tufo	丛/o
vadi	涉/i
vakso	蜡/o
vanta	虚/a
vejno	脉/o
veluro	绒/o
vergo	枝ⱽ/o
vertico	顶ⱽᶜ/o
vertikalo	竖/o
verto	顶ⱽ/o
veruko	瘤/o
vespo	蜂ⱽ/o
veziko	囊/o
viadukto	旱桥/o
vindo	裹/o
vito	葡/o
volonta	愿ⱽᴺ/a
vulkano	火山/o
vulturo	秃鹰/o
c^ar/umo	因/um/o
c^aro	车ᶜ̂/o
c^e/esti	在ᶜ̂/是/i
c^erko	棺/o
c^ifi	皱/i
g^endarmo	宪兵/o
g^ibo	凸/o
h^emio	化ᴴ̂/o
s^akalo	胡狼/o
s^arg^o	载/o
s^pini	纺/i
s^tipo	圆木/o
