種別	実在語	見出し語	面	最上位層	マークで分断	中国語の出所
偽友候補	向往	al/ir/temp/o	向往时o	CSV2890側		sopiri
偽友候補	向往	disk/al/ir/o	盘向往o	CSV2890側		sopiri
偽友候補	响声	lau^t/voc^/a	响声a	CSV2890側	Y	sonoro
偽友候補	响声	lau^t/voc^/e	响声e	CSV2890側	Y	sonoro
偽友候補	圆形	rond/form/a	圆形a	CSV2890側		cirklo
偽友候補	地球	geo/sfer/o	地球o	CSV2890側	Y	globo tero
偽友候補	场所	antau^/scen/ej/o	前场所o	CSV2890側		loko
偽友候補	场所	scen/ej/muzik/o	场所乐o	CSV2890側		loko
偽友候補	场所	scen/ej/o	场所o	CSV2890側		loko
偽友候補	场所	tabul/scen/ej/o	板场所o	CSV2890側		loko
偽友候補	壁毯	mur/tapis^/o	壁毯o	CSV2890側		tapeto
偽友候補	壁纸	mur/paper/o	壁纸o	CSV2890側		tapeto
偽友候補	声带	son/bend/il/o	声带具o	CSV2890側		kordo
偽友候補	声带	son/bend/o	声带o	CSV2890側		kordo
偽友候補	声带	son/bend/registr/il/o	声带录具o	CSV2890側		kordo
偽友候補	声量	son/kvant/o	声量o	CSV2890側		organo
偽友候補	外皮	ekto/derm/o	外皮o	CSV2890側	Y	haŭto ŝelo
偽友候補	大使	grand/ig/i	大使i	CSV2890側		ambasadoro
偽友候補	大使	majuskl/ig/a	大使a	CSV2890側	Y	ambasadoro
偽友候補	大使	majuskl/ig/i	大使i	CSV2890側	Y	ambasadoro
偽友候補	大使	mal/grand/ig/i	反大使i	CSV2890側		ambasadoro
偽友候補	大使	pli/grand/ig/i	更大使i	CSV2890側		ambasadoro
偽友候補	大使	pli/grand/ig/il/o	更大使具o	CSV2890側		ambasadoro
偽友候補	大使	pli/grand/ig/it/a	更大使受a	CSV2890側		ambasadoro
偽友候補	大使	pli/grand/ig/o	更大使o	CSV2890側		ambasadoro
偽友候補	大使	pli/mal/grand/ig/i	更反大使i	CSV2890側		ambasadoro
偽友候補	大使	tro/grand/ig/i	太大使i	CSV2890側		ambasadoro
偽友候補	大小	majuskl/et/o	大小o	CSV2890側	Y	amplekso dimensio
偽友候補	大小	grand/et/a	大小a	CSV2890側		amplekso dimensio
偽友候補	头巾	kap/tuk/o	头巾o	CSV2890側		vualo
偽友候補	委员	komision/an/o	委员o	CSV2890側	Y	komisaro
偽友候補	委员	komitat/an/o	委员o	CSV2890側	Y	komisaro
偽友候補	子弹	atom/bomb/a	子弹a	CSV2890側	Y	kuglo
偽友候補	子弹	atom/bomb/it/a	子弹受a	CSV2890側	Y	kuglo
偽友候補	子弹	atom/bomb/o	子弹o	CSV2890側	Y	kuglo
偽友候補	存在	depon/ant/o	存在o	CSV2890側	Y	ekzisti esti
偽友候補	存在	konserv/ant/o	存在o	CSV2890側	Y	ekzisti esti
偽友候補	对应	kontrau^/dev/a	对应a	CSV2890側		korespondi respondi
偽友候補	对立	kontrau^/star/i	对立i	CSV2890側		opozicio
偽友候補	对立	kontrau^/star/ig/i	对立使i	CSV2890側		opozicio
偽友候補	对立	kontrau^/star/o	对立o	CSV2890側		opozicio
偽友候補	对话	kontrau^/parol/i	对话i	CSV2890側		dialogo
偽友候補	对话	kontrau^/parol/o	对话o	CSV2890側		dialogo
偽友候補	对话	kontrau^/parol/a	对话a	CSV2890側		dialogo
偽友候補	射线	paf/lini/o	射线o	CSV2890側		radio
偽友候補	干线	trunk/lini/o	干线o	CSV2890側	Y	arterio
偽友候補	床垫	lit/kusen/o	床垫o	CSV2890側		matraco
偽友候補	强使	fort/ig/i	强使i	CSV2890側		trudi
偽友候補	强使	mal/fort/ig/i	反强使i	CSV2890側		trudi
偽友候補	强使	pli/fort/ig/i	更强使i	CSV2890側		trudi
偽友候補	强使	pli/fort/ig/i	更强使i	CSV2890側		trudi
偽友候補	强使	sen/fort/ig/i	无强使i	CSV2890側		trudi
偽友候補	强使	fort/ig/a	强使a	CSV2890側		trudi
偽友候補	微粒	mikro/grajn/a	微粒a	CSV2890側		atomo polvo
偽友候補	急使	urg^/ig/i	急使i	CSV2890側		ekspreso
偽友候補	性向	seks/al/log/o	性向诱o	CSV2890側	Y	tendenco
偽友候補	性爱	sam/seks/am/o	同性爱o	CSV2890側	Y	amoro
偽友候補	怪物	grotesk/aj^/o	怪物o	CSV2890側	Y	monstro
偽友候補	手套	man/muf/o	手套o	CSV2890側		ganto
偽友候補	手链	man/katen/o	手链o	CSV2890側		braceleto
偽友候補	推测	s^ov/mezur/il/o	推测具o	CSV2890側	Y	konjekti
偽友候補	文书	tekst/libr/o	文书o	CSV2890側	Y	akto dokumento papero
偽友候補	无效	sen/efik/a	无效a	CSV2890側		kaduka
偽友候補	无效	sen/valid/ig/i	无效使i	CSV2890側		kaduka
