層	分節	単独語数	単独接地率	合成語数	合成接地率	文脈保持率
tier0_CSV2890	teg	4	1.000	2	0.000	0.00
tier0_CSV2890	liver	5	0.800	4	0.000	0.00
tier0_CSV2890	mat	5	0.800	3	0.000	0.00
tier0_CSV2890	rifug^	5	0.800	2	0.000	0.00
tier0_CSV2890	mild	4	0.250	3	0.000	0.00
tier0_CSV2890	net	4	1.000	5	0.000	0.00
tier0_CSV2890	ofert	2	1.000	2	0.000	0.00
tier0_CSV2890	orator	4	0.750	2	0.000	0.00
tier0_CSV2890	origin	4	0.750	5	0.000	0.00
tier0_CSV2890	palpebr	3	0.667	1	0.000	0.00
tier0_CSV2890	panik	3	1.000	1	0.000	0.00
tier0_CSV2890	patron	4	1.000	1	0.000	0.00
tier0_CSV2890	persekut	7	0.857	1	0.000	0.00
tier0_CSV2890	renkont	6	0.333	1	0.000	0.00
tier0_CSV2890	plad	3	1.000	2	0.000	0.00
tier0_CSV2890	plast	3	1.000	3	0.000	0.00
tier0_CSV2890	praktik	8	0.500	6	0.000	0.00
tier0_CSV2890	precip	2	0.500	1	0.000	0.00
tier0_CSV2890	pudr	3	0.333	1	0.000	0.00
tier0_CSV2890	pugn	2	0.500	3	0.000	0.00
tier0_CSV2890	vip	4	0.250	5	0.000	0.00
tier0_CSV2890	start	7	0.429	1	0.000	0.00
tier0_CSV2890	sagac	3	1.000	2	0.000	0.00
tier0_CSV2890	veng^	7	0.143	3	0.000	0.00
tier0_CSV2890	satan	3	1.000	1	0.000	0.00
tier0_CSV2890	tempest	1	1.000	1	0.000	0.00
tier0_CSV2890	specif	5	0.800	4	0.000	0.00
tier0_CSV2890	stok	4	0.250	1	0.000	0.00
tier0_CSV2890	strang	5	0.800	3	0.000	0.00
tier0_CSV2890	subjekt	6	1.000	1	0.000	0.00
tier0_CSV2890	tabu	4	0.750	1	0.000	0.00
tier0_CSV2890	tajp	2	0.500	1	0.000	0.00
tier0_CSV2890	teras	2	0.500	1	0.000	0.00
tier0_CSV2890	tigr	2	0.500	2	0.000	0.00
tier0_CSV2890	veget	9	0.111	8	0.000	0.00
tier0_CSV2890	van	2	0.500	6	0.000	0.00
tier0_CSV2890	kultur	7	0.714	32	0.031	0.04
tier0_CSV2890	konsum	8	0.750	14	0.071	0.10
tier0_CSV2890	kvartal	6	0.833	12	0.083	0.10
tier0_CSV2890	mens	3	1.000	10	0.100	0.10
tier0_CSV2890	aviad	6	0.500	19	0.053	0.11
tier0_CSV2890	figur	6	0.667	12	0.083	0.12
tier0_CSV2890	infekt	9	1.000	8	0.125	0.12
tier0_CSV2890	ordinar	4	0.750	11	0.091	0.12
