sig	r	rk	rb	y	yk	yb
>>	grunt	哼	pejvo	blek	鸣	basic
>>	grup	团	basic	kolektiv	集	basic
=	gruz	砾	pejvo	kart	卡	basic
>>	guberni	省	basic	prefekt	督	pejvo
=	gum	胶	basic	frot	擦	basic
>>	gvat	监	pejvo	observ	观	basic
>>	g^el	凝胶	pejvo	koloid	胶	pejvo
>>	g^el	凝胶	pejvo	sol	唯	basic
=	harmonik	琴	pejvo	bus	车	basic
=	harmonik	琴	pejvo	harmoni	谐	basic
>>	harmonium	风琴	pejvo	orgen	琴	pejvo
>>	hast	匆	pejvo	rapid	速	basic
>>	hast	匆	pejvo	ur	原牛	pejvo
=	hektar	公顷	basic	cent	百	num
>>	hel	亮	basic	lum	光	basic
>>	hel	亮	basic	pal	苍	basic
=	heliant	向日葵	pejvo	sun	阳	basic
>>	helic	螺	pejvo	spiral	旋	pejvo
=	helic	螺	pejvo	pel	驱	basic
=	helik	螺	pejvo	spiral	旋	pejvo
=	helik	螺	pejvo	volv	卷	basic
=	hemoragi	出血	pejvo	sang	血	basic
>>	hen	嘶	pejvo	blek	鸣	basic
=	hepatik	肝草	pejvo	hepat	肝	basic
=	hermafrodit	两性	pejvo	am	爱	basic
=	hil	蛙	pejvo	verd	绿	basic
>>	hipermetrop	远	pejvo	miop	近	basic
>>	hipermetrop	远	pejvo	presbiop	老花	pejvo
=	hirund	燕	basic	dom	屋	basic
=	his	升	pejvo	supr	顶	basic
=	hok	钩	basic	fi	卑	pref
=	holoturi	海参	pejvo	mark	标	basic
>>	horizontal	横	basic	vertikal	竖	basic
>>	horor	怖	pejvo	tim	怕	basic
>>	horor	怖	pejvo	terur	恐	basic
>>	horor	怖	pejvo	abomen	厌	basic
=	hospital	医	basic	mal	反	pref
=	humid	湿	basic	mal	反	pref
=	humor	情	basic	humur	谐	basic
>>	humur	谐	basic	sprit	智	basic
>>	idili	田园	pejvo	ek	始	pref
>>	idili	田园	pejvo	past	糊	basic
=	ikon	圣像	pejvo	sankt	圣	basic
=	ileks	冬青	pejvo	akvifoli	木	piv
>>	ile	肠	pejvo	mal	反	pref
>>	imagin	成虫	pejvo	larv	幼虫	basic
>>	imagin	成虫	pejvo	pup	偶	basic
>>	imanent	内	pejvo	transcend	超	pejvo
>>	import	进	basic	eksport	出	basic
>>	improviz	即兴	pejvo	sen	无	prep
=	incendi	焚	pejvo	brul	燃	basic
>>	incens	香	pejvo	odor	气	basic
=	indic	征	basic	indik	指	basic
=	inflam	炎	sci	brul	燃	basic
=	influenc	感	pejvo	elektr	电	basic
=	influenc	感	pejvo	grip	流感	basic
=	inocent	无罪	pejvo	sen	无	prep
>>	insid	陷	basic	embusk	伏	pejvo
>>	insid	陷	basic	artifik	诈	pejvo
>>	inspektor	检	basic	reg^isor	导演	pejvo
=	interez	利	basic	rent	租	basic
>>	intest	肠	basic	dik	厚	basic
>>	intest	肠	basic	mal	反	pref
>>	invent	创	basic	el	出	prep
=	invest	投资	pejvo	investitur	任	pejvo
>>	investitur	任	pejvo	en	内	prep
=	jah^t	游艇	pejvo	jakt	艇	basic
=	jar	年	basic	unu	一	num
=	jar	年	basic	c^i	此	func
=	jard	码	pejvo	vel	帆	basic
>>	jet	喷	basic	reaktor	反应堆	pejvo
>>	jogurt	酸乳	pejvo	ja	确	func
=	j^ak	插孔	pejvo	re	再	pref
>>	j^argon	黑话	pejvo	slang	俗语	pejvo
=	j^uri	陪审	pejvo	jug	束缚	basic
>>	kadr	框	basic	en	内	prep
>>	kak	屎	pejvo	fek	粪	pejvo
>>	kalistegi	旋花	pejvo	kon	认	basic
=	kalk	灰	basic	kalci	钙	elem
>>	kamera	摄	pejvo	fot	拍	basic
=	kamer	室	pejvo	kamera	摄	pejvo
>>	kancer	癌	basic	tumor	瘤	pejvo
>>	kan	苇	pejvo	frag	果	basic
>>	kan	苇	pejvo	rota	皇院	piv
>>	kanu	舟	pejvo	kaj	和	func
>>	kapriol	跳	pejvo	kapr	羊	basic
>>	kapsik	辣	pejvo	paprik	甜椒	pejvo
=	karaktr	字	pejvo	sign	符	basic
=	kardi	心	sci	kardj	胃门	piv
=	karik	木瓜	pejvo	kareks	草	pejvo
>>	kartel	盟	pejvo	trust	垄断	pejvo
=	karton	板	basic	muld	型	pejvo
>>	kaskad	级	pejvo	akv	水	basic
>>	kataplasm	膏	pejvo	plast	塑	basic
=	katarakt	白内障	pejvo	kaskad	级	pejvo
=	katastr	地籍	pejvo	teren	地	basic
=	kateh^iz	教理	pejvo	katekiz	诲	pejvo
>>	kav	洞	basic	krest	冠	basic
=	kazern	营	pejvo	soldat	兵	basic
=	keloni	龟	pejvo	martes	兽	piv
=	kidnap	拐	pejvo	fork	叉	basic
>>	kidnap	拐	pejvo	infan	童	basic
=	kiel	何样	correl	kia	何	correl
>>	kin	映	basic	film	影	basic
=	kiras	甲	pejvo	kara	藻	piv
>>	kirl	涡	pejvo	bat	打	basic
=	klap	瓣	pejvo	valv	阀	pejvo
>>	klerik	教士	pejvo	eklezi	教	basic
>>	kling	刃	basic	tranc	附身	pejvo
>>	klip	夹	pejvo	paper	纸	basic
=	knedlik	面团	pejvo	past	糊	basic
=	kodeks	典	pejvo	farmak	药	pejvo
>>	koeficient	系数	pejvo	faktor	因	basic
>>	koher	贯	pejvo	adher	附	pejvo
=	koit	交	pejvo	seks	性	basic
>>	koit	交	pejvo	kopulaci	配	pejvo
>>	kojl	结肠	pejvo	dik	厚	basic
=	kok	鸡	basic	mikro	微	pref
>>	koks	股	basic	lumb	腰	basic
>>	koks	股	basic	tali	腰	basic
=	kolier	项链	pejvo	kol	颈	basic
=	kolofon	松香	pejvo	rezin	脂	pejvo
>>	kolonel	上校	basic	vesel	舰	pejvo
>>	koloni	殖	basic	popol	民	basic
=	kolon	柱	basic	kolumn	栏	basic
=	kolor	色	basic	sonk	草	piv
=	kolumn	栏	basic	vertikal	竖	basic
=	kolz	油菜	pejvo	ole	油	basic
=	komentari	注	basic	koment	评	basic
=	komerc	商	basic	intern	内	basic
=	kompiler	编译	pejvo	traduk	译	basic
=	komplic	同谋	pejvo	kun	共	prep
=	komplic	同谋	pejvo	krim	罪	basic
=	koncentr	集	basic	sam	同	basic
=	kondiment	佐	pejvo	spic	香	basic
=	konduk	导	basic	stir	驾	pejvo
=	konfekci	成衣	pejvo	pret	备	basic
=	konfirm	确	basic	konfirmaci	坚信礼	pejvo
=	konfront	对质	pejvo	kontra	反	piv
>>	kongest	淤	pejvo	sang	血	basic
>>	kongest	淤	pejvo	hiper	超	pref
>>	konik	锥线	pejvo	konus	锥	pejvo
>>	konkav	凹	pejvo	konveks	凸	pejvo
>>	konkub	内缘	pejvo	krom	外	prep
>>	konsekr	献	pejvo	sankt	圣	basic
>>	konsonant	辅	basic	vokal	元	basic
=	konstelaci	星座	pejvo	stel	星	basic
>>	kontant	现	basic	kredit	贷	basic
>>	kontor	所	pejvo	ofic	职	basic
>>	kontralt	女低	pejvo	sopran	女高音	pejvo
>>	kontrol	检	basic	regi	治	pejvo
>>	konval	铃兰	basic	maj	五月	cal
>>	konven	适	basic	deci	分	pejvo
>>	konven	适	basic	konform	合	basic
>>	konvulsi	抽风	pejvo	spasm	抽筋	pejvo
>>	konvulsi	抽风	pejvo	kramf	抽筋	pejvo
=	kooper	协	pejvo	kun	共	prep
>>	kopi	复	basic	print	印	pejvo
=	kor	心	basic	el	出	prep
=	korn	角	basic	hup	鸣	pejvo
=	korol	花冠	pejvo	petal	瓣	pejvo
=	korsar	私掠	pejvo	kaper	劫	pejvo
>>	korsar	私掠	pejvo	pirat	海盗	pejvo
=	korupt	贿	pejvo	sub	下	prep
>>	korv	鸦	basic	korak	渡鸦	pejvo
>>	korv	鸦	basic	mon	钱	basic
>>	kras^	坠	pejvo	frakas	碎	basic
>>	kremaci	火葬	pejvo	cindr	灰	basic
>>	kreml	城堡	pejvo	fortik	坚	basic
>>	kresp	饼	pejvo	pat	锅	basic
=	kript	墓窖	pejvo	c^ifr	密	pejvo
=	krisol	熔锅	pejvo	fand	熔	basic
=	krit	临界	pejvo	sojl	槛	basic
=	kriz	危	basic	sojl	槛	basic
>>	kroc^et	钩	pejvo	trik	织	basic
>>	krokodil	鳄	basic	ali	别	basic
>>	kromat	色	pejvo	dia	通	pejvo
=	kromi	金	pejvo	krom	外	prep
>>	krur	腿	basic	pied	足	basic
