序号	字	Unicode	画数
0852	灿	U+707F	7
0853	灼	U+707C	7
0854	弟	U+5F1F	7
0855	汪	U+6C6A	7
0856	沐	U+6C90	7
0857	沛	U+6C9B	7
0858	汰	U+6C70	7
0859	沥	U+6CA5	7
0860	沙	U+6C99	7
0861	汽	U+6C7D	7
0862	沃	U+6C83	7
0863	沦	U+6CA6	7
0864	汹	U+6C79	7
0865	泛	U+6CDB	7
0866	沧	U+6CA7	7
0867	没	U+6CA1	7
0868	沟	U+6C9F	7
0869	沪	U+6CAA	7
0870	沈	U+6C88	7
0871	沉	U+6C89	7
0872	沁	U+6C81	7
0873	怀	U+6000	7
0874	忧	U+5FE7	7
0875	忱	U+5FF1	7
0876	快	U+5FEB	7
0877	完	U+5B8C	7
0878	宋	U+5B8B	7
0879	宏	U+5B8F	7
0880	牢	U+7262	7
0881	究	U+7A76	7
0882	穷	U+7A77	7
0883	灾	U+707E	7
0884	良	U+826F	7
0885	证	U+8BC1	7
0886	启	U+542F	7
0887	评	U+8BC4	7
0888	补	U+8865	7
0889	初	U+521D	7
0890	社	U+793E	7
0891	祀	U+7940	7
0892	识	U+8BC6	7
0893	诈	U+8BC8	7
0894	诉	U+8BC9	7
0895	罕	U+7F55	7
0896	诊	U+8BCA	7
0897	词	U+8BCD	7
0898	译	U+8BD1	7
0899	君	U+541B	7
0900	灵	U+7075	7
0901	即	U+5373	7
0902	层	U+5C42	7
0903	屁	U+5C41	7
0904	尿	U+5C3F	7
0905	尾	U+5C3E	7
0906	迟	U+8FDF	7
0907	局	U+5C40	7
0908	改	U+6539	7
0909	张	U+5F20	7
0910	忌	U+5FCC	7
0911	际	U+9645	7
0912	陆	U+9646	7
0913	阿	U+963F	7
0914	陈	U+9648	7
0915	阻	U+963B	7
0916	附	U+9644	7
0917	坠	U+5760	7
0918	妓	U+5993	7
0919	妙	U+5999	7
0920	妖	U+5996	7
0921	姊	U+59CA	7
0922	妨	U+59A8	7
0923	妒	U+5992	7
0924	努	U+52AA	7
0925	忍	U+5FCD	7
0926	劲	U+52B2	7
0927	矣	U+77E3	7
0928	鸡	U+9E21	7
0929	纬	U+7EAC	7
0930	驱	U+9A71	7
0931	纯	U+7EAF	7
0932	纱	U+7EB1	7
0933	纲	U+7EB2	7
0934	纳	U+7EB3	7
0935	驳	U+9A73	7
0936	纵	U+7EB5	7
0937	纷	U+7EB7	7
0938	纸	U+7EB8	7
0939	纹	U+7EB9	7
0940	纺	U+7EBA	7
0941	驴	U+9A74	7
0942	纽	U+7EBD	7
0943	奉	U+5949	8
0944	玩	U+73A9	8
0945	环	U+73AF	8
0946	武	U+6B66	8
0947	青	U+9752	8
0948	责	U+8D23	8
0949	现	U+73B0	8
0950	玫	U+73AB	8
0951	表	U+8868	8
0952	规	U+89C4	8
0953	抹	U+62B9	8
0954	卦	U+5366	8
0955	坷	U+5777	8
0956	坯	U+576F	8
0957	拓	U+62D3	8
0958	拢	U+62E2	8
0959	拔	U+62D4	8
0960	坪	U+576A	8
0961	拣	U+62E3	8
0962	坦	U+5766	8
0963	担	U+62C5	8
0964	坤	U+5764	8
0965	押	U+62BC	8
0966	抽	U+62BD	8
0967	拐	U+62D0	8
0968	拖	U+62D6	8
0969	者	U+8005	8
0970	拍	U+62CD	8
0971	顶	U+9876	8
0972	拆	U+62C6	8
0973	拎	U+62CE	8
0974	拥	U+62E5	8
0975	抵	U+62B5	8
0976	拘	U+62D8	8
0977	势	U+52BF	8
0978	抱	U+62B1	8
0979	拄	U+62C4	8
0980	垃	U+5783	8
0981	拉	U+62C9	8
0982	拦	U+62E6	8
0983	幸	U+5E78	8
0984	拌	U+62CC	8
0985	拧	U+62E7	8
0986	拂	U+62C2	8
0987	拙	U+62D9	8
0988	招	U+62DB	8
0989	坡	U+5761	8
0990	披	U+62AB	8
0991	拨	U+62E8	8
0992	择	U+62E9	8
0993	抬	U+62AC	8
0994	拇	U+62C7	8
0995	拗	U+62D7	8
0996	其	U+5176	8
0997	取	U+53D6	8
0998	茉	U+8309	8
0999	苦	U+82E6	8
1000	昔	U+6614	8
1001	苛	U+82DB	8
1002	若	U+82E5	8
1003	茂	U+8302	8
1004	苹	U+82F9	8
1005	苗	U+82D7	8
1006	英	U+82F1	8
1007	苟	U+82DF	8
1008	苑	U+82D1	8
1009	苞	U+82DE	8
1010	范	U+8303	9
1011	直	U+76F4	8
1012	茁	U+8301	8
1013	茄	U+8304	8
1014	茎	U+830E	8
1015	苔	U+82D4	8
1016	茅	U+8305	8
1017	枉	U+6789	8
1018	林	U+6797	8
1019	枝	U+679D	8
1020	杯	U+676F	8
1021	枢	U+67A2	8
1022	柜	U+67DC	8
1023	枚	U+679A	8
1024	析	U+6790	8
1025	板	U+677F	8
1026	松	U+677E	8
1027	枪	U+67AA	8
1028	枫	U+67AB	8
1029	构	U+6784	8
1030	杭	U+676D	8
1031	杰	U+6770	8
1032	述	U+8FF0	8
1033	枕	U+6795	8
1034	丧	U+4E27	8
1035	或	U+6216	8
1036	画	U+753B	8
