root	層	漢字	接地	生物名	F	接地した定義語根	定義文
perispirit	PIV	围灵	Y		1	spirit=灵	En la spiritisma kredo, duonmateria substanco, servanta al la spirito kiel unua envolvaj^o
perkolator	PIV	浸具	Y		1	perkol=浸	Aparato por perkoli
permanent	PIV	恒ᴾ	Y		1	konstant=恒	Dau^ranta sen interrompo k s^ang^ig^o. Vd konstanta.
peronospor	PIV	菌ᴾˢ	Y	Y	1	fitoftor=菌ᶠᶠ,plasmopar=菌ᴾᴹ	G. (Genro) (Peronospora el peronosporaloj) kosmopolita de c^. (c^irkau^) 75 sp-oj (specioj
perturbograf	PIV	扰记	Y		1	perturb=扰	Aparato por mezuri la amplitudon k dau^ron de perturbo en elektra reto.
petrografi	PIV	岩志	Y		1	petr=岩ᴾ	Scienca priskribo de la petroj.
petrolog	PIV	岩学家	Y		1	petrologi=岩学	Specialisto pri petrologio.
petrologi	PIV	岩学	Y		1	petr=岩ᴾ	Scienco pri la petroj.
petrel	PIV	鸟ᴾᵀ	Y	Y	1	bird=鸟	Kn (Kolektiva nomo) de diversaj malgrandaj procelariformaj birdoj (g-oj (genroj) Bulweria,
petroselin	PIV	岩伞	Y		1	selin=伞ˢᴸ	Vd (vidu) selino.
pierid	PIV	蝶ᴾᴿ	Y	Y	1	pieris=蝶	G. (Genro) (Pieris) de tagpapilioj, kies larvoj vivas sur folioj de brasiko k diversaj bra
pietist	PIV	敬家	Y		1	pietism=敬主义	Adepto de pietismo
pilokarp	PIV	木ᴾᴷ	Y	Y	1	jaborand=木ᴶᴮ,jaborand=木ᴶᴮ	G. (Genro) (Pilocarpus el rutacoj) de tufarbustoj k arbustetoj kun plume kunmetaj folioj k
pilozel	PIV	菊ᴾᴸ	Y	Y	1	hieraci=菊ᴴᴿ,hieraci=菊ᴴᴿ	1 Sp. (Specio) de hieracio (Hieracium pilosella) sen tigo, kun baza rozeto el integraj, ma
pinofit	PIV	松植	Y	Y	1	spermatofit=精植	Filumo (Pinophyta) el la spermatofitoj. Sin. (sinonimo) gimnospermoj.
pinikol	PIV	鸟ᴾᴷ	Y	Y	1	bird=鸟,kokotrau^st=鸟ᴷᴷ	G. (Genro) (Pinicola) de birdoj el la ordo de paseroformaj, fam. (familio) de fringedoj, k
pioemi	PIV	脓血	Y		1	pus=脓,sang=血,absces=脓肿	C^eesto de puso en la sango, kreanta multoblajn abscesojn en diversaj lokoj de la organism
piper	PIV	椒ᴾᴱ	Y	Y	1	pipr=椒	G. (Genro) (Piper el piperacoj) de plantoj - arbetoj, arbustoj, lianoj k herboj - kun alte
pipi	PIV	鸟ᴾᴾ	Y	Y	1	bird=鸟,motacil=鸟	G. (Genro) (Anthus) de birdoj el la ordo de paseroformaj, fam. (familio) de motaciledoj, d
pirakant	PIV	木ᴾᴬ	Y	Y	1	kratag=木	G. (Genro) (Pyracantha el rozacoj), parenca al kratago, de falfoliaj, g^enerale dornaj tuf
piral	PIV	虫ᴾᴿ	Y	Y	1	larv=幼虫	Eksa g. (genro) (Pyrale) de malgrandaj papilioj, kies larvoj vivas en kunteksitaj folioj. 
piranj	PIV	鱼ᴾᴺ	Y	Y	1	serasalm=鱼ˢˢ,fiŝ=鱼,serasalm=鱼ˢˢ	1 Sp. (Specio) de serasalmo (Serrasalmus piraya), fis^o kun mallonga, alta korpo k akregaj
piretr	PIV	菊ᴾ	Y	Y	1	tanacet=菊,tanacet=菊	1 (ark. (arkaismo, arkaisme)) G. (Genro) (Pyrethrum), nun inkludita en tanaceto. 2 Vermici
pirokorak	PIV	鸟ᴾᴵ	Y	Y	1	bird=鸟	G. (Genro) (Pyrrhocorax) de S-Eu^ropaj montaj birdoj el la ordo de paseroformaj, fam. (fam
pirul	PIV	鸟ᴾᴿ	Y	Y	1	bird=鸟	1 Sp. (Specio) (Pyrrhula pyrrhula) de birdo el la ordo de paseroformaj, fam. (familio) de 
pistaci	PIV	木ᴾᶜ	Y	Y	1	lentisk=木ᴸˢ,terebint=木	G. (Genro) (Pistacia el anakardiacoj) de dioikaj, rezinoric^aj trunkarbustoj k arboj kun p
pitang	PIV	木ᴾᵀ	Y	Y	1	eu^geni=木ᴱᵁ̆,arbust=灌木,eu^geni=木ᴱᵁ̆,grumis^am=木ᴳᴹ	1 Sp. (Specio) de eu^genio (Eugenia pitanga) el Brazilo k Argentino, arbusto kun rug^aj, m
pitek	PIV	猴ᴾᴷ	Y		1	presbit=猴ᴾᴿ	(ark. (arkaismo, arkaisme)) = presbito.
pituitari	PIV	垂体ᴾ	Y		1	hipofiz=垂体	(gl. (glandula, glandulae) pituitaria) = hipofizo.
pizolit	PIV	豌石	Y		1	piz=豌	Globeto g^enerale kalcita (pli malofte aragonita), granda proks. (proksimume) kiel pizo (g
pjelit	PIV	肾盆炎	Y		1	inflam=炎,pjel=肾盆	Akuta au^ kronika inflamo de la pjela mukozo.
plasmopar	PIV	菌ᴾᴹ	Y	Y	1	fitoftor=菌ᶠᶠ,peronospor=菌ᴾˢ	G. (Genro) (Plasmopara el peronosporaloj) de c^. (c^irkau^) 20, tre disvastig^intaj sp-oj 
