root	層	漢字	接地	生物名	F	接地した定義語根	定義文
ele	PIV	木ᴱᴸ	N	Y	1		G. (Genro) (Elaeis el arekacoj) de tropikaj palmarboj, kies fruktoj (drupoj au^ «nuksoj») 
empetr	PIV	木ᴱᴹ	N	Y	1		G. (Genro) (Empetrum el empetracoj) de malaltaj, monoikaj au^ dioikaj tufarbustoj kun ping
entolom	PIV	菌ᴱᴺ	N	Y	1		G. (Genro) (Entoloma el entolomacoj) de lamenohavaj ombrelfungoj, sen stipingo k sen ringo
epakrid	PIV	木ᴱᴾ	N	Y	1		G. (Genro) (Epacris el epakridacoj) de dau^rafoliaj tufarbustoj similaj al eriko, kun unuo
epiderm	PIV	表皮	N		1		Rilata al epidermo
epidiaskop	PIV	表通镜	N		1		Aparato, povanta projekcii bildojn per surfalanta au^ per trairanta lumo, tiel ke g^i ebli
epigraf	PIV	表记	N		1		Rilata al epigrafo
epipaktid	PIV	兰ᴱᴾ	N	Y	1		G. (Genro) (Epipactis el orkidacoj) de 22 sp-oj (specioj) de plurjaraj herboj el Eu^ropo, 
erizif	PIV	菌ᴱᴿ	N	Y	1		G. (Genro) (Erysiphe el erizifacoj), kosmopolita, de c^. (c^irkau^) 170 sp-oj (specioj) de
estezometr	PIV	感计	N		1		Aparato por mezuri la hau^tan sensivecon.
etoksi	PIV	乙氧	N		1		Unuvalenta radiko C 2 H 5 O-k la responda anjono C 2 H 5 O ^-. Rim. (Rimarko) etoksi estas
etimologi	PIV	源学	N		1		Rilata al etimologio
etiologi	PIV	因学	N		1		Rilata al la etiologio.
etuz	PIV	伞ᴱᵀ	N	Y	1		G. (Genro) (Aethusa el apiacoj) de nur unu sp. (A. cynapium), unu-au^ dujara herbo kun kav
eu^patori	PIV	菊ᴱᵁ̆	N	Y	1		G. (Genro) (Eupatorium el asteracoj) de plantoj - unu-k plur-jaraj staraj herboj k tufarbu
falanger	PIV	兽ᶠᴸ	N	Y	1		G. (Genro) (Phalanger) de arbolog^aj mamuloj el la ordo de marsupiuloj, vivantaj en Au^str
falc^ator	PIV	收割具	N		1		Mas^ino kun radoj, servanta por grandakvante falc^adi. Vd garbigilo, kombajno.
falen	PIV	虫ᶠᴸ	N	Y	1		(kn (kolektiva nomo)) Noktpapilio (eksa g. (genro) Phalaena) el la fam. (familio) de geome
falenops	PIV	兰ᶠ	N	Y	1		G. (Genro) (Phalaenopsis el orkidacoj) de 44 sp-oj (specioj) de plurjaraj epifitaj herboj 
fenik	PIV	木ᶠᴺ	N	Y	1		G. (Genro) (Phoenix el arekacoj) de dioikaj palmoj de 0,3 g^is 20 m altaj, kun plume kunme
fermi	PIV	金ᶠ	N		1		Transurania elemento, Fm, atomnumero 100, atommaso 257,10.
ferocian	PIV	铁青	N		1		(ark. (arkaismo, arkaisme)) Salo de ferocianocianida acido H 4 Fe(CN) 6. Sin. (sinonimo) h
filostom	PIV	蝠ᶠ	N	Y	1		G. (Genro) (Phyllostomus) de mamuloj el la ordo de vespertuloj, vivantaj en tropika Amerik
fistulin	PIV	菌ᶠᵀ	N	Y	1		G. (Genro) (Fistulina el fistulinacoj) de bazidifungoj sen stipo, kun c^apelo malsupraflan
fiziologi	PIV	生理学	N		1		Rilata al fiziologio
flog	PIV	木ᶠ	N	Y	1		1 G. (Genro) (Phloga el arekacoj) de 2 sp-oj (specioj) de palmoj el Madagaskaro. 2 (evi (e
focen	PIV	兽ᶠ	N	Y	1		G. (Genro) (Phocoena) de malgrandaj dentcetacoj, vivantaj en N Atlantiko, ofte ankau^ en f
foliot	PIV	菌ᶠᴸ	N	Y	1		G. (Genro) (Pholiota el strofariacoj) de bazidifungoj kun lamenohava, skvama c^apelo k kun
fonetist	PIV	音家	N		1		Tiu, kiu aktivas por enkonduki en sian lingvon fonetikan au^ fonologian ortografion.
fonometri	PIV	声测	N		1		Scienco studanta tian intenson.
foradendr	PIV	木ᶠᴰ	N	Y	1		G. (Genro) (Phoradendron el viskacoj) de duonparazitaj arbustetoj, kreskantaj sur la branc
fortunel	PIV	木ᶠᴿ	N	Y	1		G. (Genro) (Fortunella el rutacoj), parenca al citruso, de dau^rafoliaj, ofte dornaj tufar
fosfid	PIV	磷化	N		1		Salo teorie derivebla el fosfino (H 3 P)
fosforil	PIV	磷基	N		1		Radiko trivalenta, O=P
fototip	PIV	拍型	N		1		Klis^o, sur kiu la koloroj estas anstatau^igitaj per punktoj k linioj, k kiun oni uzas por
fragil	PIV	脆	N		1		(pp (se paroli pri) materio) Rompig^ema c^e ekfrapo au^ abrupta strec^o
frazeologi	PIV	句学	N		1		Frazarang^o propra al iu lingvo au^ al iu lingvouzanto.
frezi	PIV	草ᶠᶻ	N	Y	1		G. (Genro) (Freesia el iridacoj) de plurjaraj bulboplantoj kun unuflanka, c^ebaze ortangul
fukofic	PIV	藻藻	N	Y	1		Klaso (Fucophyceae el feofitoj) de brunalgoj.
fungicid	PIV	菌杀	N		1		Fungomortiga substanco
futurologi	PIV	未学	N		1		Tuto de la esploroj pri la estonta evoluo (scienca, socia ks (kaj simile, kaj similaj)) de
fuzulin	PIV	虫ᶠᶻ	N	Y	1		G. (Genro) (Fusulina el fuzulinedoj) de foraminiferoj.
gamar	PIV	虾ᴳ	N	Y	1		G. (Genro) (Gammarus) de multkruraj krustacoj vivantaj en sensala au^ sala akvo.
gari	PIV	木ᴳᴿ	N	Y	1		G. (Genro) (Garrya el gariacoj) de dau^rafoliaj, dioikaj trunkarbustoj kun sidaj, kontrau^
gasogen	PIV	气生ᴳ	N		1		Aparato por fabriki gason
gau^lteri	PIV	木ᴳᵁ̆	N	Y	1		G. (Genro) (Gaultheria el erikacoj) de dau^rafoliaj arbustetoj k malaltaj tufarbustoj pare
gau^r	PIV	兽ᴳ	N	Y	1		Sp. (Specio) (Bos frontalis, sin. (sinonimo (de latinscienca nomo)) Bos gaurus) de granda 
geokronologi	PIV	地时学	N		1		Metodo pri la datado de mineraloj k petroj
geosinklinal	PIV	地向斜	N		1		(ark. (arkaismo, arkaisme)) Granda malaltig^o de la terkrusto, kie akumulig^as tavolaro da
geriatr	PIV	老医	N		1		Fakulo pri geriatrio.
gip	PIV	鸟ᴳᴾ	N	Y	1		G. (Genro) (Gyps) de vulturoj, fam. (familio) de akcipitredoj, kun nuda kolo, vivantaj en 
gipsofil	PIV	石膏爱	N	Y	1		G. (Genro) (Gypsophila el kariofilacoj) de unu-k plur-jaraj herboj kun sidaj, kontrau^e du
girometr	PIV	旋计	N		1		En veturilo, indikilo pri la girrapido de la motoro.
giromitr	PIV	菌ᴳᴿ	N	Y	1		G. (Genro) (Gyromitra el helvelacoj) de askofungoj kun grandaj, fragile karnecaj askujoj, 
gledic^i	PIV	木ᴳᴸ	N	Y	1		G. (Genro) (Gleditsia, sin Gleditschia, el fabacoj) de falfoliaj arboj kun maldensa branc^
globoskop	PIV	球镜	N		1		Instrumento, uzata por analizi la sun-k tag-lumon.
glosopterid	PIV	草ᴳᴾ	N	Y	1		G. (Genro) (Glossopteris el glosopteridacoj) de pteridofitoj kun simplaj, longformaj folio
gnafali	PIV	菊ᴳᴺ	N	Y	1		G. (Genro) (Gnaphalium el asteracoj) de unu-, du-k plur-jaraj, feltecaj herboj kun korimbo
gnidi	PIV	草ᴳᴺ	N	Y	1		Sp. (Specio) de dafno (Daphne gnidium) el la Mediteranea regiono, venena, medicine uzata.
gomb	PIV	草ᴳᴹ	N	Y	1		1 Sp. (Specio) (Abelmoschus esculentus el malvacoj), tre parenca al hibisko, el tropika Az
grafem	PIV	字ᴳ	N		1		Baza elemento de la skribsistemo
grafologi	PIV	记学	N		1		Rilata al grafologio
gravitometr	PIV	引计	N		1		Aparato por mezuri graviton.
grindeli	PIV	菊ᴳᴿ	N	Y	1		G. (Genro) (Grindelia el asteracoj) de unu-, du-k plur-jaraj herboj kun rigidaj tigoj, kun
grosulari	PIV	木ᴳˢ	N	Y	1		1 (ark. (arkaismo, arkaisme)) Alia nomo (Grossularium, nomenklature ne legitima) de ribo. 
gvanak	PIV	兽ᴳⱽ	N	Y	1		Sovag^a sp. de lamo (Lama guanicoe) kun iom hirtaj haroj k rondaj orelpintoj, vivanta c^ie
gvemul	PIV	兽ᴳᴹ	N	Y	1		G. (Genro) (Hippocamelus) de S-Amerikaj grandorelaj mamuloj el la ordo de parhufuloj, fam.
hafni	PIV	金ᴴ	N		1		1 Elemento, Hf, atomnumero 72. atommaso 178,49, kvarvalenta
hagiograf	PIV	圣记	N		1		1 Au^toro de biblia libro, kiu estas nek la Torao nek la Profetoj
hagiografi	PIV	圣志	N		1		Parto de la religia historio, koncernanta la vivon de la sanktuloj.
haliaet	PIV	鸟ᴴᴸ	N	Y	1		G. (Genro) (Haliaeetus) de mar-au^ lag-bordaj au^ riveraj rabobirdoj el la fam. (familio) 
haliker	PIV	兽ᴴᴸ	N	Y	1		G. (Genro) (Halichoerus) de mamuloj el la subordo de fokuloj, fam. (familio) de fokedoj, k
hamamelid	PIV	木ᴴᴸ	N	Y	1		G. (Genro) (Hamamelis el hamamelidacoj) de malrapide kreskantaj arboj k trunkarbustoj, kiu
hant	PIV	缠ᴴ	N		1		(tr (transitiva)) Vizitadi (pp (se paroli pri) fantomo)
heliografi	PIV	日光信	N		1		Telekomunikada sistemo, bazita sur la transsendo de lumsignaloj per speguloj.
hematoksil	PIV	木ᴴᵀ	N	Y	1		G. (Genro) (Haematoxylum el fabacoj) de 3 sp-oj (specioj) de dau^rafoliaj arboj el tropika
hemoliz	PIV	血解	N		1		Vd (vidu) lizo. = hemolizino
hepta	PIV	七ᴴ	N		1		Pref. (Prefikso), montranta, ke substanco estas karakterizata de, au^ konsistas el, sep at
hidn	PIV	菌ᴴ	N	Y	1		G. (Genro) (Hydnum el hidnacoj), tre disvastig^inta, de c^. (c^irkau^) 120 sp-oj (specioj)
hidrofil	PIV	水爱	N		1		1 Akvoafina. Vd sorba. 2 = akveja.
hidrogen	PIV	水生	N		1		Rilata al hidrogeno
hidrokarit	PIV	草ᴴᴬ	N	Y	1		G. (Genro) (Hydrocharis el hidrokaritacoj) de plurjaraj flosantaj akvoplantoj kun rozetoj 
hidrokotil	PIV	伞ᴴᴰ	N	Y	1		G. (Genro) (Hydrocotyle el apiacoj) de malaltaj, plurjaraj marc^ejaj herboj kun rampaj riz
hidroksi	PIV	水氧	N		1		1 La radiko-OH, kovalente ligita al alia atomo (precipe C)
hidrostatik	PIV	水静	N		1		Rilata al hidrostatiko
hidroterapi	PIV	水疗	N		1		Rilata al hidroterapio
hifolom	PIV	菌ᴴᶠ	N	Y	1		G. (Genro) (Hypholoma el strofariacoj) de ombrelfungoj sen stipingo, ofte kurtenohavaj, ku
higrocib	PIV	菌ᴴᴳ	N	Y	1		G. (Genro) (Hygrocybe el higroforacoj) de ombrelfungoj kun bazidiujo g^enerale okulfrape k
higrofor	PIV	菌ᴴᴿ	N	Y	1		G. (Genro) (Hygrophorus el higroforacoj) de ombrelfungoj kun bazidiujo viskoza, sen ringo,
higrometri	PIV	湿测	N		1		Mezurado de la aermalsekeco.
hin	PIV	兽ᴴ	N	Y	1		1 Hibrido de c^evalo k azenino. Vd mulo. 2Mezurilo por likvoj, c^. 6-litra
hipeastr	PIV	草ᴴᵀ	N	Y	1		G. (Genro) (Hippeastrum el amarilidacoj), tre parenca al amarilido, de plurjaraj bulboherb
hipokondr	PIV	亚软骨	N		1		(hypochondrium) C^iu el la du regionoj dekstre k maldekstre de la epigastro, super linio p
hipoman	PIV	木ᴴᴺ	N	Y	1		G. (Genro) (Hippomane el eu^forbiacoj) de 5 sp-oj (specioj) el Meksiko k Antiloj, el kiuj 
hipostaz	PIV	亚滞	N		1		1 Sanga amasig^o en la malsupro de la pulmoj, pro malbona cirkulado k devigo resti en kus^
histolog	PIV	织学家	N		1		Sciencisto, kiu studas histologion.
historiograf	PIV	史记	N		1		Persono, oficiale komisiita verki la historion de difinita tempo, reg^ado ktp (kaj tiel pl
holmi	PIV	金ᴴᴸ	N		1		1 Elemento, Ho, atomnumero 67, atommaso 164,93, lantanido
holocefal	PIV	全头	N	Y	1		Subklaso (Holocephali) de kartilagfis^oj, ampleksanta la h^imerojn k.a. (kaj aliaj)
holoedr	PIV	全面	N		1		Kristalklaso, kiu posedas c^iujn eblajn simetrielementojn de sia sistemo
holograf	PIV	全记	N		1		Testamento, tute skribita de la mano de la testamentinto.
holomorf	PIV	全形	N		1		(pp (se paroli pri) funkcio kun kompleksaj variabloj) Tia, ke g^i povas esti prezentita pe
homokromi	PIV	同色	N	Y	1		Adaptig^o de kelkaj animaloj al la medio, kiuj farig^as pli-malpli samkoloraj kiel g^i k s
homomorf	PIV	同形	N		1		(pp (se paroli pri) strukturo) Tia, ke g^i konservas certajn ecojn de alia strukturo
homomorfi	PIV	同形ᴴᴵ	N		1		(pp (se paroli pri) grupo, ringo ktp (kaj tiel plu)) Bildigo, kiu respektas la koncernajn 
hur	PIV	木ᴴᴿ	N	Y	1		G. (Genro) (Hura el eu^forbiacoj) de dau^rafoliaj, monoikaj arboj kun tre venena laktosuko
ikonografi	PIV	圣像志	N		1		Repertuaro de bildoj, ilustraj^oj, portretoj ktp (kaj tiel plu) pri difinita homo, epoko, 
ikonoskop	PIV	圣像镜	N		1		Frua formo de tubo en televida kamerao por skani fotoaktivan mozaikon. Vd ortikono.
iksi	PIV	草ᴵ	N	Y	1		G. (Genro) (Ixia el iridacoj) de bulboherboj kun mallarg^aj, mallongaj, glavoformaj folioj
imunologi	PIV	免学	N		1		Scienco pri la imuneco de c^eloj k vivuloj kontrau^ fremdaj molekuloj au^ c^eloj.
ingest	PIV	吞ᴵ	N		1		(tr (transitiva)) 1 (pp (se paroli pri) metazoo) Enigi en la stomakon per la bus^o
inocib	PIV	菌ᴵ	N	Y	1		G. (Genro) (Inocybe el kortinariacoj) de ombrelfungoj kun c^apelo lamenohava, ofte konusa 
inul	PIV	菊ᴵ	N	Y	1		G. (Genro) (Inula el asteracoj) de herboj, plejofte plurjaraj k odoraj, kun simplaj folioj
ip	PIV	虫ᴵᴾ	N	Y	1		G. (Genro) (Ips) de koleopteroj, borantaj galeriojn en la subs^elo de arboj por tie demeti
izoklin	PIV	等斜	N		1		Linio el punktoj de sama magneta inklinacio.
izolmetr	PIV	隔计	N		1		Aparato por mezuri la izolitecon de konduktilo. Vd ommetro.
izometri	PIV	等测	N		1		Bijekcio, kiu konservas c^iujn distancojn.
izomorf	PIV	等形	N		1		La eco esti izomorfa
izomorfi	PIV	等形ᴵᴵ	N		1		Bijekcio, kiu kune kun sia inverso konservas c^iujn studatajn ecojn de strukturo.
izopod	PIV	等足	N	Y	1		Ordo (Isopoda) de krustacoj, el la subklaso de malakostrakoj, dorsoventre plataj. Vd amfip
izopter	PIV	等翅	N	Y	1		Ordo (Isoptera) de insektoj sen pupa stadio, ampleksanta la termitojn.
izospin	PIV	等旋	N		1		Kvantuma nombro de nukleaj partikloj k distingiga inter protono k neu^trono.
izostaz	PIV	等滞	N		1		Stato de hidrostatika ekvilibro de la terkrusto je ia profundo, lau^ la principo de flosad
jambos	PIV	木ᴶ	N	Y	1		Sp. (Specio) de sizigio (Syzygium jambos) el SE Azio, malgranda arbo kun mang^eblaj beroj 
jodil	PIV	碘基	N		1		Radiko (IO)
johimb	PIV	木ᴶᴴ	N	Y	1		Sp. (Specio) (Pausinystalia johimbe el rubiacoj) de arbo el U Afriko, kies malglata s^elo 
jonosfer	PIV	离子球	N		1		La plej supra tavolo de la interna atmosfero (komencig^anta en altitudo de 80 km (kilometr
kad	PIV	木ᴷᴰ	N	Y	1		Sp. (Specio) de junipero (Juniperus oxycedrus), Mediteranea trunkarbusto au^ arbeto kun la
kalam	PIV	木ᴷᴬᴸᴬ	N	Y	1		1 G. (Genro) (Calamus el arekacoj) de grimpaj, dau^rafoliaj, dioikaj arboj kun longa, glat
kalitriks	PIV	猴ᴷᵀ	N	Y	1		G. (Genro) (Callithrix) de malgrandaj S-Amerikaj simioj kun silkeca felo k nigraj hartufoj
kalun	PIV	木ᴷᴺ	N	Y	1		G. (Genro) (Calluna el erikacoj), parenca al eriko, de nur unu sp. (C. vulgaris), dau^rafo
kamemor	PIV	草ᴷᴬᴹ	N	Y	1		1 Sp. (Specio) de rubuso (Rubus chamaemorus) el N Eu^ropo k N Ameriko, plurjara, duonligne
kamerops	PIV	木ᴷᴬᴹ	N	Y	1		G. (Genro) (Chamaerops el arekacoj) de nur unu sp. (C. humilis), U Mediteranea, la sola pa
kanang	PIV	木ᴷᴳ	N	Y	1		G. (Genro) (Cananga el anonacoj) de du sp-oj (specioj) de arboj k trunkarbustoj, hejmaj de
karbid	PIV	炭化	N		1		Salo au^ kombinaj^o de anjona karbono
karbonil	PIV	碳基	N		1		1 La radiko ≻C=O, komuna al c^iuj aldehidoj k ketonoj
karcin	PIV	虾ᴷᶜ	N	Y	1		G. (Genro) (Carcinus) de malgrandaj kraboj verdaj, kun nigraj ornamaj^oj; vivas en neprofu
kardiograf	PIV	心记	N		1		Aparato, kiu registras la kormovojn.
kardiologi	PIV	心学	N		1		Parto de la medicino pri la kormalsanoj.
kardiopati	PIV	心病ᴷ	N		1		Kn (Kolektiva nomo) de c^iuj kormalsanoj.
kardioid	PIV	心似	N		1		Epicikloido tia, ke g^iaj generantaj cirkloj fiksa k rulig^anta estas same grandaj.
karibu	PIV	兽ᴷᴿ	N	Y	1		Kn (Kolektiva nomo) de 4 subsp-oj de N-Amerikaj rangiferoj, i.a. (interalie, inter aliaj) 
karite	PIV	木ᴷᵀ	N	Y	1		Falfolia arbo (el la unuspecia g. (genro) Vitellaria paradoxa el sapotacoj) hejma en N tro
kartam	PIV	菊ᴷᵀ	N	Y	1		G. (Genro) (Carthamus el asteracoj) de unu-, du-k plur-jaraj, dornaj herboj, kies kapitulo
kaskaril	PIV	木ᴷᴬˢᴷ	N	Y	1		Sp. (Specio) de krotono (Croton eluteria) el Antiloj k Bahamoj, trunkarbusto au^ malalta a
katalp	PIV	木ᴷᴬᵀ	N	Y	1		G. (Genro) (Catalpa el bignoniacoj) de fal-, malofte dau^ra-foliaj arboj kun grandaj, korf
katart	PIV	鸟ᴷᴬ	N	Y	1		G. (Genro) (Cathartes) de grandaj Amerikaj vulturoj.
katlej	PIV	兰ᴷ	N	Y	1		G. (Genro) (Cattleya el orkidacoj) de plurjaraj arbo-au^ s^ton-log^aj herboj kun s^ajnbulb
katokal	PIV	虫ᴷᵀ	N	Y	1		G. (Genro) (Catocala) de noktpapilioj, kies antau^aj flugiloj estas grizbrunaj, dum la pos
kau^kalid	PIV	伞ᴷᵁ̆	N	Y	1		G. (Genro) (Caucalis el apiacoj) de nur unu sp. (C. platycarpos), unujara herbo el S Eu^ro
kau^lerp	PIV	藻ᴷᵁ̆	N	Y	1		G. (Genro) (Caulerpa el kau^lerpacoj) de maraj verdalgoj sifonaj; precipe tropika k subtro
kava	PIV	木ᴷⱽ	N	Y	1		1 Sp. (Specio) de pipero (ebriiga pipero) el la Pacifikaj insuloj, tufarbusto, el kies gra
kenomel	PIV	木ᴷᴱᴺ	N	Y	1		G. (Genro) (Chaenomeles el rozacoj) de 4 sp-oj (specioj) de E-Aziaj tufarbustoj kun floroj
kiang	PIV	兽ᴷ	N	Y	1		Sp. (Specio) (Equus kiang), tre parenca al hemiono, vivanta en Tibeto k Himalajo.
kironekt	PIV	兽ᴷᵀ	N	Y	1		G. (Genro) (Chironectes) de S-Amerikaj mamuloj el la ordo de marsupiuloj, fam. (familio) d
klamidomonad	PIV	藻ᴷᴰ	N	Y	1		G. (Genro) (Chlamydomonas) de dolc^akvaj duflagelaj protozooj klorofilohavaj.
kleptomani	PIV	偷狂	N		1		Mensa perturbo, karakterizata de emo al s^telado
klitocib	PIV	菌ᴷᴸ	N	Y	1		G. (Genro) (Clitocybe el trikolomacoj) de bazidifungoj kun stipo sen ringo k sen stipingo,
klitori	PIV	豆ᴷᴸ	N	Y	1		G. (Genro) (Clitoria el fabacoj) de volvig^antaj unujaraj herboj k tufarbustoj, kun trifol
klorel	PIV	藻ᴷᴸ	N	Y	1		G. (Genro) (Chlorella) de dolc^akvaj unuc^elaj verdalgoj, rapide proliferantaj k tial tre 
kluzi	PIV	木ᴷᶻ	N	Y	1		G. (Genro) (Clusia el kluziacoj) de dau^rafoliaj arboj k trunkarbustoj el la tropikaj k su
knau^ti	PIV	草ᴷᵁ̆	N	Y	1		G. (Genro) (Knautia el dipsakacoj), parenca al skabiozo, de c^. (c^irkau^) 60 sp-oj (speci
koendu	PIV	兽ᴷᴰ	N	Y	1		G. (Genro) (Coendu) de S-Amerikaj mamuloj el la ordo de rong^uloj, kun hau^to kovrita de p
kofe	PIV	木ᴷᶠ	N	Y	1		G. (Genro) (Coffea el rubiacoj) de trunkarbustoj, arbetoj k lianoj kun kontrau^e duopaj, p
kokolob	PIV	木ᴷᴼᴷ	N	Y	1		G. (Genro) (Coccoloba el poligonacoj) de dau^rafoliaj arboj k trunkarbustoj kun berecaj, k
kolibi	PIV	菌ᴷᴮ	N	Y	1		G. (Genro) (Collybia el marasmiacoj) de lamenohavaj ombrelfungoj kun kartilageca au^ fibra
kolob	PIV	猴ᴷ	N	Y	1		G. (Genro) (Colobus) de simioj el la fam. (familio) de kolobedoj, el E Afriko, kun rudimen
konkologi	PIV	贝学	N		1		Scienco pri la konkuloj.
konskripci	PIV	征兵	N		1		Sistemo de militista varbado per deviga servado en s^tata armeo.
kontrici	PIV	悔ᴷ	N		1		Pento pri kulpita peko, pro sincera amo al Dio. Vd atricio.
kopaiv	PIV	木ᴷᴾ	N		1		(ark. (arkaismo, arkaisme)) Rezin-esenca sekrecio de kopaivarbo, balzamo pasintece utiliga
kopren	PIV	菌ᴷᴾ	N	Y	1		G. (Genro) (Coprinus el koprenacoj) de ombrelfungoj kun au^ sen ringo k kun lamenoj unue b
koralin	PIV	藻ᴷᴺ	N	Y	1		G. (Genro) (Corallina el koralinacoj) de pli ol 30 sp-oj (specioj) de kalkaj maraj rug^alg
koraloriz	PIV	兰ᴷᴿ	N	Y	1		G. (Genro) (Corallorrhiza el orkidacoj) de senklorofilaj, saprejaj herboj kun koralforma r
koreops	PIV	菊ᴷᴾ	N	Y	1		G. (Genro) (Coreopsis el asteracoj), parenca al bidento, de c^. (c^irkau^) 50 sp-oj (speci
koronil	PIV	豆ᴷᴿ	N	Y	1		G. (Genro) (Coronilla el fabacoj) de tufarbustoj k plurjaraj herboj kun nepare plume kunme
korsak	PIV	兽ᴷˢ	N	Y	1		Sp. (Specio) (Vulpes corsac) de rabobesto parenca al vulpo, sed malpli granda, k kiu vivas
korteks	PIV	皮质	N		1		Supraj^a tavolo de la cerebro k de la cerebelo, sidejo de la inteligento, de la konsciaj s
kortici	PIV	菌ᴷᴿ	N	Y	1		G. (Genro) (Corticium el korticiacoj) kosmopolita de c^. (c^irkau^) 250 sp-oj (specioj) de
kortinari	PIV	菌ᴷᴼ	N	Y	1		G. (Genro) (Cortinarius el kortinariacoj) de ombrelfungoj g^enerale kurtenohavaj, kun brun
kraterel	PIV	菌ᴷᵀ	N	Y	1		G. (Genro) (Craterellus el kraterelacoj) de ombrelfungoj, ofte karnaj, kun kava stipo, kun
krescenti	PIV	木ᴷᴿᴱ	N	Y	1		G. (Genro) (Crescentia el bignoniacoj) de arboj kun grandaj, ovoidaj, berecaj fruktoj hava
krimologi	PIV	罪学	N		1		Scienco pri krimeco.
kriogenik	PIV	冻生学	N		1		Produktado de tre malaltaj temperaturoj k esploro de iliaj efikoj.
kriostat	PIV	冻态	N		1		Aparato por malvarmigi substancon g^is tre malaltaj temperaturoj.
kritm	PIV	伞ᴷᵀ	N	Y	1		G. (Genro) (Crithmum el apiacoj) de nur unu sp. (C. maritimum) de plurjara herbo salgusta,
krizomel	PIV	虫ᴷᴿ	N	Y	1		G. (Genro) (Chrysomela) de pli-malpli duonglobaj, okulfrape koloraj k brilaj koleopteroj, 
kromatografi	PIV	色志	N		1		Analizmetodo de la konsistaj^oj de miksaj^o, kiuj, solvitaj en fluido (gaso, likvo), migra
kromiil	PIV	金基	N		1		La radikalo CrO 2, trovig^anta en diversaj kombinaj^oj.
kromiflav	PIV	金黄	N		1		Plumba kromiato PbCrO 4.
kronometri	PIV	时测	N		1		Rilata al kronometrio.
ksanti	PIV	菊ᴷᴬ	N	Y	1		G. (Genro) (Xanthium el asteracoj) kosmopolita de 3−8 sp-oj (specioj) de monoikaj, unujara
kserografi	PIV	干志	N		1		Procedo de senkontakta presado, per specialaj pulvoroj fotokonduktivaj.
ksiloz	PIV	木糖	N		1		Pentozo, C 5 H 10 O 5, trovig^anta en c^iaj lignaj^oj sub formo de polisakarido.
ksiloste	PIV	木ᴷˢᴵ	N	Y	1		Sp. (Specio) de lonicero (Lonicera xylosteum), stara tufarbusto el Eu^ropo k Azio. Vd kapr
kuku	PIV	鸣ᴷᵁ	N		1		(ntr (netransitiva)) Krii pp (se paroli pri) kukolo; (f (figurasence)) krii « kuku», kas^a
kumul	PIV	累ᴷ	N		1		(tr (transitiva)) Plenumi samtempe plurajn funkciojn, mandatojn ks (kaj simile, kaj simila
kupres	PIV	木ᴷˢ	N	Y	1		G. (Genro) (Cupressus el kupresacoj) de dau^rafoliaj, monoikaj arboj kun malhele au^ blue 
kuruk	PIV	鸟ᴷᵁ	N	Y	1		Sp. (Specio) de silvio (Sylvia curruca), kun helgriza kapo, malhela vango k blanka gorg^o.
kvasi	PIV	木ᴷᴬ	N	Y	1		G. (Genro) (Quassia el simarubacoj) de 40 sp-oj (specioj) de tropikaj arboj.
labrusk	PIV	草ᴸᴮ	N	Y	1		Sp. (Specio) de vito (Vitis labrusca) el NE Usono, kultivata por beroj sukeraj au^ acidaj.
laburn	PIV	木ᴸᴮ	N	Y	1		G. (Genro) (Laburnum el fabacoj) de falfoliaj, venenaj trunkarbustoj k arbetoj kun trifoli
lagostom	PIV	鼠ᴸ	N	Y	1		Mamulo (unuspecia g. (genro) Lagostomus maximus) el la ordo de rong^uloj, tre ofta en Arge
lagotrik	PIV	猴ᴸᴳ	N	Y	1		G. (Genro) (Lagothrix) de S-Amerikaj mamuloj el la subordo de simioj, fam. (familio) de ce
lakari	PIV	菌ᴸ	N	Y	1		G. (Genro) (Laccaria el trikolomacoj) de ombrelfungoj sen ringo k sen stipingo, kun dikaj 
laktari	PIV	菌ᴸᴿ	N	Y	1		G. (Genro) (Lactarius el rusulacoj) de ombrelfungoj kun lamenohava bazidiujo sen ringo k s
lakun	PIV	缺ᴸ	N	Y	1		1 (lacuna) Malplenaj^o, mankoloko en histo. 2 Truo en teksto, ekz. (ekzemple) en Mezepoka 
lamn	PIV	鱼ᴸᴹ	N	Y	1		G. (Genro) (Lamna) de mang^eblaj s^arkoj el N Atlantiko k N Pacifiko, povantaj atingi long
lapsan	PIV	菊ᴸᴾ	N	Y	1		G. (Genro) (Lapsana el asteracoj) de unujaraj, laktosukohavaj herboj kun flavaj, malmultfl
larici	PIV	木ᴸᴿ	N	Y	1		Subsp. de la nigra pino (Pinus nigra subsp. laricio), alta, stara, rektatrunka arbo kun s^
lasciv	PIV	淫ᴸ	N		1		Avida au^ instiga al amorg^uoj. Vd malc^asta, sensama, voluptema.
lau^renci	PIV	金ᴸᵁ̆	N		1		Transurania elemento, Lr, atomnumero 103, atommaso 262,11.
lavsoni	PIV	木ᴸⱽ	N	Y	1		G. (Genro) (Lawsonia el litrumacoj) de nur unu sp. (L. inermis), trunkarbusto hejma en N A
lecide	PIV	菌ᴸᶜ	N	Y	1		G. (Genro) (Lecidea el lecideacoj) kosmopolita de c^. (c^irkau^) 400 sp-oj (specioj) de kr
