root	kanji	gloss
lern	学	{Ｂ}［他］学習する,学ぶ,習う,覚える;身につける,体得する
student	学	学生の
lingvistik	学	言語学の
universitat	学	大学の
lev	举	{Ｂ}［他］上げる,持ち上げる,拾い上げる;立てる,起こす;《転》高める,出す
kondut	举	{Ｂ}［自］ふるまう,態度をとる
liber	自由	{Ｂ}自由な;独立の,束縛されない,免れた;ひまな,空いている,広々した
loĝ	住	(基本形gloss無)
lok	处	場所の;地方の,その土地の,地元の
dispon	处	{Ｂ}［他］自由に使う,処理する;［自］処置をとる;=dispozicii
man	手	手で
met	置	{Ｂ}［他］置く,入れる,備え付ける,身につける;（ある状態に）する
milit	战	戦争の;軍事の
batal	战	{Ｂ}［自］戦う
lim	界	境界の
mond	界	世界の,全世界の
horizont	界	{Ｂ}地平線,水平線;《転》（思考・知識などの）視界,範囲;【地質】層準;土壌の層位
montr	示	指示用の,提示用の;【Ｇ】指示の
sugest	示	示唆する,ほのめかす
manifestaci	示	［自］【政】デモをする,示威運動をする,>>paradi,>>procesii
mort	死	死の,死んだ,致命的な;枯れた
mov	动	運動の,運動を起こさせる
motor	动	{Ｂ}【機】原動機,モーター,エンジン;《転》原動力,主導者
verb	动	【Ｇ】動詞の,動詞的
aŭtomat	动	(基本形gloss無)
mult	多	{Ｂ}多くの,多数の,多量の,たくさんの
naci	族	民族の;国民の;国立の,国の
etn	族	民族（集団）の
gent	族	{Ｂ}（共通の祖先に由来する集団）部族,一族;民族,種族,>>etno,>>nacio,>>popolo
nom	名	すなわち,つまり;名前で,名目上
fam	名	{Ｂ}有名な,名高い,評判の
substantiv	名	【Ｇ】名詞の,名詞的な
nov	新	{Ｂ}新しい,新規の,最新の;新品の,できたばかりの
neologism	新	(基本形gloss無)
nask	生	出産の;出生の
okaz	生	偶然の,偶発的な,その場限りの
biologi	生	(基本形gloss無)
parol	话	口頭での,言葉の
dialog	话	(基本形gloss無)
patr	父	父の
pet	求	{Ｂ}［他］頼む,請う,願う,依頼する,請願する;（人を）呼ぶ,招く
postul	求	{Ｂ}［他］（当然のこととして）要求する,請求する;（物事が）必要とする
plen	满	{Ｂ}いっぱいの,満ちた;十分な,完全な,全部の
kontent	满	{Ｂ}満足した,甘んじた
port	运	{Ｂ}［他］持っている,抱えている;持ち運ぶ,持って行く;身につけている,携帯する;（責任などを）負う,担う;（心に）抱く
fortun	运	幸運,>>destino,>>hazardo,>>fato
pov	能	能力がある
energi	能	精力的な,力強い
kapabl	能	{Ｂ}有能な,能力のある,〜できる
kompetent	能	{Ｂ}適任の,有能な,資格のある;権限のある,所管の,管轄の
pren	拿	{Ｂ}［他］手に取る,つかむ;取りあげる,奪い取る;取る,得る,選ぶ;受け取る,受け入れる;〜を〜と見なす,取り違える
proksim	近	{Ｂ}（空間的・時間的に）近い,近接した
miop	近	{Ｏ}【医】近視の,近眼の,>>hipermetropa,>>presbiopa
rapid	速	{Ｂ}速い,足の速い;すばやい,即座の
ekspres	速	急行の;速達の
respond	答	答えの,返答の;一致する,対応する;責任のある
riĉ	富	(基本形gloss無)
ricev	收	{Ｂ}［他］受け取る,もらう,得る;受ける,受け入れる;こうむる,経験する;【通】受信する
adopt	收	養子の;養子縁組に関する
rid	笑	{Ｂ}［自］笑う,笑い声を立てる;あざ笑う;（物事が）楽しげな様子を見せる
komik	笑	{Ｂ}こっけいな,おかしな,おどけた,おもしろい
ruĝ	红	(基本形gloss無)
ŝajn	像	(基本形gloss無)
statu	像	{Ｂ}立像,彫像
sam	同	{Ｂ}同一の,同じ;同種の,同様の
ident	同	{Ｂ}（kun）同一の;同様の,そっくり同じの
asimil	同	{Ｏ}［他］同化する
sci	知	{Ｂ}［他］知っている,知識がある;心得ている,〜できる
sekv	随	後に続く,次の
send	送	{Ｂ}［他］（物を）送る,発送する;（人を）送り出す,派遣する;《転》投げかける,向ける
eksped	送	{Ｂ}［他］発送する,送る,派遣する
sid	坐	{Ｂ}［自］座っている;腰掛けている;止まっている,じっとしている;（ある状態に）ある;（ある場所に）いる,位置する;（服な
sinjor	君	{Ｂ}紳士;主人;【史】領主;（敬称）〜様
libr	书	本の,本による
skrib	书	書かれた,文字で表された
star	立	{Ｂ}［自］立っている;ある,いる;立ち止まっている,静止している;（ある状態に）ある
temp	时	時間の,時の;一時的な,=portempa
ten	持	{Ｂ}［他］手に持っている,つかんでいる,腕に抱えている;支える,つなぎとめる;保有する,保管する,取っておく;（〜の状態に
ter	地	地球の;土の;地上の;【生】陸生の
teren	地	{Ｂ}（特定用途に仕切られた）土地,用地,敷地,区画,地域,〜場;地所;《転》領域,分野,活動の場,地歩,>>kampo;【
geografi	地	(基本形gloss無)
tut	整	{Ｂ}全部の,全体の,すべての
aranĝ	整	(基本形gloss無)
ven	来	{Ｂ}［自］来る,やって来る;到着する,行き着く;達する
vetur	乘	{Ｂ}［自］（乗り物で）行く;（乗り物が）行く,運行する
multiplik	乘	【数】掛け算の,乗法の
vid	见	{Ｂ}［他］見る,見える,目にうつる;会う,面会する;見て気づく,認める,わかる;目撃する
vir	男	男の;男のような
viv	活	生命の,生の;生きている,生き生きした
vigl	活	{Ｂ}活発な,元気な,快活な,生き生きした,はつらつとした,>>fres^a,>>vivoplena,>>rapidaga;
aktiv	活	{Ｂ}活動的な,活発な,積極的な;活動中の,現役の;【Ｇ】能動の
voj	路	［自］たどる,進む;道を行く,=vojiri
ŝose	路	(基本形gloss無)
cirkvit	路	{Ｂ}【電】回路
vol	愿	意志の,意志的な,>>konscia
volont	愿	自発的な
bonvol	愿	(基本形gloss無)
vort	词	語の,言葉の;言葉だけの
termin	词	{Ｏ}専門用語,術語,=fakvorto
