root	kanji	gloss
lav	洗	{Ｂ}［他］洗う,洗濯する,洗浄する,洗い落とす;清める
bapt	洗	{Ｂ}［他］【宗】洗礼を施す;《転》名付ける
lig	结	結合の
nod	结	［他］結ぶ,結び目をつくる
bant	结	{Ｂ}飾り結び
konklud	结	結論として;したがって,それゆえ
lud	玩	{Ｂ}［自］遊ぶ,たわむれる,自由に動く;［他］（ゲームなどを）する,（必要な）動作をする;【楽】演奏する;（役割を）演じる
petol	玩	たわむれる,いたずらな,ふざけた
mez	中	まん中の,中央の;中くらいの,中間の;並の,平均的な
neŭtral	中	(基本形gloss無)
natur	然	自然の,天然の;本来の,自然な,天性の,生まれつきの;当然の,当たり前の;【楽】本位の
naz	鼻	鼻の
neĝ	雪	(基本形gloss無)
nokt	夜	夜の,夜間の
nub	云	雲の,曇った;《転》不明瞭（ふめいりょう）な
onkl	叔	{Ｂ}おじ（親の兄弟、親の兄弟の夫）,>>oc^jo
opini	想	{Ｂ}［他］〜という意見である,〜と思う,〜と考える
imag	想	想像の;想像上の,仮想の
ideal	想	理想の,理想的な,完璧な
orel	耳	耳の
pan	面包	{Ｂ}【料】パン,食パン;《転》糧（かて）,食糧
paper	纸	紙の
pardon	恕	{Ｂ}［他］ゆるす,容赦する,勘弁する,大目に見る
plor	哭	{Ｂ}［自］泣く,涙を流す
pluv	雨	雨の
pret	备	{Ｂ}用意の整った,準備のできた;即応できる;覚悟のできた,喜んで〜する
ekip	备	{Ｂ}［他］装備する,備え付ける;【海】艤装（ぎそう）する
prepar	备	準備の
printemp	春	春の
ripoz	休	{Ｂ}［自］休息する,休憩する;静かに横たわる,横になって休む;（死んで）横たわる,永眠する
river	河	{Ｂ}川,河川;流れ
romp	破	{Ｂ}［他］破壊する,壊す,割る,折る,破る;断つ,断絶する;《転》（勇気・無関心などを）打ち破る,打ち砕く
ĉifon	破	(基本形gloss無)
san	健	{Ｂ}健康な,健やかな,丈夫な,元気な;《転》健全な
sat	饱	{Ｂ}満腹した,食い足りた;《転》満ち足りた
seĝ	椅	(基本形gloss無)
serv	务	奉仕の;サービス業の
task	务	［他］（任務を）課す,（課業を）与える
silent	默	沈黙した,無言の;静かな,音を立てない
ŝip	船	(基本形gloss無)
somer	夏	夏の,夏季の
ŝton	石	(基本形gloss無)
diant	石	{Ｂ}【植】ナデシコ（属）,カーネーション,セキチク
strat	街	{Ｂ}街路,通り
sufiĉ	够	(基本形gloss無)
tranĉ	切	(基本形gloss無)
tuŝ	触	(基本形gloss無)
util	益	{Ｂ}有用な,有益な,役に立つ;便利な,実用的な
vend	卖	売却の,販売の
verd	绿	{Ｂ}緑の,緑色の;草木の茂った,青々とした;生の,未成熟の,青い;【Ｅ】エスペラントの;【環】環境保護の
vintr	冬	冬の;冬のような;《転》冷たい
vok	呼	呼び声の,呼びかけの
zorg	护	注意深い,用心の,慎重な
fleg	护	{Ｂ}［他］看護する;《転》（入念に）世話をする,面倒をみる
protekt	护	保護の,保護する
ag	办	動作の;【電】（交流で）有効成分の
entrepren	办	{Ｂ}［他］企てる,着手する,取りかかる
proced	办	{Ｂ}［自］手順を進める,処理を行う
ating	到	{Ｂ}［他］着く,届く,到達する
ban	浴	{Ｂ}［他］水浴させる;（液体に）浸しておく;（水などを）浴びせかける
decid	决	決定的な
rezoluci	决	［他］決議する
ekzist	存	{Ｂ}［自］存在する,実在する
depon	存	{Ｂ}［他］預ける,預金する;【情】（データを）保存する,=sekurigi
konserv	存	{Ｂ}［他］保存する,保管する,貯蔵する;保つ,保持する,維持する
fiks	定	固定の,定着の;定まった,決まった
difin	定	一定の;【Ｇ】限定の
destin	定	{Ｂ}［他］（の用途を）予定する;割り当てる,用意する;運命づける
determin	定	決定的な;【Ｇ】限定の
flu	流	流れている;流れるような,流ちょうな
grup	团	グループの;集団的な,>>kolektiva
mas	团	{Ｂ}かたまり（塊）;集積,総体;【美】マッス;【理】質量
bul	团	丸い,球状の
trup	团	{Ｂ}（劇団・楽団の）一座;一隊,一団;【軍】部隊
solidar	团	{Ｂ}連帯の,連帯した;【法】連帯責任のある
regiment	团	{Ｂ}【軍】連隊
instru	教	教訓的な,ためになる;教育の
eklezi	教	【キ】教会の
civiliz	教	(基本形gloss無)
invit	邀	{Ｂ}［他］招待する,招く;勧誘する
klas	级	［他］等級をつける;分類する,仕分ける
rang	级	［自］〜の位にある
mol	软	{Ｂ}やわらかい,柔軟な;優しい,柔和な;弱々しい;【声】軟音の
paĝ	页	(基本形gloss無)
pend	挂	{Ｂ}［自］掛っている;ぶらさがっている;宙に浮いている
plaĉ	悦	(基本形gloss無)
poŝt	邮	(基本形gloss無)
filatel	邮	切手収集,郵趣
puŝ	推	(基本形gloss無)
ŝov	推	(基本形gloss無)
rezon	推	{Ｂ}［自］論理的に考える,推論する,推理する;《転》理屈を言う,文句を言う
saĝ	智	(基本形gloss無)
sprit	智	{Ｂ}機知に富んだ,才気のある,気のきいた
intelekt	智	知性の,知的な
simil	似	{Ｂ}よく似た,類似の;【数】相似の
stud	研	{Ｂ}［他］研究する,調べる,>>esplori;（学問を）勉強する,>>lerni
verk	作	［他］著作する,（論文・記事などを）書く,制作する
aŭtor	作	(基本形gloss無)
vizit	访	{Ｂ}［他］訪問する,訪れる;（見物・参拝・診察・面会・見舞などに）行く;（学校に）通う,登校する
intervju	访	［他］インタビューする;面接する
mastr	主	［他］支配する,主人としてふるまう
prezid	主	{Ｂ}［他］議長を務める,司会する;主宰する
precip	主	{Ｂ}主要な,最重要な,何より大事な
subjekt	主	主題の;主語の;主体の
nominativ	主	{Ｏ}【Ｇ】主格,名格,>>akuzativo
subjektiv	主	(基本形gloss無)
supr	顶	上方の
tegment	顶	屋根の;=subtegmenta（屋根裏の）
vert	顶	{Ｂ}【解】頭頂;《転》頂点,頂上
plafon	顶	［他］【建】天井を張る;［自］【空】上昇限度に達する
vertic	顶	{Ｂ}【数】頂点
bedaŭr	憾	(基本形gloss無)
miks	混	混合した,=miksita
par	偶	一対の,つがいの;【数】偶数の
pup	偶	{Ｂ}人形;指人形,=gantopupo;【虫】さなぎ（蛹）;《転》（軽蔑的に）お人形,>>marioneto
hazard	偶	偶然の;一か八かの,運まかせの
eventual	偶	{Ｏ}場合によっては起こり得る,不確定な
publik	公	公共の,公的な,公衆の,><privata;公開の,公然の
just	公	{Ｂ}正しい,正義の;正当な,合法的な;公正な,公平な
spert	验	{Ｂ}経験を積んだ,熟練した;経験に基づく
eksperiment	验	実験の,実験に基づいた
te	茶	{Ｂ}茶,紅茶（茶葉および飲料）;【植】チャ（種）
trov	找	{Ｂ}［他］見つける,見いだす,発見する;認める,気づく,感じる;（〜と）思う,評価する
venk	胜	勝利の
volv	卷	{Ｂ}［他］巻く;巻きつける
rul	卷	{Ｂ}［他］転がす;（波などを）うねらせる;（音などを）ふるわせる;【情】（プログラムを）実行する
friz	卷	{Ｂ}［他］（髪を）カールする,パーマをかける
bukl	卷	巻き毛の,カールした
afabl	善	{Ｂ}愛想のよい,親切な;ものやわらかな,ていねいな;【情】使いやすい,ユーザーフレンドリーな
ĉeval	马	(基本形gloss無)
halt	停	{Ｂ}［自］止まる,立ち止まる,停止する
kort	院	{Ｂ}中庭
kolegi	院	{Ｂ}【学】（英米などの）カレッジ,単科大学,高等専門学校;（仏などの）コレージュ,中等学校;【宗】（同じ職能の）集団,会
akademi	院	アカデミーの;アカデミックな,学術的な
institut	院	{Ｏ}研究所;学院;学会
jur	法	法の,法的な
metod	法	一定の方法に従った,系統的な,組織的な,整然とした
rimed	法	{Ｂ}手段,方法,方策;（救済・回復のための）対策,措置
angul	角	角（かど）の,すみの;角（かく）の
korn	角	角の,角製の
rol	角	［自］【劇】役割を演じる
unik	独	{Ｂ}類のない,特異な,独特の,独自の;唯一の,一意の,=ununura
apart	独	{Ｂ}別の,別々の;特別の
av	爷	{Ｂ}祖父;おじいさん
bord	岸	{Ｂ}岸,縁（ふち）
brak	臂	{Ｂ}腕
bru	噪	騒がしい
ĉapel	帽	(基本形gloss無)
ĉap	帽	(基本形gloss無)
kasked	帽	{Ｂ}ひさし付き帽子,ハンチング,鳥打ち帽;制帽
ekzempl	例	例えば
kaz	例	{Ｂ}【Ｇ】格;【法】訴訟事件;事例;【医】症例
fer	铁	鉄の,鉄製の;《転》（鉄のように）強固な,厳格な,厳しい
fest	庆	祝いの
Pask	庆	復活祭の;過越しの祭の
celebr	庆	［他］（儀式を）とり行う
festival	庆	{Ｏ}（音楽・芸術）祭,祭典,フェスティバル
frap	敲	{Ｂ}［他］たたく,打つ;たたいて音を出す;はっとさせる,驚かす
gajn	赢	{Ｂ}［他］（運や偶然によって）得る;勝ち取る;もうける,>>akiri
kol	颈	{Ｂ}【解】首;《転》首状に細くなった部分
kutim	习	いつもの
lini	线	線形の
drat	线	［他］針金を張る
mezur	测	{Ｂ}［他］計る,寸法をとる;測定する;《転》評価する
moment	刻	瞬間的な,一瞬の,ちょっとの間の;【声】瞬間音の
nombr	数	数の
cifer	数	［他］数字で表す
numeral	数	【Ｇ】数詞
ord	序	順序の;整理された
ordon	令	命令の,命令的な
komand	令	{Ｂ}［他］【軍】指揮する,指図する,命令する;【機】操作する,制御する
paŝ	步	(基本形gloss無)
marŝ	步	(基本形gloss無)
promen	步	{Ｂ}［自］散歩する,散策する
pen	努	骨を折って,やっとのことで
plank	板	［他］床を張る
lad	板	{Ｂ}金属の薄板,金属板;ブリキ,トタン
tabul	板	［他］板を張る,=paneli
bret	板	{Ｂ}棚,棚板
karton	板	［他］厚紙の表紙で製本する
plend	诉	{Ｂ}［自］苦痛を訴える;不満を訴える,文句を言う,苦情を申し立てる;【法】（民事上の）訴訟を起こす
akuz	诉	{Ｂ}［他］【法】告発する,告訴する
muzik	乐	音楽の,音楽的な
plezur	乐	愉快な,喜ばしい,楽しい
orkestr	乐	オーケストラの,管弦楽の
plum	羽	羽根の,羽根のような
prav	理	{Ｂ}正当な,正しい,道理にかなった,もっともな
raci	理	理性の;理性的な;合理的な,道理にかなった
trakt	理	{Ｂ}［他］取り扱う,扱う,待遇する;論じる;処理する;交渉する,談判する
logik	理	論理学の;論理的な,道理にかなった;（論理上）必然的な,当然の
profund	深	{Ｂ}深い,底の深い,奥深い;深部に達する,深々とした;《転》深遠な,深層の;深刻な,根深い,極度の
rond	圆	円形の,丸い
cirkl	圆	円形の
roz	玫	バラの,バラのような;バラ色の;《転》バラ色の,楽観的な
salt	跳	{Ｂ}［自］跳ぶ,跳び上がる,跳躍する;飛び移る,飛びのく;《転》飛躍する;《転》急増する
sang	血	血の,血液の;血まみれの,流血の;血の色をした
sem	种	［他］（〜の）種をまく;《転》まき散らす;（うわさなどを）振りまく
spec	种	{Ｂ}種類,種（しゅ）;【生】=specio（種）
staci	站	{Ｂ}駅,停車場;保養地,滞在地;放送局,電話局,観測所;局,署,所,施設
stat	态	【理】定位の,><astata
ekologi	态	(基本形gloss無)
sufer	苦	{Ｂ}［自］苦しむ,悩む,苦悩する;［他］（不快なことを）こうむる,受ける,受難する
amar	苦	{Ｂ}苦い;きびしい
suker	糖	砂糖の,砂糖入りの;《転》甘い
konfit	糖	{Ｂ}［他］【料】（果物を）砂糖漬けにする
bombon	糖	{Ｂ}【菓】キャンデー,ボンボン
vagon	厢	{Ｂ}【鉄】車両,>>lokomotivo
vek	醒	目覚めさせる
sobr	醒	{Ｂ}（飲食を）節制した,しらふの;節度ある,落ち着いた
vilaĝ	村	(基本形gloss無)
vitr	玻	ガラスの,ガラス製の;ガラスのはまった,=vitrita
produkt	产	{Ｂ}［他］生産する,産出する,産む,実らせる;製作する,製造する
akuŝ	产	(基本形gloss無)
prunt	借	貸し借りで
aŭt	车	(基本形gloss無)
bus	车	【車】バス,=au^tobuso
trajn	车	{Ｂ}【鉄】列車,>>vagonaro;【軍】輜重隊（しちょうたい）,補給部隊
bicikl	车	［自］自転車で行く,サイクリングする
kamion	车	［他］トラックで運ぶ
aŭtobus	车	(基本形gloss無)
aŭtomobil	车	(基本形gloss無)
adres	址	［他］（〜あてに）送る;（言葉を）かける,向ける;あて名を書く
amuz	娱	楽しい,余興の
anim	魂	魂の;=animita
arĝent	银	(基本形gloss無)
bank	银	{Ｂ}銀行;【遊】（賭博で）親元にある賭け金,場銭（ばせん）
benk	凳	{Ｂ}ベンチ
bov	牛	{Ｂ}【動】ウシ（牛）（属）
brun	褐	{Ｂ}褐色の,栗色の,茶色の
brust	胸	{Ｂ}胸
buter	黄油	［他］バターをぬる
ĉes	止	(基本形gloss無)
danĝer	危	(基本形gloss無)
kriz	危	危機的な;=sojla（臨界の）
donac	礼	贈り物として
ĝentil	礼	(基本形gloss無)
dors	背	背の,裏の
real	实	{Ｂ}現実の,実在の;本当の,本物の
efektiv	实	(基本形gloss無)
efik	效	効果のある,効き目のある,有効な
efekt	效	効果的な,はでな
valid	效	{Ｂ}【法】有効な,効力のある,通用する
egal	等	{Ｂ}等しい,同等の;対等な,平等な;むらのない,一様な;どうでもよい
estim	尊	{Ｂ}［他］尊敬する,尊重する,高く評価する,>>s^ati,>>respekti
dign	尊	威厳のある,堂々とした
flav	黄	{Ｂ}黄色い,黄色の
foli	叶	［自］葉をつける;［他］=foliumi
font	泉	［自］涌き出る;《転》源を発する
freŝ	鲜	(基本形gloss無)
fund	底	底の;《転》（知識などが）奥深い
fon	底	背景の,地の
gard	守	番をして;用心深く
genu	膝	［自］ひざまずいている,ひざ立ちしている
glaci	冰	氷の,氷のような;《転》冷ややかな,よそよそしい
griz	灰	{Ｂ}灰色の,ねずみ色の;白髪まじりの;どんよりした,陰気な
kalk	灰	石灰質の
cindr	灰	{Ｂ}灰;遺灰,遺骨
herb	草	{Ｂ}草;牧草,芝草;【植】草本
pajl	草	{Ｂ}わら（藁）
skiz	草	{Ｏ}［他］スケッチする,下絵を描く;概略を示す
ink	墨	［他］インクを塗る
insekt	虫	昆虫の
verm	虫	{Ｂ}（ミミズ・寄生虫などの）虫;（毛虫・いも虫など）幼虫;うじ虫
juĝ	判	(基本形gloss無)
kondamn	判	{Ｂ}［他］【法】刑を宣告する,有罪とする;非難する,とがめる
klin	斜	{Ｂ}［他］傾ける,斜めにする;《転》心を向けさせる
oblikv	斜	{Ｂ}斜めの,傾斜した
kok	鸡	{Ｂ}【鳥】ニワトリ（鶏）;【生】=mikrokoko（球菌）
kompat	怜	慈悲の,哀れみの
kovert	封	{Ｂ}封筒
penik	笔	［自］筆で描く,はけで塗る
krajon	笔	［他］鉛筆で書く
kre	创	{Ｂ}［他］創造する,創作する,創設する,創出する
invent	创	{Ｂ}［他］発明する,考案する,>>elpensi
iniciat	创	率先して
kruc	十字	十字架の;十字形の
krur	腿	{Ｂ}（人・動物の）脚,足（全体）;【解】すね,脚（膝から足首まで）,>>piedo;《転》脚部
gamb	腿	【解】下肢,脚部,>>kruro
kuk	糕	{Ｂ}菓子（一般）;【菓】焼菓子,ケーキ
kuler	勺	{Ｂ}【料】さじ,スプーン
kulp	罪	{Ｂ}罪のある,過ちを犯した
pek	罪	罪のある,過ちを犯した
krim	罪	犯罪の;罪のある
kurac	医	{Ｂ}［他］治療する,治す;《転》癒やす
medicin	医	医学の,医学的な;薬用の
hospital	医	病院の
kuz	堂	{Ｂ}いとこ（男）
lag	湖	湖の;湖畔の
lang	舌	舌の,舌状の
leĝ	律	(基本形gloss無)
ritm	律	リズムの,韻律の;リズムに合わせた,律動的な
lert	巧	{Ｂ}器用な,巧みな,上手な;敏捷な,すばしこい
manier	式	{Ｂ}やり方,仕方,様式,流儀
mod	式	流行の,はやりの
formul	式	［他］書式に従って書く;【学】式で表す,定式化する;《般》言い表す
ceremoni	式	儀式の;儀式張った
mok	嘲	あざけりの
numer	号	番号の,数値の
signal	号	信号の
ofic	职	職務上の
profesi	职	職業の,職業上の;職業的な,本職の,プロの
ombr	影	影のある,日の当たらない
film	影	［他］映画にとる,撮影する
influ	影	影響力のある,勢力を持った
ordinar	普	{Ｂ}普通の,通常の;ありふれた,平凡な
universal	普	{Ｂ}普遍的な,全般的な;全世界の,万国の;万能の,汎用の;万有の
ov	卵	{Ｂ}卵（たまご）,鶏卵;【生】卵（らん）,>>frajo
pak	包	［他］包む,包装する,荷造りする;【情】（ファイルを）圧縮する
bulk	包	{Ｂ}【料】ロールパン,菓子パン（など小型の丸いパン）
bandaĝ	包	(基本形gloss無)
pork	猪	豚の;豚のように汚い
apr	猪	{Ｂ}【動】イノシシ（猪）（種）,=sovag^a porko
sak	袋	{Ｂ}袋;かばん,バッグ
poŝ	袋	(基本形gloss無)
seren	宁	{Ｂ}晴朗な,晴れ晴れした;おだやかな,うららかな,のどかな
prefer	宁	むしろ,なるべく,好んで
promes	诺	{Ｂ}［他］約束する,（物を）与えることを約束する;期待させる,請け合う,予想させる
paf	射	{Ｂ}［他］撃つ,射る,射撃する,射出する,発射する
radi	射	ラジオ（放送）の
region	区	地方の,地域の
kvartal	区	{Ｂ}市区,区画,街区,地区,>>urboparto
distrikt	区	【政】地区の,地方の
reĝ	王	(基本形gloss無)
rekt	直	{Ｂ}まっすぐな,一直線の;直立した,垂直の,>>vertikala;直接の,直行の,>>senpera
religi	宗	宗教上の,宗教的な;信心深い,敬虔（けいけん）な;細心な,きちょうめんな
ripet	复	繰り返して
kopi	复	写しとして,複写して
komplik	复	複雑な,込み入った,ややこしい,煩わしい
kompleks	复	複合した;入り組んだ,複雑な;【数】複素数の
ŝaf	羊	(基本形gloss無)
kapr	羊	{Ｂ}【動】ヤギ（山羊）
sek	干	{Ｂ}乾いた,乾燥した,水気のない,干からびた;《転》無味乾燥な,そっけない,情のない
trunk	干	［他］【数】（円錐などの）上部を切り捨てる
sever	严	{Ｂ}厳しい,厳格な;容赦のない,過酷な;猛烈な,深刻な;《転》簡素な,無駄のない
serioz	严	{Ｂ}まじめな,謹厳な;本気の,真剣な;重大な,深刻な
ŝlos	锁	(基本形gloss無)
serur	锁	{Ｂ}錠,錠前,>>s^losilo
spir	息	{Ｂ}［自］呼吸する,息をする;ひと息つく;《転》発散する,表す,=elspiri
spirit	灵	精神的な,霊的な
ŝtel	偷	(基本形gloss無)
stel	星	星の,星形の
astr	星	天体の
planed	星	惑星の
satelit	星	衛星の,衛星のような
ŝtup	阶	(基本形gloss無)
stadi	阶	{Ｂ}（発展の）段階,程度,時期;【史】スタジオン（=約180m）;=stadiono
sum	总	合計で,合わせて;=resume（要するに）
ĝeneral	总	(基本形gloss無)
total	总	全体の,総計の,>>kompleta,>>tuta
teler	盘	{Ｂ}皿,取り皿,>>plado;（皿に盛った）料理,一品;《転》皿状のもの
disk	盘	［他］（電話番号を）回す
plet	盘	{Ｂ}盆,（食事用の）トレー
terur	恐	恐ろしい,怖い;《転》ひどい,ものすごい,激しい
tond	剪	{Ｂ}［他］（髪・羊毛などを）刈る,刈り込む
traf	击	的を射た,的確な
tru	穴	穴の;穴のあいた
vapor	汽	蒸気の;蒸気のたちこめた,おぼろにかすんだ;（布地が）透けるように薄い
vast	广	{Ｂ}広い,広々とした;（衣服が）ゆったりした;《転》広範な;【声】（母音が）開いた
ampleks	广	広大な,広範囲の,包括的な
vin	酒	ワインの
bier	酒	{Ｂ}ビール,>>botela,>>barela
brand	酒	{Ｂ}蒸留酒;ブランデー,焼酎（しょうちゅう）
di	神	神の;神のような,この上なくすばらしい
ŝir	裂	(基本形gloss無)
fend	裂	{Ｂ}［他］割る,裂く;割って進む
krev	裂	{Ｂ}［自］はじける,破裂する,はり裂ける;ひび割れる
fot	拍	［他］写真にとる,撮影する,=fotografi
takt	拍	{Ｂ}【楽】拍子;調子;規則的に繰り返す音（コトコト・ドキドキ）;【情】クロック信号;《転》機転,如才なさ
raked	拍	{Ｏ}【運】ラケット
inkluziv	含	{Ｏ}含んだ,=inkluda
koleg	伴	{Ｏ}同僚,僚友,なかま,同業者
kompani	伴	{Ｂ}会社;（集合的に）仲間,一同,（同伴者）一行
kamarad	伴	［自］仲良くしている
kontakt	接	［他］接触している;連絡を保っている
kotiz	纳	{Ｏ}［自］（会費・分担金などを）払う
novel	篇	{Ｏ}小説,中編小説,>>romano
registr	录	［他］登録する,記載する,記録する,書留にする;《転》記憶にとどめる
katalog	录	［他］〜の目録を作る
protokol	录	［自］議事録を作る,議定書を作る
rezerv	储	保留の;予備の
stok	储	［他］【商】ストックする,仕入れる;蓄える
sonor	响	響きのある,よく響く,朗朗とした
klak	响	{Ｏ}［自］かちかち音をたてる（ぶつけて乾いた短い音を発する）
laŭt	响	(基本形gloss無)
plan	划	［他］計画する,設計する,立案する
rem	划	{Ｂ}［自］舟をこぐ,こぎ進む;［他］こぐ
strek	划	［他］（一筆で）線をひく;筋を付ける
taŭg	适	(基本形gloss無)
moder	适	{Ｂ}適度の,手ごろな,ほどほどの;節度ある,穏健な,中庸な
adapt	适	{Ｂ}［他］適合させる,適応させる,合わせる;（劇や映画用に）脚色する
konven	适	{Ｂ}適切な,ふさわしい,向いている;礼儀にかなった
akir	获	{Ｂ}［他］手に入れる,獲得する,習得する,>>gajni
rikolt	获	{Ｂ}［他］収穫する,刈り入れる,採取する;《転》（報いとして）得る,受ける
akompan	陪	{Ｂ}［他］同行する;【楽】伴奏する
akr	锐	{Ｂ}鋭い
anonc	宣	{Ｂ}［他］予告する;公告する
reklam	宣	広告の
deklar	宣	{Ｂ}［他］宣言する,宣告する;表明する,明言する;（課税品を）申告する
aparten	属	{Ｂ}［自］（〜 al）〜のものである;〜に所属する
apog	支	{Ｂ}［他］支える,もたせかける;《転》支持する
fili	支	{Ｏ}支部,支店,支所
aprob	肯	{Ｂ}［他］賛成する,同意する;是認する,認可する
arm	武	{Ｂ}［他］武装させる;装甲する
atak	攻	{Ｂ}［他］攻撃する;襲う
polic	警	警察の
alarm	警	警報の,危急を告げる
avert	警	{Ｂ}［他］警告する,注意を促す,予告する
bar	障	{Ｏ}［他］道をふさぐ;《転》妨げる
baston	棒	［他］棒で叩く（たたく）
blov	吹	{Ｂ}［自］（風が）吹く,息を吐く;［他］吹く,吹き鳴らす
bol	沸	{Ｂ}［自］沸騰する,煮えたぎる;《転》荒れ狂う,激高する
botel	瓶	{Ｂ}びん
karaf	瓶	{Ｂ}【料】カラフ（食卓用のガラスびん）,水差し
branĉ	枝	(基本形gloss無)
verg	枝	［他］むち打つ
buton	扣	［他］（衣服の）ボタンをかける
buk	扣	［他］バックルでとめる
ĉapitr	章	(基本形gloss無)
ĉas	猎	(基本形gloss無)
ĉemiz	衫	(基本形gloss無)
bluz	衫	{Ｂ}【服】ブラウス;上っ張り,仕事着;ジャンパー,ブルゾン
danc	舞	{Ｂ}［自］踊る,ダンスをする;小躍りする,はねる;［他］（〜を）踊る
bal	舞	{Ｂ}舞踏会,ダンスパーティ
defend	防	防御の;弁護の
delikat	细	{Ｂ}繊細な,洗練された;優美な,上品な;鋭敏な,敏感な;きゃしゃな,壊れやすい
detal	细	詳しい,詳細な;細かな;小売の
dens	密	{Ｂ}濃い,濃密な;密集した,密生した;【写】（ネガが）濃い,肉乗りのよい
desegn	绘	{Ｂ}［他］描く,素描する,デッサンする;デザインする,設計図をひく,製図する;《転》輪郭を示す
doktor	博	博士の
eben	平	{Ｂ}平らな,平坦な,>>plata;なめらかな,>>glata
nivel	平	［他］水準器で測る;同一水準にする;《転》平等化する
esting	灭	{Ｂ}［他］（火や明かりを）消す;《転》消す,消滅させる
evit	避	{Ｂ}［他］避ける,回避する,
rifuĝ	避	(基本形gloss無)
silk	丝	絹の,絹でできた;絹のような
faden	丝	{Ｂ}糸,線;針金,=drato;（話などの）筋,脈絡
fak	专	専門の,専門的な
fals	伪	偽の
fidel	忠	{Ｂ}忠実な,誠実な;節操の堅い,貞節な;事実を曲げない
lojal	忠	{Ｂ}忠義な,忠実な;誠実な,公正な
fier	骄	{Ｂ}誇り高い,自尊心のある;高慢な,尊大な
firm	坚	{Ｂ}堅い,引き締まった;しっかりした,ぐらつかない;《転》堅固な,確固とした
fortik	坚	{Ｂ}堅固な,頑丈な,頑健な;要塞化した
insist	坚	しつこく言い張る,執拗（しつよう）な
persist	坚	ねばり強い,根気のよい,執拗（しつよう）な,>>obstina;持続する
flag	旗	［他］旗で飾る
standard	旗	{Ｂ}（国家・軍隊などを象徴する）旗,国旗,軍旗,連隊旗,団旗;《転》旗印,>>flago
fork	叉	フォーク状の
fum	烟	［自］煙を出す,喫煙する;［他］（たばこ類を）吸う
tabak	烟	{Ｂ}たばこ（煙草）;【植】タバコ,=nikotiano
cigared	烟	{Ｂ}紙巻きたばこ
gast	客	［自］客になる;泊まる
klient	客	{Ｂ}顧客,依頼人,患者;得意客,常連;【史】（古代ローマの）クリエンテス（被保護平民）
pasaĝer	客	(基本形gloss無)
objektiv	客	(基本形gloss無)
ĝen	扰	(基本形gloss無)
gras	脂	脂肪質の,肥え太った;（土地が）肥えた
lard	脂	［他］【料】（肉に）小さく切った豚の脂身を差し込む
gut	滴	一滴ずつ,少しずつ
haŭt	皮	(基本形gloss無)
fel	皮	皮の,毛皮の
pelt	皮	毛皮の
hejt	热	{Ｂ}［他］（炉などに）火をたく;（部屋を）暖房する
term	热	【数】項;【論】名辞
ard	热	{Ｂ}白熱の;《転》熱烈な
fervor	热	{Ｂ}熱心な,熱烈な,熱情にあふれた,>>arda,>>entuziasma
entuziasm	热	熱烈な,熱狂的な,>>fervora,>>fanatika
honest	诚	{Ｂ}正直な,誠実な,実直な;公正な,正当な,まともな,いつわりのない
sincer	诚	{Ｂ}誠実な,率直な;真心のこもった,本心からの
honor	誉	名誉の,名誉ある,尊敬すべき
hont	耻	恥じて;恥ずかしそうに
imit	仿	{Ｂ}［他］まねる,模倣する;見習う;模造する
industri	业	産業の,工業の
inform	告	情報の
herold	告	［他］布告する;先触れする
insul	岛	島の
obe	服	{Ｂ}［他］従う,服従する
jak	服	{Ｂ}【服】背広,（腰丈までの）ジャケット;上着
konvink	服	納得のゆく,説得力のある
kajer	册	{Ｂ}ノート,帳面;（本の）分冊
album	册	{Ｂ}（写真・切手の）アルバム,写生帳,サイン帳;（音楽ＣＤの）アルバム,曲集
volum	册	{Ｂ}（書籍などの）巻,冊
broŝur	册	(基本形gloss無)
ekzempler	册	{Ｏ}（本や新聞などの）一冊,一部;（同種の生物の）個体,標本,>>specimeno
kest	箱	{Ｂ}箱,ケース,容器
valiz	箱	{Ｂ}（手に持って運べる）旅行かばん,スーツケース,小形トランク,>>kofro
kis	吻	{Ｂ}［他］キスする,口づけする;《転》そっと触れる
komfort	舒	{Ｂ}快適な,心地よい,安楽な
kompar	较	比較の
kondiĉ	件	(基本形gloss無)
konstant	恒	{Ｂ}不変の,一定の,常置の,絶え間ない;（人が）志操堅固な
korespond	通	文通の
kultur	耕	文化の,文化的な
plug	耕	{Ｂ}［他］耕す,すく;《転》畝をつくる,しわを寄せる
lamp	灯	{Ｂ}ランプ;灯火;電灯
kurs	课	{Ｂ}講座,講習会,課程;コース,道順,路線;=kurzo（相場）
lecion	课	{Ｂ}授業,けいこ,レッスン;学課,課業;（教科書の）課;教訓,戒め
legom	菜	{Ｂ}野菜
brasik	菜	{Ｂ}【植】キャベツ,=kapobrasiko;（キャベツ、ハクサイ、カラシナ、アブラナ、カブなど）アブラナ属の植物の総称
lap	菜	{Ｂ}【植】ゴボウ（種）（牛蒡）;ゴボウの実（とげがあってくっつきやすい）
lip	唇	唇の
liter	字	{Ｂ}文字,字;【印】活字,>>ideografiaj^o;字句,文面
alfabet	字	アルファベットの
maŝin	机	(基本形gloss無)
ŝanc	机	(基本形gloss無)
meĥanism	机	(基本形gloss無)
matur	熟	{Ｂ}熟した,成熟した;《転》熟慮した,練られた;【商】（手形などが）満期の
familiar	熟	{Ｂ}親しい,慣れ親しんだ,心安い,くだけた,平俗な,>>intima,>>senceremonia
