"root"	"kanji"	"gloss"
"era"	"代"	"紀元;時代;【地質】代,>>periodo（紀） ／ キリスト紀元"
"prokur"	"代"	"【法】【商】代理権,>>mandato"
"intern"	"内"	"内部の,内側の;国内の;内心の,精神的な ／ インテリアデザイン ／ 【理】内部エネルギー ／ 【病】内出血"
"da"	"份"	"一束のバラ ／ 数百の ／ ［前］（数量）〜の〜 ／ 十数の"
"porci"	"份"	"分け前,割当て,配給量;（料理の）一人前"
"antaŭ"	"前"	"［前］（時間的・空間的に）〜の前に ／ 前部の,前方の;以前の,前の ／ 前半,=unua duono ／ 【車】フロントガラス,=ventos^irmilo"
"front"	"前"	"正面の,前面の ／ 正面図 ／ 正面に,前面に ／ 〜に面して"
"avan"	"前"	"【軍】【PIV】La antau^a parto de armeo, tac"
"dat"	"期"	"［他］日付をつける ／ 日付,年月日;期日,日取り ／ 生年月日 ／ 予定の日,約束の日"
"dum"	"期"	"［接］〜する間;〜する一方では ／ ［前］〜の間,〜の間に ／ 同時の;一時的な ／ その間;一時的に,さしあたり;ところが一方,反対に"
"period"	"期"	"【医】潜伏期 ／ 【医】月経期 ／ 周期的な,定期的な ／ 【病】回帰熱,周期熱"
"pas"	"过"	"=pasema（一時的な） ／ 一時的に ／ ［自］通る,通過する;（時が）たつ,経過する;過ぎ去る,消え去る ／ 通行,通過;推移,経過;"
"preter"	"过"	"［前］〜のそばを通って,〜を素通りして ／ そばを通って,行きずりに"
"naŭ"	"九"	"［数詞］九 ／ 第九の,九番目の ／ 九番目に ／ ［数詞］九千"
"kvar"	"四"	"［数］１４ ／ （旧暦の）二十四節気 ／ ［数詞］四 ／ ４番目の,第四の"
"mil"	"千"	"［数詞］十万 ／ ［数詞］一万 ／ ［数詞］二千 ／ ［数詞］四千"
"cent"	"百"	"［数詞］百 ／ 百番目の ／ 百周年記念日 ／ ［数詞］十万"
"tri"	"三"	"［数］１３ ／ 妊娠３か月の ／ 【史】リチャード三世（イングランドの王、1452-1485） ／ 【文】『三国志演義』（中国の長編小説）"
"ses"	"六"	"［数］１６ ／ ［数詞］六 ／ 第六の,六番目の ／ 第六に,六番目に"
"ok"	"八"	"［数詞］八 ／ 第八の,八番目の ／ 第八に,八番目に ／ ［数詞］八千"
"du"	"二"	"前半,=unua duono ／ ［数］１２ ／ ［数詞］二 ／ 第二の,二番目の"
"unu"	"一"	"電気単位,>>ampero,>>farado,>>j^ulo,>>volto ／ 【史】チャールズ１世（イングランド王、1600-1649） ／ 一つといわず（一つより多い）,=pli ol unu;一つも〜ない,=ec^ ／ ［数詞］一;［形］ある,一つの;［代］ひとり,ひとつ"
"dek"	"十"	"［数詞］十 ／ 十番目の ／ ［数］１２ ／ ［数］１４"
"kvin"	"五"	"［数］１５ ／ 【史】カール５世（神聖ローマ皇帝、1500-1558） ／ ［数詞］五 ／ ５番目の,第五の"
"sep"	"七"	"［数詞］七 ／ 第七の,七番目の ／ 七番目に ／ ［数詞］七千"
"aĉ"	"劣"	"粗悪な,つまらない,いやしい,下品な"
"membr"	"员"	"【Ｅ】（ＵＥＡの）団体会員 ／ 終身会員 ／ 名誉会員 ／ 【Ｅ】（ＵＥＡの）個人会員"
"komiz"	"员"	"店員,社員,銀行員 ／ セールスマン,=vojag^a komizo ／ 新入社員,>>novulo ／ セールスマン,外交販売員,=migra komizo"
"eg"	"巨"	"たいへんな,ひどい ／ たいへん,ひどく,>>tre,>>terure"
"gigant"	"巨"	"巨人の;巨大な ／ （遊園地の）観覧車 ／ 巨人"
"kolos"	"巨"	"巨大な,大規模な ／ 巨大都市 ／ 雲つくような大男 ／ 巨像;《転》巨人;大国"
"titan"	"巨"	"巨大な,超人的な,>>kolosa,>>giganta ／ 【化】チタン（原子番号22の金属元素） ／ 【神】ティタン（ギリシア神話で巨人族の神）;《転》（小文字で）巨人"
"ciklop"	"巨"	"キュクロプスの,巨大な ／ 【神】キュクロプス（単眼の巨人）"
"ig"	"使"	"【情】エンターキー ／ ［他］（中に）入れる,入れこむ;【情】入力する ／ ［他］〜（の動作を）させる;〜（の状態に）する ／ ［他］（数学的に）割る,分ける"
"misi"	"使"	"使命,任務;【宗】伝道,布教;使節団,伝道団 ／ 【PIV】Rilata al misio: misia prediko; m"
"nunci"	"使"	"【カ】ローマ教皇大使"
"ad"	"行"	"続けて,=dau^re"
"andant"	"行"	"【楽】（速度標語）歩く速さで ／ 【楽】アンダンテ（曲）"
"ul"	"者"	"（任意の）ある人,誰か,某氏,>>sinjoro Ajnulo ／ 某氏,誰かさん ／ 人,者"
"ebl"	"可"	"可能な,あり得る ／ あるいは,ことによると,ひょっとすると,もしかすると（確実度が低い）,>>p ／ ［自］可能である ／ 可能"
"obl"	"倍"	"【数】倍数"
"ploid"	"倍"	"【生】【PIV】Nombro de homologaj serioj de "
"log"	"学家"	"［他］気を引く,（心を）引き付ける,魅惑する;誘う,おびき寄せる ／ 【海】（船の速力を測る）測程器 ／ 魅力,魅惑,誘惑"
"et"	"小"	"小さい;少量の,>>malgranda ／ 小指,=etfingro ／ （La 〜）【文】『星の王子様』（サンテクジュペリ作） ／ 【植】ヒメツルニチニチソウ（姫蔓日々草）（種）"
"minor"	"小"	"【楽】和声的短音階 ／ 【楽】短調の;（より）小さい,><maj^ora ／ 【楽】短和音,マイナーコード ／ 【楽】短音階"
"em"	"倾"	"〜の傾向がある,〜の好きな,>>inklina ／ ［自］〜する気がある;〜しがちである,>>inklini ／ 傾向,好み,くせ,>>tendenco"
"inklin"	"倾"	"傾向のある,心の傾いた ／ ［自］〜の傾向がある,好む,〜する気になっている ／ （心の）傾向,性向,性癖,好み,（〜したいという）意向"
"tak"	"倾"	"【PIV】(tr (transitiva)) 1 = g^iri 3 pp  ／ 【PIV】Banglades^a monunuo."
"il"	"具"	"道具,用具,ツール;手段"
"mebl"	"具"	"［他］家具を備付ける ／ （個々の）家具,調度,備品 ／ 【PIV】Rilata al mebloj: la mebla arto; "
"end"	"须"	"［他］（無主語）〜されるべきである（不定法動詞を目的語に取る）"
"iĝ"	"成"	"［自］入会する ／ ［自］中に入る,入りこむ ／ ［自］〜になる,>>farig^i"
"sukces"	"成"	"完全な成功 ／ まあまあの成功 ／ 間違いない成功 ／ 成功した,うまくいった,上首尾の,上出来の"
"adolt"	"成"	"=plenkreska（成熟した） ／ =plenkreskulo（成人）"
"id"	"子"	"子ども;子孫（一人）;《転》信奉者,弟子 ／ イド語"
"atom"	"子"	"原子の;原子力の,核の ／ 核兵器 ／ 【理】原子力 ／ 【理】原子質量単位"
"divid"	"分"	"［他］分ける,分割する,区切る;分け与える,分配する;分け合う;【数】割る ／ 分割,区切り,分配;【数】割り算 ／ 社会格差 ／ 【PIV】1 Rilata al divido. 2 (pp (se par"
"minut"	"分"	"一分間の;ちょっとの間の ／ 一分間に;ちょっとの間に ／ （時間の）分;寸時,ごく短い時間;（角度の）分 ／ （追悼のための）一分間の黙祷"
"frakci"	"分"	"【化】分留 ／ ［他］【化】分留する ／ 【数】分数;【化】留分;【政】分派,フラクション ／ 【PIV】Rilata al frakcio."
"gros^"	"分"	"【貨】グロッシェン（ドイツ・オーストリアの旧少額硬貨）;《転》はした金 ／ 【PIV】Rilata al gros^o: speza k gros^a "
"er"	"粒"	"=>erao（紀元） ／ 粒,構成要素"
"grajn"	"粒"	"穀粒;（粒状の）実,種子;（一般的に）粒;《転》微量 ／ 【PIV】1 Plena de grajnoj, konsistanta e"
"granul"	"粒"	"小粒,細粒,顆粒（かりゅう）;【薬】顆粒剤,細粒丸薬;【天】粒状斑 ／ 【PIV】1 De, rilata al granulo. 2 Konsis"
"ej"	"所"	"場所,>>loko"
"kontor"	"所"	"事務室;帳場,>>oficejo"
"uj"	"器"	"容器,入れ物"
"organ"	"器"	"【生】相似器官,><homologa ／ 【解】性器,生殖器官 ／ 【生】相同器官 ／ 器官の,器官を備えた"
"vaz"	"器"	"青銅器 ／ 【解】リンパ管 ／ 花びんを割る ／ 容器,うつわ,つぼ,かめ,花びん,はち,>>poto,>>pelvo,>>k"
"aparat"	"器"	"【情】デバイスドライバ ／ 装置,機械一式;【解】器官;【政】機関;【情】装置,デバイス ／ 【解】消化器 ／ 【電】電解装置"
"ar"	"群"	"集団,サークル,会 ／ 【単】アール（面積の単位，＝100平方メートル） ／ 集団;集合 ／ 【化】【PIV】En formuloj, simb. (simbolo) d"
"greg"	"群"	"群れの,群集の ／ 群集本能 ／ 家畜の群れ,群集"
"ec"	"性"	"性質の ／ 性質 ／ 純分（金銀の含有量）"
"seks"	"性"	"性の,性的な ／ 性差別,=seksismo ／ 男女平等 ／ 【生】性染色体"
"amor"	"性"	"性愛の,情欲の,色恋の ／ ［他］愛を交わす ／ 性愛,色恋 ／ 【神】アモル（ギリシア神話の愛の神エロスのラテン訳名）,>>Eroso,>>"
