char	root	gloss
丧	funebr	哀悼の,悲嘆にくれた;喪の,葬式の
功	funkci	［自］職務を遂行する;機能を果たす
磅	funt	ポンド（約0.5kg）
饲	furag^	［自］飼料を集める
屁	furz	［自］おならをする,屁（へ）をひる
拙	fus^	仕損じの,出来損ないの
未	futur	未来（時制）,=os-tempo;《詩》=estonteco（未来）
呻	g^em	［自］うめく,うなる,嘆く
堤	g^et	防波堤,突堤
它	g^i	それの
享	g^u	［他］楽しむ,享受する
欢	gaj	陽気な,快活な,愉快な,にぎやかな,浮き浮きした
赢	gajn	（くじの）当籤番号
驰	galop	ギャロップで,全速力で
呆	gap	ぽかんと
漱	gargar	［他］すすぐ,水洗いする;うがいをする
膝	genu	［自］ひざまずいている,ひざ立ちしている
铸	gis	［他］鋳造する,=muldi
泽	glace	光沢のある,つや出しした,>>polurita
冰	glaci	氷の,氷のような;《転》冷ややかな,よそよそしい
颖	glum	包穎（ほうえい）
猩	goril	ローランドゴリラ
恩	grac	（la 〜）神の恩寵（おんちょう）
伯	graf	伯爵
禾	gramin	(evi (evitinda)) = gramineo.
串	grapol	（花や果実の）房;総状花序
抓	grat	［他］ひっかく,かき削る;かく,>>skrapi
贺	gratul	祝いの,祝賀の
蟋	gril	コオロギ
罗	groc	グロス（＝12ダース）
鹤	gru	ツル
怨	grumbl	［自］ぼやく,ぶつぶつ不平を言う,愚痴をこぼす
砾	gruz	［他］砂利を敷く
凿	gug^	Konkavaklinga c^izilo, uzata en meblofarado k kirurgio; fold
味	gust	［自］味がする
滴	gut	一滴ずつ,少しずつ
砍	hak	［他］（斧で）切る,たたき切る;（話などを）切れ切れにする;傷める
绕	haspel	1 Lata ligna au^ metala tamburo, kiu rotaciante surprenas fa
匆	hast	大急ぎの;拙速の
港	haven	港,港湾;《転》避難所,休息所
藤	heder	キヅタ（属）,ヘデラ,アイビー
篱	heg^	生け垣
霸	hegemoni	主導権を持った,支配的な
肝	hepat	肝臓の
继	hered	劣性遺伝
犹	hezit	［自］ためらう,躊躇（ちゅうちょ）する
汞	hidrarg	水銀気圧計
昨	hierau^	きのうの
嘻	hihi	Eligi tian bruon.
亚	hipo	
抵	hipotek	モーゲージ,抵当貸し,（特に）住宅ローン
燕	hirund	ツバメ（属）;=domhirundo
今	hodiau^	きょうの;今日（こんにち）の
誉	honor	名誉の,名誉ある,尊敬すべき
耻	hont	恥じて;恥ずかしそうに
蹄	huf	ひづめ（蹄）
仁	human	人間的な,人情味のある,人道的な
照	ilumin	［他］照明する,イルミネーションで飾る;天啓を与える
威	impon	印象深い,堂々とした,威厳のある
免	imun	免疫の;免除の;耐性のある
焚	incendi	火災保険
惹	incit	［他］（刺激して）怒らせる,いらだたせる;極度に興奮させる
征	indic	減衰指数,減衰定数
愤	indign	憤慨した
饶	indulg	寛大な
业	industri	産業の,工業の
惰	inert	惰性的な,無気力な,消極的な;不活性の
患	infest	(tr (transitiva)) Svarme invadi, pp (se paroli pri) ratoj ks
匿	inkognit	お忍びの,微行の
陷	insid	落とし穴の,わなのある,狡猾（こうかつ）な
唆	instig	［他］励ます,勧める;駆りたてる,そそのかす
本	instinkt	群集本能
岛	insul	無人島,=senhoma insulo
聪	inteligent	聡明な,頭のよい,利口な
烈	intens	強烈な,激しい,強度の;集中的な,集約的な,徹底的な
间	inter	間の,中間の
趣	interes	興味深い,おもしろい;関係のある,ためになる
隙	interstic	Spaco, kiu trovig^as inter la esencaj elementoj de iu organo
淹	inund	［他］氾濫する,水浸しにする;《転》あふれる
侵	invad	［他］侵入する,侵略する;押し寄せる,殺到する
邀	invit	心のこもった招待
虹	iriz	虹色の,虹色に輝く
妒	j^aluz	嫉妬深い,ねたんでいる;執着している,（失うまいと）用心している
耍	j^ongl	［自］（物を空中に投げる）曲芸をする;手品をする;《転》巧みに扱う
刚	j^us	たった今の,直前の
已	jam	既存の
年	jar	前年
这	jen	次の,次のような,以下の,下記の
碘	jod	ヨードチンキ
裙	jup	スカート
庐	kaban	（高山の）山小屋,登山小屋
粥	kac^	くず湯
尸	kadavr	死斑（しはん）
朽	kaduk	老朽の,荒廃した;老衰した,老いぼれた;消えていく,はかない;（期限切れで）無効の,失効した
笼	kag^	鳥かご;おり
舱	kajut	キャビンボーイ,船室付きの給仕
钙	kalci	塩化カルシウム
踢	kalcitr	［自］（馬などが）後脚で蹴上げる;《転》頑強に抵抗する
历	kalendar	（la 〜）グレゴリオ暦（現行の太陽暦）
钾	kali	シアン化カリウム,青酸カリ
跟	kalkan	踵（かかと）
谤	kalumni	中傷キャンペーン
秃	kalv	（頭の）はげた;《転》草木の生えていない
驼	kamel	フタコブラクダ,=dug^iba kamelo
摄	kamera	（動画撮影用）カメラ,>>fotilo
樟	kamfor	ショウノウ（樟脳）
苇	kan	《般》アシ,ヨシ,トウ,サトウキビの類,>>fragmito,>>rotango;（アシ・トウのような軽量中空の）茎,棒
渠	kanal	取水路,導水路
烛	kandel	ろうそく;カンデラ（光度の単位，cd）
候	kandidat	［自］立候補する（運動する）,志願する
州	kanton	（フランスの）郡;（スイスの）州
捕	kapt	［他］つかまえる,捕らえる;つかむ,把握する;とりこにする
牢	karcer	独房;監房,牢（ろう）;留置場;監獄,刑務所;営倉
抚	kares	愛撫するような,優しい
涯	karier	外交官の道,外交官の職
卡	kart	地図
藏	kas^	こっそり,秘密裡に
城	kastel	城,城郭;大邸宅,館（やかた）
催	kataliz	(tr (transitiva)) Plirapidigi kemian reakcion per katalizant
阴	katod	カソード,陰極,><anodo
蹲	kau^r	うずくまって,身を縮めて
灼	kau^ter	=kau^terizi（焼灼する）
窖	kel	地下室,穴倉,地下貯蔵庫;《転》（地下に貯蔵された）ワイン（全体）
