char	root	gloss
歇	pau^z	［自］（一時的に）休止する,中休みする,>>ripozi,>>c^esi
迂	pedant	学者ぶった,些事に拘泥する
驱	pel	［他］追う,追いたてる;追いかける;（状態に）駆り立てる,追いやる;駆動する
努	pen	骨を折って,やっとのことで
挂	pend	［自］掛っている;ぶらさがっている;宙に浮いている
宿	pension	下宿屋,寮,寄宿舎
描	pentr	［他］（色彩画を）描く;《転》（言葉で）描写する;思い描く
卒	peon	（チェスの）ポーン,（将棋の）歩兵（歩）;（中南米の）農場労働者,ペオン
以	per	間接の;仲介の
失	perd	誘電損失
亡	pere	［自］（災害などで）死ぬ;滅びる,消える,滅亡する
完	perfekt	完全な,完璧な,申し分のない,>>senmanka,>>plena,>>kompleta
珠	perl	人造真珠,模造真珠
迫	persekut	被害妄想
桃	persik	桃の種
鹊	pig	オナガ（尾長）（種）
懒	pigr	《詩》=maldiligenta（怠惰な）
松	pin	松やに
掐	pinc^	［他］（指などで）つまむ,はさむ,つねる;（動物が草を）はむ;（芽などを）摘む;（琴などを）つま弾く
镐	pioc^	［他］つるはしで掘る
拓	pionir	精力的な開拓者
梨	pir	ナシ（梨）,洋ナシ
捣	pist	［他］（細かく）つき砕く,粉にする,粉砕する,すりつぶす
豌	piz	エンドウ（豌豆）（属）;《般》えんどう豆
皿	plad	大皿,皿,>>telero;（皿に盛った）料理
滩	plag^	（観光用の）浜辺,海水浴場,ビーチ;=strando（砂浜）
窃	plagiat	［他］盗作する,剽窃（ひょうせつ）する
扁	plat	板チョコ
溅	plau^d	［自］バシャリと音を立てる,水音を立てる;パタパタと音を立てる
最	plej	最大で;とりわけ;たいていの場合
拨	plektr	［自］（弦を）ばちでかき鳴らす,ピック演奏する,>>pinc^i
更	pli	より以上の,追加の
础	plint	（柱や彫刻台の下の四角い）柱礎,台座;根石;=plankoplinto（幅木）
哭	plor	［自］泣く,涙を流す
铅	plumb	鉛の;鉛のような,重苦しい
雨	pluv	酸性雨
腕	pojn	手首,=manradiko
掌	polm	手のひら,=manplato
尘	polv	浮遊粉じん
苹	pom	酸っぱいリンゴ
豪	pomp	豪勢な,はなやかな,壮麗な,華麗な,絢爛豪華な
匕	ponard	［他］短剣で刺す
桥	pont	橋;船橋,ブリッジ;（弦を支える）駒（こま）;《転》懸け橋,橋渡し
众	popular	人気のある,ポピュラーな;大衆的な,通俗的な,平易な
为	por	小孔のある;多孔質の
瓷	porcelan	半透明の磁器
肖	portret	［他］肖像を描く
岗	posten	［自］持ち場についている,部署を守る
势	potencial	電位
贫	povr	《詩》=kompatinda（哀れな）;=malric^a（貧しい）
践	praktik	実地の,実践的な;実際的な,実用的な;実用向きの,便利な,役に立つ
渡	pram	［他］（船で）渡す
谓	predikat	述部の,述語の
祈	preg^	［自］（神などに）祈る,祈願する
奖	premi	二等賞
拿	pren	［他］手に取る,つかむ;取りあげる,奪い取る;取る,得る,選ぶ;受け取る,受け入れる;〜を〜と見なす,取り違える
几	preskau^	ほとんどの,同然の;おおよその
呈	prezent	［他］差し出す,見せる,提示する,提出する;紹介する;思い描く;描き出す;上演する,上映する;（様相を）呈する,示す
于	pri	それについて
则	princip	指導原理
春	printemp	早春
慷	prodig	《稀》=malavara（気前のよい）
深	profund	焦点深度
延	prokrast	時限爆弾
诺	promes	空約束
俯	pron	(tr (transitiva)) Turni la antau^brakon tiel, ke la polmo ri
播	propag	伝搬指数,伝搬定数
丙	propil	La radiko CH 3-CH 2-CH 2 -.
试	prov	（新薬などの）臨床試験
谚	proverb	ことわざの,ことわざ風の;よく知られた,周知の
粮	proviant	［他］（軍隊に）食糧を補給する,=provizumi
佑	providenc	摂理の,神意による
暂	provizor	仮の,臨時の,一時的な,暫定的な
挑	provok	挑発の;挑発する
慎	prudent	良識的な,賢明な,分別のある;慎重な,用心深い,思慮深い
借	prunt	貸し借りで
羞	pudor	恥じらいのある,慎み深い
拳	pugn	［他］こぶしでなぐる
蚤	pul	ヒトノミ（人蚤）（種）
瓤	pulp	歯髄（しずい）
砰	pum	ピューマ
泵	pump	［他］（ポンプで）吸い上げる,くみ上げる;（ポンプで）送り込む,入れる
瞳	pupil	瞳孔,ひとみ;《転》大切なかわいいもの
纯	pur	混じりけのない,純粋な,澄んだ;清らかな,清潔な,きれいな;純真な,純潔な;清められた,清浄な
紫	purpur	紫色の,赤紫色の,>>viola,>>skarlata
井	put	掘抜き井戸
抢	rab	［他］奪う,奪い取る,強奪する,（強制的に）取り上げる
刨	rabot	［他］かんなをかける,平らに削る
彻	radikal	根本的な,徹底的な;急進的な,急進派の,過激な
锄	rastr	Fosilo kun triangula ferplato fiksita akutangule al la tenil
饺	raviol	水餃子（すいぎょうざ）
冗	redund	Estanta pluroble au^ ripete, au^ aldonita por sekurigi kontr
制	reg^im	独裁制
宗	religi	宗教上の,宗教的な;信心深い,敬虔（けいけん）な;細心な,きちょうめんな
垒	rempar	城壁,塁壁;《転》防御物
遇	renkont	〜に会いに;〜に向かって
各	respektiv	それぞれの,各自の
答	respond	明確な返答
取	retrat	［他］（預金を）引き出す,>>repreni
顾	retrospektiv	回顧的な,過去を振り返る
刊	revu	みだらな雑誌
驻	rezid	常駐の
顺	rezignaci	甘受して,あきらめきって
礁	rif	礁（しょう）,岩礁,暗礁;《転》暗礁（危険な障害物）
拒	rifuz	きっぱりした拒絶
看	rigard	いぶかしげな目つき
拴	rigl	［他］差し錠をかける,かんぬきをかける
讥	rikan	［自］冷笑する,せせら笑う,にやにや笑う,>>mokridi,>>ridac^i
犀	rinocer	サイ（犀）（属・科）
肋	rip	肋骨（ろっこつ）,あばら骨;葉脈,=nervuro;うね;リブ,補強材;肋材
修	ripar	［他］修理する,修繕する;《転》回復する,償う,>>rebonigi
休	ripoz	（天国での）永遠の休息;永眠（死）
险	risk	危険な,一か八かの
仪	rit	（宗教的）儀式の,典礼の
河	river	幅の広い川
溪	roj	Mallarg^a k malprofunda rivereto. Vd lirli.
玫	roz	シャクナゲ（石楠花）,>>rododendro
舵	rudr	水平舵,（飛行機の）昇降舵,（潜水艦の）横舵
乡	rur	《詩》=kamparo（田園）
狡	ruz	邪悪な策略
棋	s^ak	将棋
沐	s^ampu	［他］（頭髪を）シャンプーで洗う
载	s^arg^	積荷の;《転》重荷の
鲨	s^ark	サメ（鮫）,フカ（鱶）（の類）;《転》強欲な人
沫	s^au^m	泡の,泡立つ
她	s^i	彼女の
帅	s^ik	シックな,いきな,しゃれた,趣味の良い,>>eleganta,>>bongusta
盾	s^ild	人間の盾
霉	s^im	《般》アオカビ（青黴）,>>verda s^imo
船	s^ip	漂流船
绳	s^nur	［他］（なわで）しばる,くくる
枕	s^pal	（窓などの）横木;枕木（まくらぎ）
纺	s^pin	［他］紡ぐ;（クモ・カイコが糸を）吐く,（巣・繭を）つくる;《転》織りなす,作り上げる
柜	s^rank	聖櫃（せいひつ）,=tabernaklo
钢	s^tal	鉄鋼
袜	s^trump	長靴下,ストッキング
鞋	s^u	靴（片方）,短靴;《転》靴状のもの
撒	s^ut	［他］（粉粒を）まく,ばらまく;《転》ぶちまける
翔	s^veb	［自］（空中に）浮かぶ,ただよう,舞う,滑空する;すべるように動く;（水中で）漂う,>>flosi,>>sinki;《転
肿	s^vel	［自］ふくれる,ふくらむ,膨張する,はれる;（過度に）増大する,ふくれあがる,（川が）増水する
沙	sabl	砂上の楼閣
刀	sabr	［他］サーベルで切る,切りつける
矢	sag	［自］矢のように飛ぶ
蔗	sakar	G. (Genro) (Saccharum el poacoj) de plurjaraj, altaj herboj 
骂	sakr	［自］ののしる,悪態をつく,>>blasfemi
盐	sal	［他］塩漬けにして保存する
薪	salajr	出来高賃金,>>lau^tempa salajro
硝	salpetr	チリ硝石,=natria nitrato
皂	sap	薬用せっけん
耘	sark	［他］（土地を）除草する,（雑草を）取り除く
蔓	sarment	1 Ligna, tamen fleksebla tigo, kiun vito kreskigas c^iun jar
酱	sau^c	ベシャメルソース
救	sav	救いの,救助の
烁	scintil	シンチレーション計数管
脱	secesi	(pp (se paroli pri) grupo, societo, s^tato) Apartig^o disde 
但	sed	(ntr (netransitiva)) Kontrau^diri, obj^eti: en mi la intelek
锯	seg	［他］のこぎりで引く
椅	seg^	折りたたみ椅子（いす）
泌	sekreci	［他］分泌する
域	sektor	金融分野
秒	sekund	メートル毎秒（速度の単位，m/s）
安	sekur	安全な,安心できる,危険のない,><dang^era;（攻撃や災害に対して）確固とした,安定した
随	sekv	当然の帰結,自然の成り行き
鞍	sel	［他］鞍（くら）を置く
周	semajn	今週
七	sep	第七の,七番目の
葬	sepult	［他］葬る,埋葬する,>>entombigi
居	setl	(ntr (netransitiva)) (pp (se paroli pri) homgrupo) Eklog^i, 
季	sezon	雨季,雨期
坐	sid	［自］座っている;腰掛けている;止まっている,じっとしている;（ある状態に）ある;（ある場所に）いる,位置する;（服など
著	signifik	(ntr (netransitiva)) Havi alian kau^zon ol la hazardo.
默	silent	修道院の静けさ
莺	silvi	ズグロムシクイ（種）
猿	simi	［他］猿まねする
怀	sin	胸部;懐（ふところ）;胎内;《転》内奥;《転》胸の内
君	sinjor	封建領主
癣	skabi	かいせん（疥癬）,ひぜん（皮癬）
奴	sklav	奴隷の,奴隷的な;卑屈な,言いなりの
斥	skold	(tr (transitiva)) Riproc^e admoni: la patro skoldis la knabo
侦	skolt	［自］ボーイスカウト活動をする;偵察する
蝎	skorpi	サソリ（蠍）（目の総称）;さそり鞭（むち）
鳞	skvam	うろこで覆われた
砂	smirg	紙やすり
槛	sojl	窓台,窓敷居
墩	sokl	（円柱・彫像などの）台座,台石（比較的平たい）,>>piedestalo;（持ち運べる）台,台座;（電球の）口金;島棚
唯	sol	唯一の,ただ一つの;ひとりきりの,単独の
兵	soldat	無名戦士
固	solid	回転体
夏	somer	初夏
眠	somnol	Stato transig^a inter dormo k maldormo.
梦	song^	夢の,夢のような
慕	sopir	あこがれの,憧憬に満ちた
腾	sor	［自］（気流に乗って）上昇する,舞い上がる,=suprenglisi
野	sovag^	野生の;未開の;野蛮な;《転》粗野な,粗暴な
戏	spektakl	見世物,興行,ショー;見もの,スペクタクル
谱	spektr	連続スペクトル
兑	spez	［他］出納する
谍	spion	二重スパイ（人）
息	spir	［自］呼吸する,息をする;ひと息つく;《転》発散する,表す,=elspiri
灿	splend	Pompe brila, bele k lukse impresanta.
辐	spok	（車輪の）スポーク,=radradio,=dratradio
援	sponsor	［他］〜のスポンサーになる
迹	spur	［他］足跡をたどる;トレースする
站	staci	中継局
锡	stan	スズの,スズ製の
杆	stang	キャプスタンバー
立	star	［自］立っている;ある,いる;立ち止まっている,静止している;（ある状態に）ある
起	start	［自］スタートする;始動する,=ekfunkcii
态	stat	（戸籍上の）身分（配偶者の有無など）
撑	steg	Peco, kiu kunligas du flankojn de objekto, du metalajn plato
痕	stigmat	（消すことのできない）傷跡,>>cikatro;聖痕
估	stim	Taksi per stokastika procedo; kalkuli stimon.
茬	stopl	（穀物を刈り取った後の）切株,刈株
街	strat	静まり返った通り
略	strategi	戦略上の,戦略的な
奋	streb	［自］全力をつくす,懸命に努力する,奮闘する
紧	strec^	電気応力;=>tensio（電圧）
窄	stret	《詩》=mallarg^a（幅の狭い）
罢	strik	ゼネスト
研	stud	聖書研究
绊	stumbl	［自］つまずく,よろめく,=faleti;《転》とちる,言い間違える
崇	sublim	崇高な,至高の,気高い,高尚な
够	sufic^	十分な,かなりの,相当な
阳	sun	朝日,日の出
汤	sup	スープ
仰	supin	(tr (transitiva)) Turni la antau^brakon tiel, ke la polmo, s
聋	surd	耳の聞こえない,耳の不自由な,聾（ろう）の;《転》耳を貸さない,聞こうとしない;《転》聞き取りにくい,かすかな
悬	suspensi	1 Tuto de la arang^o, kiu ebligas al korpo, aparato, parto d
叹	suspir	［自］嘆息する,=vespiri
拥	svarm	［自］うようよしている,群がっている,ひしめき合う,雲集する
挥	sving	［他］振る,振り動かす,ぶらぶらさせる,振り回す,振り上げる;《転》勢いづける
桌	tabl	サイドテーブル
潮	tajd	満潮,=altmaro
术	taktik	戦術的な,戦術上の
却	tamen	
锣	tamtam	［自］タムタムを打ち鳴らす;《転》鳴り物入りで宣伝する
毯	tapis^	［他］絨毯を敷く;タペストリーを掛ける
迟	tard	《詩》=malfrua（遅い）
禀	temperament	気質,気性,性分;（古代西洋医学で）体質
庙	templ	仏教寺院,寺
持	ten	［他］手に持っている,つかんでいる,腕に抱えている;支える,つなぎとめる;保有する,保管する,取っておく;（〜の状態に）
帐	tend	小脳テント
畸	terat	Grava fizika au^ fiziologia anomalio; monstraj^o.
领	teritori	委任統治領
恐	terur	恐ろしい,怖い;《転》ひどい,ものすごい,激しい
嘱	testament	［他］遺言する,遺贈する;《転》残し伝える
虎	tigr	トラ（虎）
拉	tir	［他］引く,引っ張る,引き寄せる;引き出す,取り出す;引き伸ばす;引いて行く,引きずる
茄	tomat	トマトの
墓	tomb	墓の,墓のような
雷	tondr	雷の,雷のような
张	toni	1 Stato de malforta kontrahig^o de la muskoloj, ne estiganta
炬	torc^	（オリンピックでリレーされる）聖火
击	traf	的を射た,的確な
输	transfuz	輸血する
移	translaci	並進運動
蒸	transpir	(ntr (netransitiva)) 1 Elimini akvovaporon el sia korpo: la 
很	tre	Ekstrema.
颤	trem	［自］震える,身震いする;揺れる,揺れ動く,震動する;恐れる,びくびくする
踏	tret	［他］踏む,踏みつける;踏みつぶす
肚	trip	（動物の）はらわた,臓物;（反芻動物の）胃;トライプ（牛の胃を刻んで煮込んだもの）
凯	triumf	凱旋の;大勝利の,大成功の;勝ち誇った
太	tro	余りの,余分な,過度の
找	trov	［他］見つける,見いだす,発見する;認める,気づく,感じる;（〜と）思う,評価する
穴	tru	抜け穴
隆	tuber	甲状腺結節
巾	tuk	（用途に合わせて切った）布,布切れ
闹	tumult	大騒動の,騒然とした,騒がしい
隧	tunel	道路トンネル
塔	tur	傾いた塔
浊	turbid	Mara au^ laga detrito, suspensie transportata (-ita) de desu
碧	turkis	トルコ玉の;青緑色の
咳	tus	［自］せきをする,>>terni;せき払いをする
尺	uln	尺骨;腕尺（尺骨の長さに由来する昔の長さの単位、国により約50〜120cm）
脐	umbilik	へその
梅	ume	梅干
一	unu	電気単位,>>ampero,>>farado,>>j^ulo,>>volto,>>vatto
急	urg^	緊急の,火急の,差し迫った,切迫した
缸	urn	骨つぼ
熊	urs	シロクマ（白熊）,=polusa urso
歌	uta	短歌,和歌,>>tankao
篡	uzurp	［他］（領地・権力・地位などを）不当に奪う,簒奪（さんだつ）する,横領する,（称号を）詐称する
厢	vagon	一等車
蜡	vaks	ろう製の,ろうのような
阀	valv	吸い込み弁
颊	vang	ほお;側板
汽	vapor	水蒸気
暖	varm	潜熱
茂	veget	植生の;《転》無為の,無気力な
杠	vekt	てんびん（天秤）
枯	velk	枯れた,しおれた
来	ven	［自］来る,やって来る;到着する,行き着く;達する
卖	vend	売却の,販売の
仇	veng^	報復の,復讐の
胜	venk	決定的な勝利
绿	verd	緑の,緑色の;草木の茂った,青々とした;生の,未成熟の,青い;エスペラントの;環境保護の
浇	vers^	［他］（液体・光を）注ぐ;流す,こぼす
椎	vertebr	椎骨の,脊椎の;脊椎のある
竖	vertikal	鉛直の;（地面に）垂直な,縦の,>>horizontala
劲	verv	熱のこもった,気合の入った,活気あふれた
坎	ves^t	ベスト,チョッキ
晚	vesper	昨夕,昨晩,ゆうべ
衣	vest	（〜aj 〜oj）（軍服や僧服ではない）私服,平服
赌	vet	賭をして;競争で
见	vid	側面図
牺	viktim	いけにえ,>>oferaj^o;《転》犠牲,犠牲者,被害者
村	vilag^	村の,いなか風の
裹	vind	［他］（細長い）布で巻く,おむつでくるむ,包帯を巻く
冬	vintr	初冬
男	vir	雲つくような大男
贞	virg	純潔な,童貞の,処女の;《転》人手に触れたことのない,未開発の;《転》無垢の
脏	viscer	内臓,=internaj^o
葡	vit	ブドウ（葡萄）（属）,=vinberarbo
呼	vok	呼び声の,呼びかけの
拱	volb	アーチ形天井の
狐	vulp	ホッキョクギツネ（北極狐）,=izatiso
禅	zen	禅（ぜん）
姜	zingibr	ショウガの;ショウガ入りの
锌	zink	亜鉛の
嗡	zum	［自］（虫などが）ブンブンいう,（低い振動音で）うなる;［他］ハミングする
