"root","k","band","br","F","st","lat","E","D","P"
"tiel","那样","correl","1","6","16","4","0.25","16","-0.421"
"pri","于","prep","1","160","3","3","1","3","-5.081"
"el","出","prep","1","449","5","2","0.4","5","-5.729"
"po","每","prep","1","25","7","2","0.286","7","-2.644"
"inter","间","prep","1","235","7","5","0.714","7","-4.978"
"tra","穿","prep","1","139","9","3","0.333","9","-4.142"
"per","以","prep","1","55","4","3","0.75","4","-3.85"
"kontraŭ","对","prep","1","163","5","7","1.4","5","-5.02"
"al","向","prep","1","269","6","2","0.333","6","-5.098"
"por","为","prep","1","32","4","3","0.75","4","-3.322"
"ĝis","至","prep","1","30","6","3","0.5","6","-2.984"
"post","后","prep","1","106","6","4","0.667","6","-4.273"
"pro","因","prep","1","17","6","3","0.5","6","-2.44"
"laŭ","按","prep","1","88","9","3","0.333","9","-3.689"
"sen","无","prep","1","689","4","3","0.75","4","-6.362"
"sub","下","prep","1","230","3","3","1","3","-5.442"
"ĉirkaŭ","围","prep","1","71","7","6","0.857","7","-3.834"
"ekster","外","prep","1","78","5","6","1.2","5","-4.229"
"sur","上","prep","1","129","3","3","1","3","-4.868"
"trans","越","prep","1","153","12","5","0.417","12","-3.962"
"ĉe","在","prep","1","22","6","2","0.333","6","-2.635"
"apud","旁","prep","1","13","10","4","0.4","10","-1.759"
"kun","共","prep","1","249","6","3","0.5","6","-5.071"
"malgraŭ","不顾","prep","1","6","14","7","0.5","14","-0.696"
"super","上","prep","1","160","3","5","1.667","3","-5.282"
"de","从","prep","1","417","4","2","0.5","4","-5.785"
"anstataŭ","代","prep","1","12","5","8","1.6","5","-2.545"
"en","内","prep","1","0","4","2","0.5","4","0.25"
"krom","外","prep","1","41","5","4","0.8","5","-3.478"
"da","份","prep","1","15","6","2","0.333","6","-2.272"
"antaŭ","前","prep","1","174","9","5","0.556","9","-4.432"
"dum","期","prep","1","13","12","3","0.25","12","-1.514"
"preter","过","prep","1","38","6","6","1","6","-3.364"
"naŭ","九","num","1","11","2","3","1.5","2","-2.735"
"kvar","四","num","1","75","5","4","0.8","5","-4.071"
"mil","千","num","1","32","3","3","1","3","-3.497"
"cent","百","num","1","45","6","4","0.667","6","-3.429"
"tri","三","num","1","128","3","3","1","3","-4.860"
"ses","六","num","1","35","4","3","0.75","4","-3.409"
"ok","八","num","1","24","2","2","1","2","-3.319"
"du","二","num","1","319","2","2","1","2","-5.868"
"unu","一","num","1","174","1","3","3","1","-5.965"
"dek","十","num","1","65","2","3","1.5","2","-4.44"
"kvin","五","num","1","31","4","4","1","4","-3.366"
"sep","七","num","1","22","2","3","1.5","2","-3.385"
"aĉ","劣","suf","1","59","6","2","0.333","6","-3.594"
"an","员","suf","1","0","7","2","0.286","7","0.614"
"eg","巨","suf","1","269","4","2","0.5","4","-5.348"
"ig","使","suf","1","2032","8","2","0.25","8","-6.892"
"ad","行","suf","1","1555","6","2","0.333","6","-6.85"
"ul","者","suf","1","926","8","2","0.25","8","-6.107"
"ebl","可","suf","1","432","5","3","0.6","5","-5.751"
"obl","倍","suf","1","56","10","3","0.3","10","-3.133"
"log","学家","suf","1","144","18","3","0.167","18","-3.227"
"et","小","suf","1","655","3","2","0.667","3","-6.386"
"em","倾","suf","1","436","10","2","0.2","10","-5.14"
"il","具","suf","1","1276","8","2","0.25","8","-6.427"
"end","须","suf","1","14","9","3","0.333","9","-1.908"
"iĝ","成","suf","1","1513","6","2","0.333","6","-6.822"
"id","子","suf","1","108","3","2","0.667","3","-4.591"
"on","分","suf","1","0","4","2","0.5","4","0.25"
"er","粒","suf","1","87","11","2","0.182","11","-3.432"
"ej","所","suf","1","743","8","2","0.25","8","-5.887"
"uj","器","suf","1","414","16","2","0.125","16","-4.466"
"ar","群","suf","1","501","13","2","0.154","13","-4.965"
"ec","性","suf","1","1190","8","2","0.25","8","-6.358"
"ind","值","suf","1","116","10","3","0.3","10","-3.852"
"ing","座","suf","1","63","10","3","0.3","10","-3.249"
"estr","长","suf","1","90","4","4","1","4","-4.411"
"in","女","suf","1","359","3","2","0.667","3","-5.786"
"aĵ","物","suf","1","1546","8","2","0.25","8","-6.619"
"ist","家","suf","1","1291","10","3","0.3","10","-6.254"
"ism","主义","suf","1","683","8","3","0.375","8","-5.84"
"op","组","suf","1","37","8","2","0.25","8","-2.913"
"fi","卑","pref","1","12","8","2","0.25","8","-1.84"
"ĉef","首","pref","1","93","9","3","0.333","9","-3.743"
"dis","散","pref","1","205","12","3","0.25","12","-4.203"
"pra","原","pref","1","66","10","3","0.3","10","-3.295"
"mis","误","pref","1","79","9","3","0.333","9","-3.582"
"bo","姻","pref","1","20","9","2","0.222","9","-2.211"
"re","再","pref","1","367","6","2","0.333","6","-5.408"
"mal","反","pref","1","1357","4","3","0.75","4","-7.039"
"ek","始","pref","1","147","8","2","0.25","8","-4.272"
"ge","双","pref","1","52","4","2","0.5","4","-3.72"
"eks","旧","pref","1","44","5","3","0.6","5","-3.487"
"april","四月","cal","1","3","9","5","0.556","9","-0.653"
"aŭgust","八月","cal","1","2","6","6","1","6","-0.799"
"oktobr","十月","cal","1","1","6","6","1","6","-0.393"
"vendred","金","cal","1","4","8","7","0.875","8","-1.072"
"januar","一月","cal","1","1","5","6","1.2","5","-0.553"
"mard","火","cal","1","4","4","4","1","4","-1.509"
"dimanĉ","日","cal","1","5","4","6","1.5","4","-1.842"
"novembr","十一月","cal","1","1","7","7","1","7","-0.293"
"decembr","十二月","cal","1","2","8","7","0.875","8","-0.561"
"ĵaŭd","木","cal","1","3","4","4","1","4","-1.286"
"mart","三月","cal","1","3","7","4","0.571","7","-0.858"
"sabat","土","cal","1","5","3","5","1.667","3","-1.992"
"septembr","九月","cal","1","2","6","8","1.333","6","-0.899"
"merkred","水","cal","1","4","4","7","1.75","4","-1.734"
"maj","五月","cal","1","8","8","3","0.375","8","-1.51"
"juli","七月","cal","1","4","6","4","0.667","6","-1.21"
"februar","二月","cal","1","1","6","7","1.167","6","-0.443"
"juni","六月","cal","1","3","8","4","0.5","8","-0.736"
"lund","月","cal","1","3","4","4","1","4","-1.286"
"ajn","任","func","1","0","6","3","0.5","6","0.45"
"almenaŭ","至","func","1","1","6","7","1.167","6","-0.443"
"ambaŭ","两","func","1","13","7","5","0.714","7","-2.153"
"ankaŭ","也","func","1","1","3","5","1.667","3","-0.893"
"ankoraŭ","还","func","1","4","7","7","1","7","-1.209"
"apenaŭ","才","func","1","3","3","6","2","3","-1.686"
"aŭ","或","func","1","4","8","2","0.25","8","-0.884"
"baldaŭ","将","func","1","4","9","6","0.667","9","-0.91"
"ĉar","因","func","1","35","6","3","0.5","6","-3.134"
"ĉu","吗","func","1","3","6","2","0.333","6","-0.886"
"do","故","func","1","2","9","2","0.222","9","-0.265"
"eĉ","连","func","1","2","7","2","0.286","7","-0.484"
"for","离","func","1","200","10","3","0.3","10","-4.393"
"ĝi","它","func","1","4","5","2","0.4","5","-1.229"
"hieraŭ","昨","func","1","6","9","6","0.667","9","-1.246"
"hodiaŭ","今","func","1","5","4","6","1.5","4","-1.842"
"ili","他们","func","1","4","10","3","0.3","10","-0.699"
"ja","确","func","1","1","12","2","0.167","12","0.457"
"jam","已","func","1","5","3","3","1","3","-1.792"
"jen","这","func","1","4","7","3","0.429","7","-1.038"
"jes","对","func","1","7","5","3","0.6","5","-1.759"
"ĵus","刚","func","1","2","6","3","0.5","6","-0.649"
"kaj","和","func","1","41","8","3","0.375","8","-3.05"
"ke","事","func","1","9","8","2","0.25","8","-1.578"
"kvankam","虽","func","1","1","9","7","0.778","9","-0.027"
"kvazaŭ","如","func","1","22","6","6","1","6","-2.835"
"li","他","func","1","7","5","2","0.4","5","-1.699"
"mem","自","func","1","104","6","3","0.5","6","-4.204"
"mi","我","func","1","20","7","2","0.286","7","-2.43"
"morgaŭ","明","func","1","6","8","6","0.75","8","-1.371"
"ne","不","func","1","498","4","2","0.5","4","-5.963"
"nek","也不","func","1","1","7","3","0.429","7","-0.122"
"ni","我们","func","1","9","12","2","0.167","12","-1.153"
"nun","现","func","1","14","8","3","0.375","8","-2.021"
"nur","仅","func","1","4","4","3","0.75","4","-1.434"
"ol","比","func","1","26","4","2","0.5","4","-3.046"
"oni","人","func","1","8","2","3","1.5","2","-2.447"
"plej","最","func","1","34","12","4","0.333","12","-2.455"
"pli","更","func","1","88","7","3","0.429","7","-3.917"
"plu","还","func","1","21","7","3","0.429","7","-2.52"
"preskaŭ","几","func","1","3","2","7","3.5","2","-2.236"
"se","若","func","1","5","8","2","0.25","8","-1.067"
"sed","但","func","1","3","7","3","0.429","7","-0.815"
"si","己","func","1","95","3","2","0.667","3","-4.464"
"ŝi","她","func","1","5","6","2","0.333","6","-1.292"
"tamen","却","func","1","2","7","5","0.714","7","-0.613"
"tre","很","func","1","4","9","3","0.333","9","-0.809"
"tro","太","func","1","57","4","3","0.75","4","-3.885"
"tuj","即","func","1","15","7","3","0.429","7","-2.201"
"vi","你","func","1","13","7","2","0.286","7","-2.025"
"adiaŭ","再见","func","1","5","10","5","0.5","10","-0.942"
"he","喂","func","1","2","12","2","0.167","12","0.051"
"minus","减","func","1","5","11","5","0.455","11","-0.828"
"plus","加","func","1","8","5","4","0.8","5","-1.937"
"bis","再","func","1","4","6","3","0.5","6","-1.159"
"rest","余","basic","0","25","7","4","0.571","7","-2.729"
"afer","事","basic","0","24","8","4","0.5","8","-2.569"
"ali","别","basic","0","62","7","3","0.429","7","-3.572"
"alt","高","basic","0","94","10","3","0.3","10","-3.644"
"am","爱","basic","0","81","10","2","0.2","10","-3.467"
"amik","友","basic","0","40","4","4","1","4","-3.614"
"bel","美","basic","0","61","9","3","0.333","9","-3.327"
"bon","良","basic","0","152","7","3","0.429","7","-4.459"
"ĉambr","室","basic","0","68","9","5","0.556","9","-3.501"
"demand","问","basic","0","26","6","6","1","6","-2.996"
"dev","应","basic","0","39","7","3","0.429","7","-3.118"
"dezir","欲","basic","0","16","11","5","0.455","11","-1.87"
"dir","说","basic","0","44","9","3","0.333","9","-3.007"
"don","给","basic","0","112","9","3","0.333","9","-3.927"
"est","是","basic","0","51","9","3","0.333","9","-3.151"
"facil","易","basic","0","34","8","5","0.625","8","-2.943"
"far","做","basic","0","104","11","3","0.273","11","-3.636"
"feliĉ","幸","basic","0","20","8","5","0.625","8","-2.432"
"fin","终","basic","0","50","8","3","0.375","8","-3.244"
"flank","侧","basic","0","83","8","5","0.625","8","-3.818"
"foj","次","basic","0","39","6","3","0.5","6","-3.239"
"form","形","basic","0","222","7","4","0.571","7","-4.878"
"fort","强","basic","0","121","12","4","0.333","12","-3.704"
"ĝoj","喜","basic","0","25","12","3","0.25","12","-2.133"
"grand","大","basic","0","105","3","5","1.667","3","-4.864"
"grav","重","basic","0","19","9","4","0.444","9","-2.229"
"hav","有","basic","0","78","6","3","0.5","6","-3.919"
"help","助","basic","0","53","7","4","0.571","7","-3.46"
"hom","人","basic","0","90","2","3","1.5","2","-4.761"
"infan","童","basic","0","59","12","5","0.417","12","-3.019"
"ir","往","basic","0","140","8","2","0.25","8","-4.224"
"jar","年","basic","0","117","6","3","0.5","6","-4.321"
"jun","幼","basic","0","41","5","3","0.6","5","-3.418"
"kamp","田","basic","0","66","5","4","0.8","5","-3.945"
"kap","头","basic","0","102","5","3","0.6","5","-4.315"
"kelk","些","basic","0","22","8","4","0.5","8","-2.485"
"klar","清","basic","0","48","11","4","0.364","11","-2.901"
"komenc","始","basic","0","24","8","6","0.75","8","-2.644"
"kompren","解","basic","0","35","13","7","0.538","13","-2.445"
"kon","认","basic","0","44","4","3","0.75","4","-3.632"
"kor","心","basic","0","62","4","3","0.75","4","-3.968"
"kred","信","basic","0","49","9","4","0.444","9","-3.145"
"labor","劳","basic","0","175","7","5","0.714","7","-4.685"
"land","国","basic","0","114","8","4","0.5","8","-4.095"
"last","末","basic","0","25","5","4","0.8","5","-2.998"
"leg","读","basic","0","46","10","3","0.3","10","-2.94"
"lern","学","basic","0","78","8","4","0.5","8","-3.719"
"lev","举","basic","0","44","9","3","0.333","9","-3.007"
"liber","自由","basic","0","93","11","5","0.455","11","-3.58"
"loĝ","住","basic","0","42","7","3","0.429","7","-3.19"
"lok","处","basic","0","77","5","3","0.6","5","-4.037"
"long","长","basic","0","82","4","4","1","4","-4.319"
"man","手","basic","0","82","4","3","0.75","4","-4.244"
"met","置","basic","0","75","13","3","0.231","13","-3.1"
"milit","战","basic","0","92","9","5","0.556","9","-3.799"
"mond","界","basic","0","63","9","4","0.444","9","-3.392"
"montr","示","basic","0","36","5","5","1","5","-3.411"
"mort","死","basic","0","100","6","4","0.667","6","-4.215"
"mov","动","basic","0","100","6","3","0.5","6","-4.165"
"mult","多","basic","0","92","6","4","0.667","6","-4.133"
"naci","族","basic","0","94","11","4","0.364","11","-3.563"
"nom","名","basic","0","80","6","3","0.5","6","-3.944"
"nov","新","basic","0","104","13","3","0.231","13","-3.423"
"okaz","生","basic","0","28","5","4","0.8","5","-3.107"
"parol","话","basic","0","73","8","5","0.625","8","-3.692"
"patr","父","basic","0","61","4","4","1","4","-4.027"
"pet","求","basic","0","39","7","3","0.429","7","-3.118"
"plen","满","basic","0","151","13","4","0.308","13","-3.816"
"port","运","basic","0","70","7","4","0.571","7","-3.734"
"pov","能","basic","0","58","10","3","0.3","10","-3.168"
"pren","拿","basic","0","57","10","4","0.4","10","-3.18"
"proksim","近","basic","0","28","7","7","1","7","-2.967"
"rapid","速","basic","0","75","10","5","0.5","10","-3.481"
"respond","答","basic","0","28","12","7","0.583","12","-2.342"
"riĉ","富","basic","0","69","12","3","0.25","12","-3.123"
"ricev","收","basic","0","23","6","5","0.833","6","-2.828"
"rid","笑","basic","0","31","10","3","0.3","10","-2.556"
"ruĝ","红","basic","0","68","6","3","0.5","6","-3.784"
"ŝajn","像","basic","0","34","13","4","0.308","13","-2.348"
"sam","同","basic","0","86","6","3","0.5","6","-4.016"
"sci","知","basic","0","46","8","3","0.375","8","-3.163"
"sekv","随","basic","0","34","11","4","0.364","11","-2.565"
"send","送","basic","0","41","9","4","0.444","9","-2.971"
"sid","坐","basic","0","52","7","3","0.429","7","-3.399"
"sinjor","君","basic","0","16","7","6","0.857","7","-2.39"
"skrib","书","basic","0","104","4","5","1.25","4","-4.629"
"star","立","basic","0","52","5","4","0.8","5","-3.71"
"tag","日","basic","0","80","4","3","0.75","4","-4.219"
"temp","时","basic","0","113","7","4","0.571","7","-4.207"
"ten","持","basic","0","92","9","3","0.333","9","-3.732"
"ter","地","basic","0","142","6","3","0.5","6","-4.513"
"tut","整","basic","0","37","16","3","0.188","16","-2.094"
"ven","来","basic","0","79","7","3","0.429","7","-3.811"
"vetur","乘","basic","0","72","10","5","0.5","10","-3.44"
"vid","见","basic","0","85","4","3","0.75","4","-4.279"
"vir","男","basic","0","63","7","3","0.429","7","-3.588"
"viv","活","basic","0","147","9","3","0.333","9","-4.197"
"voj","路","basic","0","132","13","3","0.231","13","-3.66"
"vol","愿","basic","0","48","14","3","0.214","14","-2.556"
"vort","词","basic","0","87","7","4","0.571","7","-3.949"
"daŭr","续","basic","0","40","11","4","0.364","11","-2.723"
"kolekt","集","basic","0","40","12","6","0.5","12","-2.664"
"nul","零","basic","0","19","13","3","0.231","13","-1.765"
"aĉet","买","basic","0","26","6","4","0.667","6","-2.896"
"akv","水","basic","0","201","4","3","0.75","4","-5.133"
"arb","树","basic","0","150","9","3","0.333","9","-4.217"
"art","艺","basic","0","81","4","3","0.75","4","-4.232"
"atend","待","basic","0","15","9","5","0.556","9","-2.039"
"aŭd","听","basic","0","29","7","3","0.429","7","-2.83"
"bat","打","basic","0","67","5","3","0.6","5","-3.9"
"bezon","需","basic","0","12","14","5","0.357","14","-1.272"
"bild","画","basic","0","46","8","4","0.5","8","-3.2"
"bird","鸟","basic","0","63","5","4","0.8","5","-3.899"
"blank","白","basic","0","68","5","5","1","5","-4.034"
"brul","燃","basic","0","73","16","4","0.25","16","-2.779"
"buŝ","口","basic","0","33","3","3","1","3","-3.526"
"cert","确","basic","0","18","12","4","0.333","12","-1.844"
"dank","谢","basic","0","25","12","4","0.333","12","-2.158"
"dekstr","右","basic","0","43","5","6","1.2","5","-3.644"
"dolĉ","甘","basic","0","32","5","4","0.8","5","-3.237"
"dom","屋","basic","0","80","9","3","0.333","9","-3.594"
"dorm","睡","basic","0","46","13","4","0.308","13","-2.643"
"edz","夫","basic","0","74","4","3","0.75","4","-4.142"
"fal","落","basic","0","67","12","3","0.25","12","-3.095"
"famili","家","basic","0","24","10","6","0.6","10","-2.399"
"fenestr","窗","basic","0","35","12","7","0.583","12","-2.558"
"ferm","闭","basic","0","56","6","4","0.667","6","-3.643"
"fil","儿","basic","0","44","2","3","1.5","2","-4.057"
"fingr","指","basic","0","35","9","5","0.556","9","-2.85"
"flug","飞","basic","0","71","3","4","1.333","3","-4.377"
"frat","兄","basic","0","30","5","4","0.8","5","-3.174"
"fraŭl","单","basic","0","8","8","5","0.625","8","-1.585"
"frukt","果","basic","0","65","8","5","0.625","8","-3.577"
"har","毛","basic","0","82","4","3","0.75","4","-4.244"
"hejm","家","basic","0","42","10","4","0.4","10","-2.881"
"hor","钟","basic","0","41","9","3","0.333","9","-2.938"
"interes","趣","basic","0","22","15","7","0.467","15","-1.776"
"ĵet","投","basic","0","67","7","3","0.429","7","-3.648"
"kant","唱","basic","0","49","11","4","0.364","11","-2.921"
"knab","郎","basic","0","16","8","4","0.5","8","-2.183"
"kolor","色","basic","0","106","6","5","0.833","6","-4.323"
"konsil","议","basic","0","27","5","6","1.2","5","-3.192"
"konstru","建","basic","0","51","8","7","0.875","8","-3.414"
"kost","费","basic","0","21","9","4","0.444","9","-2.324"
"kresk","育","basic","0","43","8","5","0.625","8","-3.172"
"kri","叫","basic","0","32","5","3","0.6","5","-3.177"
"kuraĝ","勇","basic","0","19","9","5","0.556","9","-2.263"
"kur","跑","basic","0","63","12","3","0.25","12","-3.034"
"las","留","basic","0","56","10","3","0.3","10","-3.133"
"leter","信","basic","0","45","9","5","0.556","9","-3.095"
"libr","书","basic","0","93","4","4","1","4","-4.443"
"lingv","语","basic","0","188","9","5","0.556","9","-4.509"
"lit","床","basic","0","68","7","3","0.429","7","-3.663"
"lum","光","basic","0","135","6","3","0.5","6","-4.463"
"manĝ","食","basic","0","86","9","4","0.444","9","-3.699"
"mank","缺","basic","0","29","10","4","0.4","10","-2.521"
"mar","海","basic","0","167","10","3","0.3","10","-4.214"
"maten","晨","basic","0","23","11","5","0.455","11","-2.215"
"memor","记","basic","0","51","5","5","1","5","-3.751"
"mir","惊","basic","0","18","11","3","0.273","11","-1.926"
"mon","钱","basic","0","78","10","3","0.3","10","-3.459"
"mont","山","basic","0","67","3","4","1.333","3","-4.319"
"mur","壁","basic","0","39","16","3","0.188","16","-2.145"
"nask","生","basic","0","68","5","4","0.8","5","-3.974"
"neces","必","basic","0","18","5","5","1","5","-2.744"
"nigr","黑","basic","0","60","12","4","0.333","12","-3.011"
"okul","目","basic","0","67","5","4","0.8","5","-3.96"
"okup","占","basic","0","17","5","4","0.8","5","-2.63"
"pac","和","basic","0","47","8","3","0.375","8","-3.184"
"pag","付","basic","0","69","5","3","0.6","5","-3.928"
"part","部","basic","0","49","10","4","0.4","10","-3.032"
"pas","过","basic","0","54","6","3","0.5","6","-3.557"
"pec","片","basic","0","35","4","3","0.75","4","-3.409"
"pens","思","basic","0","49","9","4","0.444","9","-3.145"
"perd","失","basic","0","21","5","4","0.8","5","-2.831"
"permes","许","basic","0","21","6","6","1","6","-2.791"
"person","人","basic","0","30","2","6","3","2","-4.134"
"pied","足","basic","0","81","7","4","0.571","7","-3.878"
"popol","民","basic","0","38","5","5","1","5","-3.464"
"pord","门","basic","0","37","3","4","1.333","3","-3.737"
"prem","压","basic","0","102","6","4","0.667","6","-4.235"
"prezent","呈","basic","0","27","7","7","1","7","-2.932"
"propr","己","basic","0","32","3","5","1.667","3","-3.697"
"prov","试","basic","0","42","8","4","0.5","8","-3.111"
"punkt","点","basic","0","69","9","5","0.556","9","-3.515"
"pur","纯","basic","0","48","7","3","0.429","7","-3.321"
"rajt","权","basic","0","62","6","4","0.667","6","-3.743"
"rakont","述","basic","0","15","8","6","0.75","8","-2.198"
"reg","治","basic","0","55","8","3","0.375","8","-3.338"
"renkont","遇","basic","0","10","12","7","0.583","12","-1.373"
"rigard","看","basic","0","44","9","6","0.667","9","-3.107"
"rimark","觉","basic","0","11","9","6","0.667","9","-1.785"
"ŝanĝ","变","basic","0","62","8","4","0.5","8","-3.493"
"semajn","周","basic","0","25","8","6","0.75","8","-2.683"
"sent","感","basic","0","52","13","4","0.308","13","-2.763"
"serĉ","寻","basic","0","22","6","4","0.667","6","-2.736"
"simpl","简","basic","0","21","13","5","0.385","13","-1.907"
"sol","唯","basic","0","29","11","3","0.273","11","-2.383"
"son","声","basic","0","95","7","3","0.429","7","-3.993"
"sun","阳","basic","0","63","6","3","0.5","6","-3.709"
"tabl","桌","basic","0","45","10","4","0.4","10","-2.949"
"tim","怕","basic","0","44","8","3","0.375","8","-3.119"
"tir","拉","basic","0","75","8","3","0.375","8","-3.643"
"trankvil","静","basic","0","18","14","8","0.571","14","-1.716"
"trink","饮","basic","0","26","7","5","0.714","7","-2.81"
"turn","转","basic","0","62","8","4","0.5","8","-3.493"
"urb","市","basic","0","72","5","3","0.6","5","-3.97"
"uz","用","basic","0","54","5","2","0.4","5","-3.627"
"valor","值","basic","0","58","10","5","0.5","10","-3.228"
"varm","暖","basic","0","136","13","4","0.308","13","-3.712"
"vent","风","basic","0","81","4","4","1","4","-4.307"
"ver","真","basic","0","34","10","3","0.3","10","-2.645"
"vesper","晚","basic","0","28","11","6","0.545","11","-2.431"
"vest","衣","basic","0","70","6","4","0.667","6","-3.863"
"vizaĝ","颜","basic","0","16","15","5","0.333","15","-1.433"
"vojaĝ","旅","basic","0","42","10","5","0.5","10","-2.911"
"fru","早","basic","0","48","6","3","0.5","6","-3.442"
"aer","气","basic","0","95","4","3","0.75","4","-4.389"
"aĝ","岁","basic","0","41","6","2","0.333","6","-3.238"
"agrabl","快","basic","0","10","7","6","0.857","7","-1.955"
"akcept","受","basic","0","14","8","6","0.75","8","-2.133"
"amas","堆","basic","0","44","11","4","0.364","11","-2.816"
"aper","现","basic","0","19","8","4","0.5","8","-2.346"
"atent","注","basic","0","16","8","5","0.625","8","-2.221"
"aŭskult","听","basic","0","12","7","7","1","7","-2.165"
"aŭtun","秋","basic","0","12","9","5","0.556","9","-1.832"
"best","兽","basic","0","49","11","4","0.364","11","-2.921"
"blu","蓝","basic","0","41","13","3","0.231","13","-2.507"
"bril","亮","basic","0","30","9","4","0.444","9","-2.667"
"cel","标","basic","0","45","9","3","0.333","9","-3.029"
"dent","齿","basic","0","95","8","4","0.5","8","-3.914"
"dik","厚","basic","0","39","9","3","0.333","9","-2.889"
"direkt","方","basic","0","34","4","6","1.5","4","-3.605"
"divers","杂","basic","0","24","6","6","1","6","-2.919"
"dolor","痛","basic","0","42","12","5","0.417","12","-2.686"
"dub","疑","basic","0","23","14","3","0.214","14","-1.842"
"elekt","选","basic","0","39","9","5","0.556","9","-2.956"
"erar","错","basic","0","32","13","4","0.308","13","-2.289"
"esper","望","basic","0","28","11","5","0.455","11","-2.404"
"fiŝ","鱼","basic","0","83","8","3","0.375","8","-3.743"
"flor","花","basic","0","87","7","4","0.571","7","-3.949"
"forges","忘","basic","0","13","7","6","0.857","7","-2.196"
"fremd","异","basic","0","19","6","5","0.833","6","-2.646"
"gaj","欢","basic","0","27","6","3","0.5","6","-2.882"
"ĝarden","园","basic","0","39","7","6","0.857","7","-3.246"
"gazet","报","basic","0","30","7","5","0.714","7","-2.948"
"glas","杯","basic","0","15","8","4","0.5","8","-2.123"
"ĝust","正","basic","0","21","5","4","0.8","5","-2.831"
"histori","史","basic","0","32","5","7","1.4","5","-3.417"
"hund","犬","basic","0","60","4","4","1","4","-4.011"
"ide","意","basic","0","31","13","3","0.231","13","-2.235"
"kalkul","算","basic","0","48","14","6","0.429","14","-2.621"
"kapt","捕","basic","0","42","10","4","0.4","10","-2.881"
"kar","亲","basic","0","16","9","3","0.333","9","-2.033"
"kaŝ","藏","basic","0","50","17","3","0.176","17","-2.285"
"kat","猫","basic","0","27","11","3","0.273","11","-2.314"
"kaŭz","因","basic","0","18","6","4","0.667","6","-2.545"
"koler","怒","basic","0","18","9","5","0.556","9","-2.211"
"komerc","商","basic","0","48","11","6","0.545","11","-2.955"
"komun","共","basic","0","53","6","5","0.833","6","-3.639"
"konduk","导","basic","0","35","6","6","1","6","-3.284"
"konsent","赞","basic","0","24","16","7","0.438","16","-1.75"
"kontent","满","basic","0","18","13","7","0.538","13","-1.806"
"korp","体","basic","0","44","7","4","0.571","7","-3.278"
"kovr","盖","basic","0","51","11","4","0.364","11","-2.96"
"kuir","烹","basic","0","41","11","4","0.364","11","-2.747"
"kuŝ","躺","basic","0","24","15","3","0.2","15","-1.779"
"lac","疲","basic","0","16","10","3","0.3","10","-1.923"
