版	区分	層	行	見出し	描画	別解析の復号
学習者版	S1迂回	PIV	L51986	mez/enter/o	中/肠ᴱ/o	mesentero
学習者版	S1迂回	PIV	L51986	mez/enter/o	中/肠ᴱ/o	mesoentero
学習者版	S1迂回	PIV	L58123	plen/du/t/o	满/二/t/o	plendito
学習者版	S1迂回	PIV	L60156	en/osmoz/o	内/渗/o	endosmozo
学習者版	S1迂回	PIV	L60436	du/ploid/a	二/倍ᴾ/a	diploida
学習者版	S1迂回	PIV	L62175	po/o	草/o	herbo
学術版	S2adj	PEJVO	L258	adiau^/i	再见/i	revidi
学術版	S2adj	PEJVO	L259	adiau^/o	再见/o	revido
学術版	S2adj	PEJVO	L449	aer/tub/o	气/管/o	trakeo
学術版	S2adj	PEJVO	L815	akromat/a	无色/a	senkolora
学術版	S2adj	PEJVO	L862	log^/ej/o	住/所/o	domicilo
学術版	S2adj	PEJVO	L1181	aline/o	换行/o	komutado
学術版	S2adj	PEJVO	L1359	alternator/o	替具/o	alternilo
学術版	S2adj	PEJVO	L1587	amorf/a	无形/a	senforma
学術版	S2adj	PEJVO	L1616	amplifikator/o	扩具/o	amplifilo
学術版	S2adj	PEJVO	L1947	antau^/parol/o	前/话/o	prologo
学術版	S2adj	PEJVO	L2572	asket/o	苦行/o	suferado
学術版	S2adj	PEJVO	L2650	atas^e/o	随员/o	sekvano
学術版	S2adj	PEJVO	L5343	c^ef/mast/o	首/柱/o	steveno
学術版	S2adj	CSV2890	L5490	c^ia	全a	integra
学術版	S2adj	CSV2890	L5506	c^io	全o	integro
学術版	S2adj	CSV2890	L5702	c^iu	全u	integru
学術版	S2adj	PEJVO	L5715	c^iu/j	全u/j	integruj
学術版	S2adj	PEJVO	L7428	domicil/o	住所/o	log^ejo
学術版	S2adj	PEJVO	L7431	dominant/o	治在/o	reganto
学術版	S2adj	PEJVO	L7765	du/kolor/a	二/色/a	dikroa
学術版	S2adj	PEJVO	L7820	du/obl/a	二/倍/a	diploida
学術版	S2adj	PEJVO	L8602	ekstrem/ism/o	极/主义/o	paroksismo
学術版	S2adj	PEJVO	L9427	endosmoz/o	内渗/o	enosmozo
学術版	S2adj	PEJVO	L9752	epilog/o	后话/o	postparolo
学術版	S2adj	PEJVO	L10365	falc^/il/o	收割/具/o	falc^atoro
学術版	S2adj	PEJVO	L11968	frak/ul/o	燕尾/者/o	hirundvostulo
学術版	S2adj	PEJVO	L13067	glit/s^ton/o	滑/石/o	talko
学術版	S2adj	PEJVO	L14430	hipotenuz/o	斜边/o	klinrando
学術版	S2adj	CSV2890	L15591	integr/a	全/a	c^ia
学術版	S2adj	PEJVO	L15841	interpunkci/o	标点/o	celpunkto
学術版	S2adj	PEJVO	L17158	kap/tuk/o	头/巾/o	turbano
学術版	S2adj	CSV2890	L18038	klimat/iz/i	气候/化/i	aklimatizi
学術版	S2adj	PEJVO	L18046	klin/angul/o	斜/角/o	skaleno
学術版	S2adj	PEJVO	L18071	klin/rand/o	斜/边/o	hipotenuzo
学術版	S2adj	PEJVO	L18355	kol/har/oj	颈/毛/oj	krinoj
学術版	S2adj	PEJVO	L18624	kompensator/o	补具/o	flikilo
学術版	S2adj	PEJVO	L18824	komut/ad/o	换/行/o	alineo
学術版	S2adj	PEJVO	L19073	du/obl/aj	二/倍/aj	diploidaj
学術版	S2adj	PEJVO	L19603	konvekt/o	对流/o	kontrau^fluo
学術版	S2adj	PEJVO	L21707	lavend/o	香草/o	spicherbo
学術版	S2adj	PEJVO	L21948	lev/il/o	举/具/o	levatoro
学術版	S2adj	PEJVO	L23370	reg/ant/o	治/在/o	dominanto
学術版	S2adj	PEJVO	L24261	manipulator/o	操具/o	operaciilo
学術版	S2adj	PEJVO	L25612	min/sal/o	矿/盐/o	borato
学術版	S2adj	PEJVO	L26370	mult/angul/a	多/角/a	poligona
学術版	S2adj	PEJVO	L26371	mult/angul/o	多/角/o	poligono
学術版	S2adj	PEJVO	L26408	mult/kolor/a	多/色/a	pleokroa
学術版	S2adj	PEJVO	L26409	mult/kolor/ec/o	多/色/性/o	pleokroeco
学術版	S2adj	PEJVO	L26418	mult/obl/a	多/倍/a	poliploida
学術版	S2adj	PEJVO	L26557	muzik/ist/o	乐/家/o	optimisto
学術版	S2adj	PEJVO	L27198	ne/long/a	不/长/a	nelga
学術版	S2adj	CSV2890	L27235	nenio	无o	seno
学術版	S2adj	CSV2890	L27239	neniu	无u	senu
学術版	S2adj	PEJVO	L27975	numerator/o	号具/o	numerilo
学術版	S2adj	PEJVO	L27978	numer/il/o	号/具/o	numeratoro
学術版	S2adj	PEJVO	L28257	ok/on/o	八/分/o	oktanto
学術版	S2adj	PEJVO	L28278	oktant/o	八分/o	okono
学術版	S2adj	PEJVO	L28493	operaci/il/o	操/具/o	manipulatoro
学術版	S2adj	PEJVO	L28555	optimist/o	乐家/o	muzikisto
学術版	S2adj	PEJVO	L28710	orientalist/o	东家/o	orientisto
学術版	S2adj	PEJVO	L28727	orient/ist/o	东/家/o	orientalisto
学術版	S2adj	PEJVO	L28979	paf/il/o	射/具/o	projekciatoro
学術版	S2adj	PEJVO	L29426	paroksism/o	极主义/o	ekstremismo
学術版	S2adj	PEJVO	L29687	pavez/o	船壁/o	s^ipmuro
学術版	S2adj	PEJVO	L31058	poligon/o	多角/o	multangulo
学術版	S2adj	PEJVO	L31371	steven/o	首柱/o	c^efmasto
学術版	S2adj	PEJVO	L31426	post/parol/o	后/话/o	epilogo
学術版	S2adj	PEJVO	L32285	prolog/o	前话/o	antau^parolo
学術版	S2adj	PEJVO	L32434	protozo/oj	原兽/oj	prabestoj
学術版	S2adj	PEJVO	L32741	punkci/i	穿刺/i	trapiki
学術版	S2adj	PEJVO	L32853	rabot/il/o	刨/具/o	rabotatoro
学術版	S2adj	PEJVO	L33187	reakci/ig/i	反应/使/i	maldevigi
