sargas	{Ｏ}【植】ホンダワラ属（の海藻）
kriptogram	【植】【PIV】G. (Genro) (Cryptogramma el adiantacoj), alpa k boreala, de 2 sp-oj (specioj) de filikoj.
kritm	【植】【PIV】G. (Genro) (Crithmum el apiacoj) de nur unu sp. (C. maritimum) de plurjara herbo salgusta, senhara, kun karnaj, 2−3-oble plume dividaj folioj; hejma sur
krizop	【動】【PIV】G. (Genro) (Chrysopa) de afidovoraj insektoj el la ordo de neu^ropteroj, kun verda korpo, diafanaj verdvejnaj flugiloj k perloformaj okuloj.
krotalari	【植】【PIV】G. (Genro) (Crotalaria el fabacoj) de plantoj - unu-k plur-jaraj herboj k arbustoj - kun simplaj au^ mane kunmetaj folioj k kun pufaj gus^oj; tropika k 
kroton	【植】【PIV】G. (Genro) (Croton, el eu^forbiacoj), tropika k subtropika, de c^. (c^irkau^) 750 sp-oj (specioj) de plurjaraj, tre odoraj herboj k arbustoj, kelkaj uza
krozofor	【植】【PIV】G. (Genro) (Chrozophora el eu^forbiacoj) de 6−12 sp-oj (specioj) de herboj k tufarbustoj, hejmaj en la Mediteranea regiono k de tropika Afriko g^is Tajl
ksanti	【植】【PIV】G. (Genro) (Xanthium el asteracoj) kosmopolita de 3−8 sp-oj (specioj) de monoikaj, unujaraj herboj, kies duopaj fruktoj portas apeksajn pintojn po du k 
ksantosom	【植】【PIV】G. (Genro) (Xanthosoma el arumacoj) de plurjaraj herboj kun dika au^ tubera, laktosukohava rizomo k kun grandaj ornamaj folioj; 57 sp-oj (specioj) el tr
ksestobi	【動】【PIV】G. (Genro) (Xestobium) de insektoj el la fam. (familio) de anobiedoj, ordo de koleopteroj, borantaj en morta ligno; plej konata sp.: X. rufovillosum, lo
ksilem	【植】【PIV】Histaro, parto de la konduka aparato de la vaskulplantoj, kiu transportas la alsupran sevon k konsistas el tri histoj, parenkima, fibra k konduka, tiu c
ksiloste	【植】【PIV】Sp. (Specio) de lonicero (Lonicera xylosteum), stara tufarbusto el Eu^ropo k Azio. Vd kaprifolio.
kubeb	【植】【PIV】Sp. (Specio) de pipero (Piper cubeba) el Indonezio, grimpa arbusto kun beroj pedunklaj, medicine uzataj.
kukumis	【植】【PIV】G. (Genro) (Cucumis el kukurbacoj) de unu-k plur-jaraj herboj, monoikaj au^ dioikaj, volvegrimpaj, kun karnaj fruktoj (beroj au^ peponedoj) glob-, ovo-a
kumar	【植】【PIV】Malnova nomo (Coumarouna) de la g. (genro) dipteriko, kies plej konata sp. estas tonko.
kuruk	【動】【PIV】Sp. (Specio) de silvio (Sylvia curruca), kun helgriza kapo, malhela vango k blanka gorg^o.
kus	【植】【PIV】1 Sp. (Specio) (Hagenia abyssinica, el rozacoj) de E-Afrika, monoika arbo aspektanta kiel sorbuso, medicine uzata. 2 Antivermaj^o, devenanta el la inaj 
kuskut	【植】【PIV】G. (Genro) (Cuscuta el konvolvulacoj) de unujaraj, parazitaj herboj senradikaj k senfoliaj, kies maldikaj, fadenformaj, senklorofilaj tigoj sin volvas c
kutikl	【植】【動】【PIV】S^irma tegaj^o sur la ekstera flanko de la epidermaj c^eloj, sekreciata de ili k ekzistanta c^e la vaskulplantoj k multaj senvertebruloj: la kutiklo 
kutin	【植】【化】【PIV】Substanco de la kutiklo de plantoj, kemie tre rezista.
kvasi	【植】【PIV】G. (Genro) (Quassia el simarubacoj) de 40 sp-oj (specioj) de tropikaj arboj.
kvecal	【動】【PIV】Sp. (Specio) de birdo (Pharomachrus mocinno) el la ordo de trogonoformaj, kun longa vosto, belkolora plumaro, vivanta en C Ameriko; sankta birdo de la a
label	【植】【PIV】Malsupra (disvolvig^e supra) meza petalo de la floro de la orkidacoj, lau^forme tre diferenca de la du aliaj petaloj k ofte ornama.
labrusk	【植】【PIV】Sp. (Specio) de vito (Vitis labrusca) el NE Usono, kultivata por beroj sukeraj au^ acidaj.
laburn	【植】【PIV】G. (Genro) (Laburnum el fabacoj) de falfoliaj, venenaj trunkarbustoj k arbetoj kun trifolieraj folioj k kun flavaj floroj en longaj, maturstadie pendaj 
lagop	【動】【PIV】G. (Genro) (Lagopus) de birdoj el la ordo de galinoformaj, fam. (familio) de tetraonedoj, kun plumkovritaj piedfingroj k tre bongusta viando. = lagopod/
lagostom	【動】【PIV】Mamulo (unuspecia g. (genro) Lagostomus maximus) el la ordo de rong^uloj, tre ofta en Argentina kamparo, granda kiel leporo, sed pli dika k kun malgrand
lagotrik	【動】【PIV】G. (Genro) (Lagothrix) de S-Amerikaj mamuloj el la subordo de simioj, fam. (familio) de cebedoj, kun granda ventro k tre densa k mola hararo.
lakari	【植】【PIV】G. (Genro) (Laccaria el trikolomacoj) de ombrelfungoj sen ringo k sen stipingo, kun dikaj k/au^ bone inter-apartaj lamenoj k kun blanka sporaro; kosmopo
laktari	【植】【PIV】G. (Genro) (Lactarius el rusulacoj) de ombrelfungoj kun lamenohava bazidiujo sen ringo k sen stipingo, enhavanta blankan, flavan, orang^an au^ rug^an la
lakun	【植】【解】【PIV】1 (lacuna) Malplenaj^o, mankoloko en histo. 2 Truo en teksto, ekz. (ekzemple) en Mezepoka manuskripto.
lamn	【動】【PIV】G. (Genro) (Lamna) de mang^eblaj s^arkoj el N Atlantiko k N Pacifiko, povantaj atingi longon de 6 m, kun kilo supre k malsupre de la vosto. Vd skvalo.
lampetr	【動】【PIV】G. (Genro) (Lampetra) de senmakzeluloj parencaj al petromizo, iuj vivantaj parte en maro parte en riveroj, aliaj nur en rivero.
lani	【動】【PIV】G. (Genro) (Lanius) de birdoj el la ordo de paseroformaj, kun forta beko, kun tranc^o en la supra duonbeko post la pinto; kolektas insektojn kc (kaj cet
lapsan	【植】【PIV】G. (Genro) (Lapsana el asteracoj) de unujaraj, laktosukohavaj herboj kun flavaj, malmultfloraj langetfloraj kapituloj; c^. (c^irkau^) 9 sp-oj (specioj) 
larici	【植】【PIV】Subsp. de la nigra pino (Pinus nigra subsp. laricio), alta, stara, rektatrunka arbo kun s^elo unue bruna, poste griza; origina el Korsiko, ofte forstuma
lateks	【植】【PIV】Laktosuko: lateksoc^elo, lateksotubo (c^elo au^ c^elvico, enhavanta latekson; Sin. (sinonimo) laktosuk-c^elo, -tubo).
latimeri	【動】【PIV】La sola nun vivanta fis^o (Latimeria chalumnae) el la ordo de krosopterigoj, 1,5 m longa, blugriza, kun blankaj makuloj, nomata ankau^ «la blua fis^o», 
latre	【植】【PIV】G. (Genro) (Lathraea el skrofulariacoj) de senklorofilaj herboj, parazitantaj la radikojn de diversaspeciaj arboj; 7 sp-oj (specioj) el Eu^ropo k Azio.
lavandul	【植】【PIV】Lavendo.
lavsoni	【植】【PIV】G. (Genro) (Lawsonia el litrumacoj) de nur unu sp. (L. inermis), trunkarbusto hejma en N Afriko k la tropika Malnova Mondo, kultivata por ornamaj apeksa
lecide	【植】【PIV】G. (Genro) (Lecidea el lecideacoj) kosmopolita de c^. (c^irkau^) 400 sp-oj (specioj) de krustecaj likenoj, kies nigraj apotecioj (lecideecaj apotecioj) 
lecitid	【植】【PIV】G. (Genro) (Lecythis el lecitidacoj) de dau^rafoliaj arboj kun 6-nombraj floroj en grapoloj k kun lignecaj, globaj au^ kupulformaj, grandaj fruktoj dehi
leguzi	【植】【PIV】G. (Genro) (Legousia, sin. (sinonimo (de latinscienca nomo)) Specularia, el kampanulacoj) de unujaraj herboj kun grapoloj au^ korimboj el violaj, maloft
lejs^mani	【動】【PIV】G. (Genro) (Leishmania) de parazitaj protozooj el la klaso de flageluloj, transdonataj precipe de flebotomoj, kau^zantaj diversajn malsanojn nomatajn le
lekanor	【植】【PIV】G. (Genro) (Lecanora el lekanoracoj) kosmopolita de c^. (c^irkau^) 300 sp-oj (specioj) de krustecaj likenoj, kies apotecioj (lekanorecaj) havas randaj^o
lemn	【植】【PIV】G. (Genro) (Lemna el lemnacoj) de tre malgrandaj flosantaj plantoj, kies foliojn k tigojn anstatau^as folisimila organo, kiu malsupraflanke portas radik
lenticel	【植】【PIV】Interrompo, g^enerale lent-au^ veruk-forma, en la s^elo de lignaj plantoj; g^i konsistas el maldensa c^elaro k rolas en la gasaj inters^ang^oj.
lentisk	【植】【PIV】Sp. (Specio) de pistacio (Pistacia lentiscus), dau^rafolia trunkarbusto au^ arbeto kun pare plume kunmetaj, ledecaj folioj, kun rug^etaj floroj en spikf
leontodon	【植】【PIV】G. (Genro) (Leontodon el asteracoj) de plurjaraj laktosukohavaj herboj kun baza rozeto el pli-malpli entranc^aj folioj, kun senfolia, senbranc^a pedunkl
lepad	【動】【PIV】G. (Genro) (Lepas) de krustacoj el la subklaso de ciripedoj, similaj al la balanoj, sed per pli-malpli longa tigo fiksig^intaj al roko, boato ks (kaj si
lepidi	【植】【PIV】G. (Genro) (Lepidium el brasikacoj) de plantoj - unu-k plur-jaraj herboj k kelkaj arbustetoj - kun plata, ronda, elipsoida au^ triangula silikvo 2-sema;
lepiot	【植】【PIV】1 (ss (striktasence)) G. (Genro) (Lepiota el agarikacoj) de lamenohavaj ombrelfungoj kun ringo, sen stipingo; tre disvastig^inta g. (genro) de c^. (c^ir
lepist	【植】【PIV】G. (Genro) (Lepista el trikolomacoj) de lamenohavaj ombrelfungoj sen stipingo k sen ringo, iuj aspektantaj kiel klitociboj, aliaj kiel trikolomoj; kosmo
lept	【動】【PIV】1 Larvo (Leptus) de sp. de akaro (Trombicula autumnalis) el la fam. (familio) trombidiedoj, parazitanta sur homoj k vertebruloj k kies pikoj estigas for
leptinotars	【動】【PIV】Insekto (unuspecia g. (genro) Leptinotarsa decemlineata) el la ordo de koleopteroj, flaveta, kun nigraj, lau^longaj strioj, origina el C Ameriko, invadi
leptocefal	【動】【PIV】(Leptocephalus) Larvo de angilo, 25−70 cm (centimetro) longa, vivanta en maro dum tri jaroj.
leu^cisk	【動】【PIV】G. (Genro) (Leuciscus) de fis^oj el la ordo de ciprinoformaj, fam. (familio) de ciprinedoj, kun skvamoj, sen mentonaj hau^tfadenoj, vivantaj en nesala a
leu^kant	【植】【PIV】G. (Genro) (Leucanthemum el asteracoj), parenca al krizantemo, de plurjaraj herboj, kies radiaj kapituloj konsistas el flava disko k blanka krono; c^. (
leu^koj	【植】【PIV】G. (Genro) (Leucojum el amarilidacoj), parenca al galanto, de plurjaraj herboj kun tunika bulbo, kun elbazaj folioj k kun 1−7-opaj blankaj floroj, kies 
levistik	【植】【PIV】G. (Genro) (Levisticum el apiacoj) de nur unu sp. (L. officinale), plurjara herbo tre aroma, kun 2−3-foje plume dividaj, senharaj folioj k kun malgranda
licen	【動】【PIV】G. (Genro) (Lycaena k parencaj g-oj (genroj)) de ne grandaj tagpapilioj kun flugiloj bluaj, rug^aj, kuprokoloraj k/au^ brunaj.
lige	【植】【PIV】G. (Genro) (Lygeum el poacoj) de nur unu sp. (L. spartum), mediteranea, kun rampa rizomo k rigidaj, volvig^emaj, junkoformaj folioj uzataj en espartado.
ligul	【植】【PIV】1 Membraneca elkreskaj^o de la folioj de unukotiledonoj, precipe de la poacoj k ciperacoj, kiu trovig^as c^e la limo inter la limbo k la foliingo. 2 = l
lig^e	【動】【PIV】G. (Genro) (Lygaeus) de insektoj el la ordo de hemipteroj, subordo de heteropteroj, nigraj k rug^aj, sin nutrantaj per plantoj k afidoj.
likoperd	【植】【PIV】G. (Genro) (Lycoperdon el likoperdacoj el gasteromicetoj) de fungoj kun glob-, klab-au^ pir-formaj bazidiujoj, kiuj junstadie estas interne blankaj, kar
likopersik	【植】【PIV】G. (Genro) (Lycopersicon el solanacoj) de unu-k plur-jaraj herboj kun nepare plume kunmetaj folioj k kun fruktoj (beroj) karnaj, de verdetaj g^is rug^aj
likvidambar	【植】【PIV】G. (Genro) (Liquidambar el hamamelidacoj) de monoikaj, falfoliaj arboj el la Mediteranea regiono, E Azio k N k C Ameriko; 5 sp-oj (specioj), du kultivat
limne	【動】【PIV】G. (Genro) (Lymnea, sin. (sinonimo (de latinscienca nomo)) Limnaea) de nesalakvaj gastropodoj kun konusa, korneca konko.
limoni	【植】【PIV】G. (Genro) (Limonium, sin. (sinonimo (de latinscienca nomo)) Statice, el plumbagacoj) de plantoj - unu-k plur-jaraj herboj k arbustetoj - kun folioj par
limoz	【動】【PIV】G. (Genro) (Limosa) de birdoj el la ordo de karadriformaj, fam. (familio) de skolopedoj, kun tre longa, suprenkurba beko k longaj pintaj flugiloj.
linari	【植】【PIV】1 (ss (striktasence)) G. (Genro) (Linaria el skrofulariacoj) de unu-k plur-jaraj herboj kun mallarg^aj folioj k kun longaspronaj, diverskoloraj floroj u
liriodendr	【植】【PIV】G. (Genro) (Liriodendron el magnoliacoj) de falfoliaj arboj kun 2−4-lobaj, apekse detranc^aj folioj k kun 3-sepalaj, 6-8-petalaj floroj iom tulipoformaj
litops	【植】【PIV】G. (Genro) (Lithops el aizoacoj) de plurjaraj, sukulentaj preskau^ sen-tigaj plantoj kun grupo de folioj dau^raj, duopaj, mallongaj, dikaj, obkonusaj; c
litorn	【動】【PIV】Granda sp. de turdo (Turdus pilaris) kun grizaj verto, kapo k postdorso. Sin. (sinonimo) griza turdo.
litosperm	【植】【PIV】1 (ss (striktasence)) G. (Genro) (Lithospermum el boragacoj) de c^. (c^irkau^) 45 sp-oj (specioj) de unu-k plur-jaraj herboj el la mezvarmaj regionoj. 2
litrum	【植】【PIV】G. (Genro) (Lythrum el litrumacoj) de unu-k plur-jaraj herboj - iuj malsupraparte lignecaj - kun purpuraj, rozaj au^ blankaj periginaj floroj en vertici
ljam	【動】【PIV】Lamo.
lobari	【植】【PIV】G. (Genro) (Lobaria el lobariacoj) kosmopolita de 60 sp-oj (specioj) de grandaj foliecaj askolikenoj.
logani	【植】【PIV】G. (Genro) (Logania el loganiacoj) de c^. (c^irkau^) 25 sp-oj (specioj) de plurjaraj herboj au^ de tufarbustoj el Au^stralio, Nov-Zelando k Nov-Kaledoni
lokustel	【動】【PIV】G. (Genro) (Locustella) de birdoj el la ordo de paseroformaj, fam. (familio) de silviedoj, kun ronda vosto k kanto simila al tiu de glavsaltulo. Sin. (s
loli	【植】【PIV】G. (Genro) (Lolium el poacoj) de unu-, du-k plur-jaraj herboj kun maldensa spiko el plataj spiketoj unuglumaj (escepte de la apeksa, dugluma), unuope si
longan	【植】【PIV】1 Sp. (Specio) (Dimocarpus longan el sapindacoj) de arbo el Hindio k Srilanko, parenca al rambutano, kultivata – ankau^ en Florido k Kalifornio – por gl
lorant	【植】【PIV】G. (Genro) (Loranthus el lorantacoj) de nur unu sp. (L. europaeus), arbusteto el SE k C Eu^ropo, duonparazita al fagacoj, pli malofte al olivarbo k krat
lori	【動】【PIV】G. (Genro) (Lorius) de birdoj el la ordo de psitakoformaj, vivantaj en Au^stralio k apudaj insuloj, sin nutrantaj per nektaro. Vd keo.
loris	【動】【PIV】G. (Genro) (Loris) de S-Aziaj prasimioj, malrapide movig^antaj, senvostaj, kun mallongaj oreloj. Vd galago, indrio, lemuro, tarsio.
lutreol	【動】【PIV】Sp. (Specio) de mustelo (Mustela lutreola), vivanta c^e au^ en akvo, kun tre valora felo kas^tanbruna; nur la lipoj k mentono estas blankaj; tre parenca
luzul	【植】【PIV】G. (Genro) (Luzula el junkacoj) de plurjaraj herboj g^enerale haraj, kun gramineecaj folioj k kun trinombraj floroj en glomeruloj arig^intaj en spik-au^
macis	【植】【PIV】Arilo de la semo de muskato, uzata kiel spicaj^o k aromaj^o.
madi	【植】【PIV】G. (Genro) (Madia el asteracoj) de staraj herboj kun flavaj kapituloj; 18 sp-oj (specioj) el NU Ameriko k C^ilio.
madrepor	【動】【PIV】G. (Genro) (Madrepora) de seskoraluloj, kies kalksubstanco estas ric^a je tre malgrandaj poroj. Sin. (sinonimo) stelkoralo.
maduk	【植】【PIV】G. (Genro) (Madhuca, sin. (sinonimo (de latinscienca nomo)) Bassia, el sapotacoj) de c^. (c^irkau^) 100 sp-oj (specioj) de laktosukohavaj arboj el Hindi
magot	【動】【PIV】N-Afrika simio el la g. (genro) makako (Macaca sylvanus), la sola sp. de antropoidoj, kiu trovig^as ankau^ en Eu^ropo (en G^ibraltaro). Vd resuso.
makaon	【動】【PIV】Sp. (Specio) de papiliono (Papilio machaon) kun sulfurkoloraj flugiloj kun nigraj makuloj k vejnoj, kun blua rubando k rustkolora makulo sur la postaj f
makeri	【植】【PIV】G. (Genro) (Machaerium el fabacoj) de lianoj k kelkaj arboj, c^i tiuj uzataj por palisandro; c^. (c^irkau^) 120 sp-oj (specioj), precipe el tropika Amer
malus	【植】【PIV】G. (Genro) (Malus el rozacoj) de falfoliaj arboj k arbustoj kun simplaj folioj, kun 5-sepalaj k 5-petalaj, blankaj, rozaj au^ rug^aj floroj k kun frukto
mandril	【動】【PIV】Sp. (Specio) (Papio sphinx) de simio el la subordo de antropoidoj, fam. (familio) de cerkopitekedoj, kun granda, kolorric^a facio, brilkolora postaj^o k
mangifer	【植】【PIV】G. (Genro) (Mangifera el anakardiacoj) de dau^rafoliaj, poligamiaj arboj kun ledecaj folioj, kun malgrandaj floroj en granda paniklo, k kies fruktoj (dr
mangostan	【植】【PIV】Sp. (Specio) de garcinio (Garcinia mangostana) el Malajzio, dau^rafolia arbo kun elipsaj, ledecaj folioj k orang^ograndaj, malhele rug^aj beroj kun inte
mangrov	【植】【PIV】Pli-malpli saleja arbara vegetaj^aro de la tropikaj marbordoj, en kiu plejkovras precipe sp-oj (specioj) de rizoforo, pterokarpo k avicenio.
manihot	【植】【PIV】G. (Genro) (Manihot el eu^forbiacoj) de plurjaraj herboj k arbustoj kun mane 3−7-lobaj folioj k kun senpetalaj floroj en akselaj au^ apeksaj grapoloj au
manilkar	【植】【PIV】G. (Genro) (Manilkara, sin Achras k Sapota, el sapotacoj) de c^. (c^irkau^) 65 sp-oj (specioj) de laktosukohavaj, tropikaj arboj, i.a. (interalie, inter
marant	【植】【PIV】G. (Genro) (Maranta el marantacoj) de plurjaraj herboj kun ofte okulfrape koloraj, ornamaj folioj, diferenca de kalateo pro nur unukamera, unuovola ovar
marasmi	【植】【PIV】G. (Genro) (Marasmius el marasmiacoj) de ombrelfungoj kun lamenohava, malmulte karna bazidiujo, emanta sekig^i sen putri; kosmopolita g. (genro) de c^. 
marmoz	【動】【PIV】G. (Genro) (Marmosa) de malgrandaj mamuloj el la ordo de marsupiuloj, fam. (familio) de didelfedoj, kun longa vosto tre prenpova, k sen vera marsupio, a
martagon	【植】【PIV】Sp. (Specio) de lilio (Lilium martagon) el Eu^ropo k U Azio, kun violete rozaj, purpurmakulaj floroj.
martes	【動】【PIV】1 G. (Genro) (Martes) de mamuloj el la subordo de rabobestoj, fam. (familio) de musteledoj, al kiu apartenas foino, zibelo. 2 Sp. (Specio) de tiu g. (ge
marubi	【植】【PIV】G. (Genro) (Marrubium el lamiacoj) de plurjaraj, malofte unujaraj herboj kun krenelaj, krispaj folioj k kun malgrandaj blankaj au^ rug^etaj floroj en de
matiol	【植】【PIV】G. (Genro) (Matthiola el brasikacoj) de unu-, du-k plur-jaraj herboj kun simplaj folioj k kun grapoloj el ofte violetaj au^ purpuretaj k odoraj floroj; 
matrikari	【植】【PIV】G. (Genro) (Matricaria el asteracoj) de unu-, du-k plur-jaraj herboj kun plume dividaj folioj k kun radiaj kapituloj karakterizataj de blanka krono k de
mazam	【動】【PIV】G. (Genro) (Mazama) de S-Amerikaj mamuloj el la ordo de parhufuloj, fam. (familio) de cervedoj, kun simpla ramuro. Sin. (sinonimo) lancocervo.
megateri	【動】【PIV】G. (Genro) (Megatherium), parenca al bradipo, de gigantaj mamuloj, kiuj vivis dum kvaternaro en Ameriko.
melaleu^k	【植】【PIV】G. (Genro) (Melaleuca el mirtacoj) de arboj k arbustoj kun alternaj au^ kontrau^e duopaj, ledecaj folioj odoraj pro esencoglandoj, k kun floroj en spiko
melo	【動】【PIV】G. (Genro) (Meloe) de koleopteroj kun metalbrilaj, mallongaj, diverg^antaj elitroj, k kiu parencas al kantarido.
melopsitak	【動】【PIV】G. (Genro) (Melopsittacus) de papagetoj el SE Azio k Au^stralio; ofte tenataj hejme en kag^o, precipe la ondeca papageto (M. undulatus).
meniant	【植】【PIV】G. (Genro) (Menyanthes el meniantacoj) de nur unu sp. (M. trifoliata), plurjara herbo kun rampa rizomo, kun longe petiolaj, trifolieraj folioj k kun gra
menisperm	【植】【PIV】G. (Genro) (Menispermum el menispermacoj) de falfoliaj, dioikaj, lignecaj lianoj kun nigraj beroj, kies semoj similas al duonluno; 2−4 sp-oj (specioj) e
merg^	【動】【PIV】G. (Genro) (Mergus) de nag^birdoj el la ordo de anseroformaj, kun longa, mallarg^a beko k kun kornaj dentoj, kiuj c^asas bestetojn mergig^ante.
meristem	【植】【PIV】Embria histo, precipe en la apekso de la s^osoj k radikoj, en kiu okazas dividig^a kreskado de la c^eloj k el kiu disvolvig^as la specialig^intaj histoj
merluc^	【動】【PIV】G. (Genro) (Merluccius) de fis^oj el la ordo de gadoformaj, fam. (familio) de gadedoj, i.a. (interalie, inter aliaj): M. merlucius, vivanta c^e la Eu^ro
meruli	【植】【PIV】G. (Genro) (Merulius el korticiacoj) de bazidifungoj, kies karna, glathimenia bazidiujo estas krustoforma au^ en formo de duonc^apo perpendikla al la su
metroksil	【植】【PIV】G. (Genro) (Metroxylon el arekacoj) de arbaj palmoj kun tre grandaj, plume kunmetaj folioj k kun apeksa, granda, plurjara spadiko; c^. (c^irkau^) 5 sp-o
mezembriant	【植】【PIV】G. (Genro) (Mesembryanthemum el aizoacoj) de unu-k du-jaraj, sukulentaj, kus^aj herboj kun folioj unue kruce kontrau^e duopaj, poste alternaj, ofte gran
mezere	【植】【PIV】Sp. (Specio) de dafno (Daphne mezereum), falfolia arbusteto, antau^ ekfoliado kun malgrandaj, rozaj, bonodoraj floroj en glomeruloj sur la tuta longo de
mezokarp	【植】【PIV】La meza tavolo de la perikarpo de frukto. Vd epikarpo, endokarpo.
miceli	【植】【PIV】Funga fadenaro, maso el interplektig^antaj hifoj septaj (c^e superaj fungoj) au^ senseptaj (c^e malsuperaj fungoj), kiu konsistigas la vegetan parton (t
migal	【動】【PIV】Avikulario.
mikoriz	【植】【PIV】Simbioza, nepatogena au^ neforte patogena asocio de fungo kun la radikoj de planto.
mikropil	【植】【PIV】Malgranda malfermaj^o en la tegumento de ovolo, tra kiu la polena tubo penetras en la embrian sakon.
mikrot	【動】【PIV】G. (Genro) (Microtus) de mamuloj el la ordo de rong^uloj, fam. (familio) de musedoj kun malhelkolora dorso k preskau^ nevideblaj oreloj; la sp-oj (speci
miksomatoz	【動】【PIV】Tre kontag^a virusa malsano, trafanta precipe la kuniklon.
mimetism	【動】【PIV】Adaptig^o de kelkaj animaloj al la medio per aspekto, kiu faras ilin malfacile videblaj au^ similaj al alia specio: mimetismo de fasmo. Vd homokromio.
mimul	【植】【PIV】G. (Genro) (Mimulus el skrofulariacoj) de unu-k plur-jaraj herboj k arbustetoj kun unuope akselaj floroj, kies neregula korolo havas cilindran tubon vio
miokastor	【動】【PIV】Kojpo.
mirabil	【植】【PIV】G. (Genro) (Mirabilis el niktagacoj) de unu-k plur-jaraj herboj kun floroj unu-au^ plur-ope c^irkau^itaj de involukro el brakteoj aspektanta kiel tubfor
mirik	【植】【PIV】G. (Genro) (Myrica el mirikacoj) de dioikaj arboj k trunkarbustoj kun ovalaj au^ lancetformaj folioj k kun malgrandaj floroj en spikoj au^ amentoj; subk
miristik	【植】【PIV】G. (Genro) (Myristica el miristikacoj) de dioikaj arboj kun ledecaj, dau^raj folioj k kun malgrandaj floroj; c^. (c^irkau^) 70 sp-oj (specioj) hejmaj de
mirobolan	【植】【PIV】Frukto (myrobolanus) de iuj sp-oj (specioj) de terminalio (precipe Terminalia chebula), uzata por medicino k tanado. -> mirobolan-prunuso.
miroksil	【植】【PIV】G. (Genro) (Myroxylon el fabacoj) de 2−3 sp-oj (specioj) de tropik-Amerikaj arboj kun dau^raj folioj plume kunmetaj; M. balsamum estas ekspluatata por l
mish^ant	【植】【PIV】G. (Genro) (Miscanthus el poacoj) de plurjaraj herboj kun mane arig^intaj spikoj el spiketoj c^irkau^itaj de longaj, silkecaj haroj; tropika g. (genro) 
moldavik	【植】【PIV】Sp. (Specio) de drakocefalo (Dracocephalum moldavica), unujara, aroma herbo hejma en mezvarma Azio, kvazau^hejma en C Eu^ropo k NE Ameriko, pororname ku
moli	【植】【PIV】Sp. (Specio) de skino (Schinus molle), arbo kun pendaj branc^oj k plume kunmetaj folioj; hejma de Andoj g^is S C^ilio, naturigita en Meksiko, kultivata 
molini	【植】【PIV】G. (Genro) (Molinia el poacoj) de 2−4 sp-oj (specioj) de herboj el la mezvarmaj regionoj de Eu^ropo, N Afriko k Azio.
molok	【動】【PIV】Lacertulo (unuspecia g. (genro) Moloch horridus) el la fam. (familio) de agamedoj, kies skvamoj portas pintojn po unu, dornosimilajn, grandajn precipe s
molv	【動】【PIV】G. (Genro) (Molva) de fis^oj el la fam. (familio) de gadedoj, kun tre longforma korpo, fadeno sub la malsupra lipo k tre pintaj dentoj. Vd merlango, bro
momordik	【植】【PIV】G. (Genro) (Momordica el kukurbacoj) de unu-k plur-jaraj herboj grimpaj, c^irohavaj; c^. (c^irkau^) 45 sp-oj (specioj) el la tropika Malnova Mondo, kelk
monard	【植】【PIV】G. (Genro) (Monarda el lamiacoj) de plurjaraj, staraj herboj kun floroj arig^intaj en apeksajn au^ subapeksajn s^ajnverticilojn k c^irkau^itaj de ofte o
monili	【植】【PIV】G. (Genro) (Monilia) de mikroskopaj fungoj (neperfekta formo de neu^rosporo), kies sporoj (konidioj) formig^as c^ene; c^. (c^irkau^) 10 sp-oj (specioj),
monodelf	【動】【PIV】G. (Genro) (Monodelphis) de malgrandaj, S-Amerikaj mamuloj el la ordo de marsupiuloj, fam. (familio) de didelfedoj, sen vera marsupio k kun mallonga vos
monodor	【植】【PIV】G. (Genro) (Monodora el anonacoj) de c^. (c^irkau^) 15 sp-oj (specioj) de arboj k grimpaj tufarbustoj el tropika Afriko, i.a. (interalie, inter aliaj) M
monster	【植】【PIV】G. (Genro) (Monstera el arumacoj) de epifitaj lianoj kun aeraj radikoj k kun grandaj, ledecaj folioj integraj, truaj au^ plume duondividaj; 25 sp-oj (sp
mozasau^r	【動】【PIV】G. (Genro) (Mosasaurus) de maraj, longformaj reptilioj el kretaceo, parencaj al lacertuloj, sed kun membroj en formo de nag^iloj.
mug	【植】【PIV】Sp. (Specio) de pino (Pinus mugo), trunkarbusto au^ arbeto tre parenca al la hoka pino, ofte kun kus^anta trunko; hejma en montaroj de C Eu^ropo k Balka
mukor	【植】【PIV】G. (Genro) (Mucor el mukoracoj el zigomicetoj) de mikroskopaj fungoj, kies sporoj produktig^as en globforma sporujo portata de pedunkleto simpla au^ bra
mukr	【植】【PIV】(mucro) Mallonga, rigida pinto c^e la apekso de organo, i.a. (interalie, inter aliaj) folio, petalo au^ sepalo.
mureks	【動】【PIV】G. (Genro) (Murex) de moluskoj el la klaso de gastropodoj, brankohavaj, kun grandaj dornoj sur la spirala konko; mureksoj sekrecias senkoloran likvon, k
musend	【植】【PIV】G. (Genro) (Mussaenda el rubiacoj) de tropikaj arbustoj staraj, kus^aj au^ grimpaj, hejmaj en Azio, Afriko k Polinezio; c^. (c^irkau^) 100 sp-oj (specio
muskarden	【動】【PIV】Rong^ulo (unuspecia g. (genro) Muscardinus avellanarius) el la fam. (familio) de gliredoj, tre malgranda, kun longa vosto, vivanta en arbaroj, veprejoj 
naj	【動】【PIV】G. (Genro) (Naja) de serpentoj venenaj, kiuj povas plilarg^igi la nukan regionon. Vd kobro.
nandu	【動】【PIV】Reao.
