sargas	{Ｏ}【植】ホンダワラ属（の海藻）
arenari	【植】【PIV】G. (Genro) (Arenaria el kariofilacoj) de malaltaj, unu-au^ plur-jaraj herboj kun g^enerale blankaj floroj k kun ovoidaj kapsuloj postdehiske sesdentaj; 
argani	【植】【PIV】G. (Genro) (Argania el sapotacoj) de nur unu sp. (A. spinosa) el Maroko, dau^rafolia, dorna arbeto kun tre malmola ligno, uzata en lignaj^arto, k kun ve
argemon	【植】【PIV】G. (Genro) (Argemone el papavacoj) de plantoj - unu-, du-k plur-jaraj herboj k unu tufarbusto - enhavantaj flavan au^ orang^an laktosukon, kun profunde 
argiop	【動】【PIV】G. (Genro) (Argiope) de araneuloj, kiuj teksas grandan, vertikalan araneaj^on k s^irmas siajn ovojn en nesto.
argironet	【動】【PIV】Araneulo (unuspecia g. (genro) Argyroneta aquatica), vivanta en sensala akvo, kie g^i teksas klos^forman log^ejon, kiun g^i plenigas per aero. Sin. (sin
arkiteu^t	【動】【PIV】G. (Genro) (Architeuthis) de grandegaj, dekbrakaj cefalopodoj, kies brakoj povas atingi la longon de pluraj metroj. Vd kalmarego.
arkte	【植】【PIV】G. (Genro) (Arctium el asteracoj) de fortikaj, du-k plur-jaraj herboj, kun longpetiolaj, longe korformaj bazfolioj k kun branc^ig^anta infloresko, kies 
arkti	【動】【PIV】G. (Genro) (Arctia) de noktpapilioj, grandaj okulfrape koloraj.
arktostafil	【植】【PIV】G. (Genro) (Arctostaphylos el erikacoj) de arbustetoj, arbustoj k arbetoj kun simplaj, ledecaj folioj, kun blankaj au^ rozaj floroj en apeksaj grapoloj 
armadel	【動】【PIV】1 Kn (Kolektiva nomo) de la mamuloj, apartenantaj al la fam. (familio) de dazipodedoj. 2 Sp. (Specio) de dazipodo (Dasypus novemcinctus) kun 9 vicoj de 
armadilidi	【動】【PIV】G. (Genro) (Armadillidium) de krustacoj, parencaj al onisko.
armeri	【植】【PIV】G. (Genro) (Armeria el plumbagacoj) de malaltaj, tufig^antaj plantoj - plurjaraj herboj k unu arbusteto - kun lancet-au^ lini-formaj folioj k kun kapfor
armilari	【植】【PIV】G. (Genro) (Armillaria el trikolomacoj) de ombrelfungoj kun iom dekuraj lamenoj, sen stipingo, plejparte kun ringo; kosmopolita g. (genro) de c^. (c^irk
armoraci	【植】【PIV】G. (Genro) (Armoracia el brasikacoj) de plurjaraj herboj kun tubera radiko, kun folioj kutime simplaj, la elbazaj grandaj k en rozeto, la nebazaj malgra
artokarp	【植】【PIV】G. (Genro) (Artocarpus el morusacoj) de monoikaj arboj kun kunmeta s^ajnfrukto, devenanta el la kunig^o de la veraj fruktoj (akenoj), de la floroj k de 
arund	【植】【PIV】G. (Genro) (Arundo el poacoj), parenca al fragmito, de kanoj kun dikaj, fortikaj, 2−6 m altaj tigoj k kun multaj spiketoj en granda paniklo; 3 sp-oj (sp
arunk	【植】【PIV】G. (Genro) (Aruncus el rozacoj), parenca al spireo, de nur unu sp. (A. dioicus) de granda herbo plurjara, dioika, el la N hemisfero.
