# ★このファイルに載っている表示だけが使用可能。新しい組み合わせを作ってはいけない。

## [1] 既存の単字master = 2091字 (生物に使われているものを先頭に)
字	語根数	既に何に割り当てられているか
芹	2	celeri={Ｏ}【植】セロリ,オランダミツバ / api={Ｏ}【植】オランダミツバ（属）,>>celer
蚌	2	ostr={Ｏ}《般》カキ（牡蠣）;【貝】イタボガキ（板甫 / mitul={Ｏ}【貝】イガイ（貽貝）（属）,ムール貝
榴	2	granat={Ｏ}【果】ザクロ / punik=【植】【PIV】G. (Genro) (Puni
莺	2	silvi={Ｏ}【鳥】オナガムシクイ（尾長虫喰）（属） / ugvis=【鳥】ウグイス
蛾	2	mote=【動】【PIV】Malgranda, malut / bombiks=【虫】カイコガ,カイコ（蚕）,>>silkrau
萤	2	lampir={Ｏ}【虫】ツチボタル（属）,>>lumverm / luciol=【虫】ゲンジボタル（属）,>>lampiro
蛤	2	meretrik=《Ｎ》【貝】ハマグリ（mang^ebla duv / ruditap=《Ｎ》【貝】アサリ（mang^ebla duva
偶	8	pup={Ｂ}人形;指人形,=gantopupo;【虫】
冠	8	krest={Ｂ}【動】（鳥の）とさか;（鳥の）羽冠;《転》
裂	7	dehisk=【植】裂開性の
球	7	bulb={Ｂ}【植】球根,りん茎;【料】玉ねぎ,=>ce
脉	7	angi=【解】脈管,>>arterio,>>vejno,
原	6	pamp=【植】【生態】【地理】【PIV】S-Amerik
静	6	kvi=【動】【PIV】Estanta en kviec
皮	6	kortik=【解】【植】【PIV】(cortex) 1 Su
药	6	oficin=【植】（分類名で）薬用の;【薬】薬局方の,=ap
心	5	kardi=【貝】ヨーロッパザルガイ（食用の二枚貝）;【解】
壳	5	karapac=【動】（カメ・カニなどの）甲羅（こうら）,甲皮,
槽	5	alveol=【植】【解】（蜂の巣状の）小孔;【解】歯槽,>>
事	4	ke=【動】【PIV】Sp. (Specio) (Ne
蓝	4	vajd=【植】【PIV】1 Tinktura izati
杯	4	kalik={Ｏ}（脚のついた広口の）杯;【カ】聖杯;【植】
鼻	4	rostr={Ｏ}【動】（象の）鼻,>>muzelo;【虫】
线	4	line=【植】リンネソウ（属）
胸	4	torak=【解】胸郭;【虫】（昆虫の）胸部
丝	4	filament=【電】フィラメント;【植】花糸;【解】線条組織
烟	4	tabak={Ｂ}たばこ（煙草）;【植】タバコ,=nikot
植	4	fit=【植】【PIV】Planto vs (vasta
粉	4	polen=［他］【植】受粉させる,授粉する
配	4	kopulaci=［自］【動】交尾する;【生】接合する
索	4	funikl=【植】珠柄;【解】帯（たい）,索,束
鞭	4	flagel=【植】【動】【PIV】Vipoforma fil
甲	4	skarab={Ｏ}【虫】タマオシコガネ,スカラベ（属）;《般
抑	4	inhib=【植】【生】【化】【PIV】(tr (trans
水	3	hidr={Ｏ}【動】ヒドラ;【神】ヒドラ（九つの頭をもつ
缺	3	lakun=【植】【解】【PIV】1 (lacuna) Ma
石	3	diant={Ｂ}【植】ナデシコ（属）,カーネーション,セキ
马	3	onagr=【動】【PIV】Sp. (Specio) de 
牛	3	bov={Ｂ}【動】ウシ（牛）（属）
卵	3	ovol=【動】卵子;【植】胚珠（はいしゅ）
袋	3	marsupi=【動】【PIV】(marsupium) Vent
唇	3	labi=【植】（花冠の）上唇,下唇;【解】唇形のもの
尖	3	apeks=【解】【植】【天】【PIV】1 Konusfor
谷	3	cereal=【植】穀草,穀物,>>greno
腹	3	abdomen=【解】腹部,=ventro;【虫】（昆虫の）腹部
爬	3	ramp=這う;【植】匍匐性の;《転》卑屈な
郁	3	tulip={Ｏ}【植】チューリップ（属）
沟	3	kloak={Ｏ}下水道,下水管;《転》掃きだめ,巣窟（そう
漆	3	urus^i=【植】【PIV】1 Sp. (Specio) d
丛	3	makis=【植】（地中海沿岸の）潅木密生地帯,マキ,>>a
瘤	3	veruk={Ｂ}【医】いぼ;【植】こぶ,小隆起
锥	3	strobil=【植】球果（きゅうか）,=konuso
钳	3	h^elicer=【動】【PIV】La unua para mem
舰	3	fregat={Ｏ}【軍】フリゲート艦;【鳥】グンカンドリ（属
落	2	decidu=【植】【動】【PIV】Defalema.
猫	2	felis=【動】ネコ属（の動物）,>>kato
轮	2	verticil=【植】【PIV】Aro, almenau^ tr
米	2	riz={Ｂ}【植】イネ（稲）（種）;《般》米（粒）;【
根	2	radik=根の;《転》根本的な,根源的な;【植】根生の;【
针	2	pingl={Ｂ}ピン,留め針;【植】針葉
兔	2	kunikl={Ｂ}【動】カイウサギ,イエウサギ（家兎）,>>
师	2	divizi={Ｏ}【軍】師団;【植】（分類学上の）門,>>k
毫	2	mili={Ｏ}【植】雑穀（アワ，キビ，ヒエ，モロコシなど
癌	2	kancer={Ｏ}【病】がん（癌）,>>tumoro;【植】
竹	2	bambuz=【植】【PIV】Tipa g. (genro) 
芥	2	sinap={Ｏ}【植】カラシ（芥子）（属）,>>musta
鲨	2	skval=【魚】ツノザメ（角鮫）（属）
蜜	2	nektar={Ｏ}【神】ネクタル（酒）;《転》甘露,美酒;【
椒	2	piper=【植】【PIV】G. (Genro) (Pipe
杏	2	anzu=【植】【PIV】1 Var. (Vari(aj^
轴	2	aks={Ｂ}軸,軸線;【植】軸;【数】軸;【天】自転軸
桂	2	lau^r={Ｏ}【植】ゲッケイジュ（属）（月桂樹）
栗	2	maron=【果】（栽培された）栗,大栗,>>kas^tan
茧	2	kokon={Ｏ}【虫】繭（まゆ）;（クモの）卵嚢（らんのう
锈	2	ured=【植】【PIV】1 Eksa formgenro
翅	2	pterig=【動】【PIV】Permuskole movat
瓣	2	petal={Ｏ}【植】花弁,花びら,=korolfolio
菱	2	romb={Ｏ}【数】菱形（ひしがた）;【魚】=rombo
臀	2	grop=【動】【PIV】1 La posta parto
辣	2	kapsik={Ｏ}【植】トウガラシ（唐辛子）（属）,>>pa
垛	2	krenel=銃眼のついた;【植】（葉の縁が）鈍鋸歯状の
梅	2	ume=【果】ウメ（梅）の実;【植】ウメ（梅）,=ume
