# ★このファイルに載っている表示だけが使用可能。新しい組み合わせを作ってはいけない。

## [1] 既存の単字master = 2091字 (生物に使われているものを先頭に)
字	語根数	既に何に割り当てられているか
愈疮木	2	gajak=【植】=gvajako（ユソウボク） / gvajak=【植】ユソウボク（属）,グアヤク
木棉	2	kapok=【植】カポック,パンヤ綿（クッション・救命胴衣の / bombak=【植】【PIV】G. (Genro) (Bomb
杜松	2	juniper={Ｏ}【植】ビャクシン（属）;セイヨウネズ / sabin=【植】【PIV】Sp. (Specio) de 
毒蛇	2	vipur={Ｏ}【動】クサリヘビ（鎖蛇）（属）;《般》マム / viper={Ｏ}【動】=vipuro（マムシ）
气管	2	trake=【解】気管,>>bronko;【虫】気管;【植】 / trah^e={Ｏ}【解】気管,>>bronko;【虫】気管;
油菜	2	nap={Ｏ}【農】カブ,カブラ（蕪）,=rapo;【植 / kolz={Ｏ}【植】（セイヨウ）アブラナ,=oleona
猴桃	2	kiv=《Ｎ》【果】キウイ / aktinidi=【植】【PIV】G. (Genro) (Acti
甘薯	2	batat=【植】サツマイモ（薩摩芋）（種）,甘藷（かんしょ / patat=【植】=batato（サツマイモ）
百里香	2	timian={Ｏ}【植】タチジャコウソウ（立麝香草）（属）, / serpil=【植】イブキジャコウソウ（伊吹麝香草）（種）,=
立葵	2	alte={Ｏ}【植】タチアオイ（立葵）（属） / alce=【植】【PIV】G. (Genro) (Alce
红树	2	mangl=【果】マングローブ（の実） / rizofor=【植】【PIV】G. (Genro) (Rhiz
药瓜	2	kolocint=【植】コロシントウリ（種） / kolokint=【植】=kolocinto（コロシントウリ）
萝卜	2	rafan={Ｂ}【植】ダイコン（大根）（種）;【植】ダイコ / rap={Ｏ}【植】カブ,カブラ（蕪）（種）
袋鼠	2	makrop=【動】カンガルー（属）,>>kanguruo / kanguru={Ｏ}【動】カンガルー（一般名）,>>makro
辣根	2	kren={Ｏ}【植】セイヨウワサビ,ワサビダイコン;【料 / vasabi=【植】ワサビ
醋栗	2	rib={Ｂ}【植】スグリ（酸塊）（属）;《般》スグリの / gros={Ｏ}【植】=grosujo;【果】グーズベリー
野鸡	2	tetra={Ｏ}【鳥】エゾライチョウ（蝦夷雷鳥）（種）,= / fazan={Ｏ}【鳥】キジ（雉）（科の総称）
香柑	2	bergamot=【植】ベルガモット（オレンジの一種） / cedrat=【果】シトロン,ブシュカン（仏手柑）
鹤鸵	2	kazuar=【鳥】ヒクイドリ（属） / kasuar=【鳥】=kazuaro（ヒクイドリ）
两性	1	hermafrodit==ambau^seksa,両性具有の,半陰陽の;
乳香	1	oliban=【植】乳香
云杉	1	pice={Ｂ}【植】トウヒ（唐檜）（属）
五色梅	1	lentan=【植】【PIV】1 G. (Genro) (La
亚麻	1	lin={Ｂ}【植】アマ（属）（亜麻）
人心果	1	sapot=【植】【PIV】1 Alia, nelegiti
仙人掌	1	kakt={Ｂ}【植】サボテン（科）
体腔	1	celom=【動】【PIV】Korpa kavo c^e l
假虎刺	1	karis=【植】【PIV】G. (Genro) (Cari
兽相	1	fau^n=【動】動物相,ファウナ,=bestaro
内壳	1	pale=【植】【PIV】(pp (se paroli p
冠羽	1	egret=【鳥】冠羽（かんう）;【服】（帽子の）羽根飾り;
冠鸡	1	kraks=【動】【PIV】G. (Genro) (Crax
冬青	1	ileks={Ｏ}【植】モチノキ（属）;セイヨウヒイラギ,=
决明	1	sena=【植】【PIV】G. (Genro) (Senn
刺背	1	notakant=【動】【PIV】G. (Genro) (Nota
刺胞	1	knid=【動】【PIV】Speco de c^elo, 
刺鱼	1	gasteroste=【魚】イトヨ（属）;トゲウオ,=dornfis^
包虫	1	hidatid=【動】【PIV】Larvo de ekinoko
单峰驼	1	dromedar={Ｏ}【動】ヒトコブラクダ,=unug^iba 
单眼	1	ocel=【動】【PIV】1 Simpla okulo d
卵巢	1	ovari=【解】卵巣;【植】子房
卷须	1	c^ir=【植】【PIV】1 Maldika, volva
厚叶	1	krasul=【植】クラッスラ（属）（ベンケイソウ科の多肉植物
原基	1	primordi=【植】【PIV】Junega au^ juna 
原牛	1	ur={Ｏ}【動】オーロックス（17世紀に絶滅したヨー
变色龙	2	kameleon=カメレオンの;《転》無節操な,変わりやすい / h^ameleon=【動】=kameleono（カメレオン）
叶柄	1	petiol=【植】葉柄,=folitigo
叶绿	1	klorofil=【植】葉緑素
吐根	2	ipek=【植】【PIV】1 Sp. (Specio) ( / ipekakuan=【PIV】= ipeko.
向日葵	1	heliant=【植】ヒマワリ（向日葵）（属）,=sunflor
含羞	1	mimoz={Ｏ}【植】ミモザ,オジギソウ（属）,>>aka
吸血虫	1	hirud={Ｏ}【動】ヒル
吸血鬼	1	vampir={Ｏ}吸血鬼;【動】チスイコウモリモドキ,>>d
吻合	1	anastomoz=【解】【植】【PIV】Kunig^a punkt
咬虫	1	psok=【動】【PIV】G. (Genro) (Psoc
咬鹃	1	trogon=【動】【PIV】G. (Genro) (Trog
啄木	1	peg={Ｏ}【鳥】キツツキ（啄木鳥）（科の総称）;アオ
囊尾虫	1	cisticerk=【動】【PIV】Larvo de iuj ten
回虫	1	askarid=【動】回虫
圆虫	1	strongil=【動】【PIV】G. (Genro) (Stro
圆锥	1	panikl=【解】皮下脂肪;【植】円錐花序
地衣	1	liken={Ｏ}【植】地衣;【病】苔蘚（たいせん）
坚果	1	avel={Ｏ}【果】ハシバミの実,ヘーゼルナッツ
墨鱼	1	sepi={Ｏ}【動】コウイカ（類）;《般》イカ（烏賊）,
壁虎	1	lacert={Ｂ}【動】トカゲ（類）;【動】コモチカナヘビ（
多角	1	poligon={Ｏ}【植】タデ（蓼）（属）;【数】多角形,=p
夜莺	1	najtingal={Ｂ}【鳥】ナイチンゲール,サヨナキドリ（小夜鳴
夜鹰	1	kaprimulg=【鳥】ヨタカ（属）
大潮	1	sizigi=【天】【植】【PIV】1 Konjunkcio 
大黄	1	rabarb={Ｏ}【植】ダイオウ（大黄）（属）;【料】ルバー
天竹	1	nandin=《Ｎ》【植】ナンテン（南天）（specio el
天蛾	1	sfing=【動】【PIV】1 G. (Genro) (Sp
天鹅	1	cign={Ｂ}【鳥】ハクチョウ（白鳥）;《転》詩聖
头甲	1	cefalaspid=【動】【PIV】G. (Genro) (Ceph
女贞	1	ligustr=【植】イボタノキ（属）
宝贝	1	cipre=【動】【PIV】G. (Genro) (Cypr
小羊驼	1	vikun=【動】ビクーニャ（ラマに似たアンデス産の偶蹄類）
山柑	1	kapor={Ｏ}【植】フウチョウボク（属）,ケーパー（種）
山梅花	1	filadelf=【植】バイカウツギ（属）
山猫	1	link={Ｏ}【動】オオヤマネコ（属）（大山猫）
巨嘴鸟	2	tukan={Ｏ}【鳥】オオハシ（大嘴）（科） / ramfast=【PIV】= tukano.
巨蛇	1	piton=【動】ニシキヘビ（錦蛇）（属）
巩膜	1	sklerot=【解】【植】【PIV】1 (sclera) Fi
帝王花	1	prote=【植】【PIV】1 G. (Genro) (Pr
幼虫	1	larv={Ｂ}【虫】幼虫;【動】幼生,>>imagino
开心果	1	pistak={Ｏ}【果】ピスタチオ（果実・種子）
心皮	1	karpel=【植】【PIV】Florfolio, sur k
忍冬	1	kaprifoli=【植】スイカズラ（科）;=lonicero
总苞	1	involukr=【植】総苞
息肉	1	polip={Ｏ}【動】ポリプ;【医】ポリープ,茸腫（じょう
悬铃木	1	platan={Ｂ}【植】プラタナス,スズカケノキ（篠懸の木）
成虫	1	imagin=【虫】成虫,成体,>>larvo,>>pupo
扁桃	2	migdal={Ｏ}【果】アーモンド / tonsil={Ｏ}【解】扁桃腺（へんとうせん）
担子	1	bazidi=【植】【PIV】Cilindra, klabfo
接骨	1	sambuk={Ｏ}【植】ニワトコ（接骨木）（属）
斑马	1	zebr={Ｏ}【動】シマウマ（縞馬）
旋花	1	kalistegi=【植】ヒルガオ（属）,>>konvolvulo
无花果	1	fig={Ｂ}【果】イチジク
春化	2	vernaliz=【植】【PIV】(tr (transitiva) / jaroviz=【PIV】= vernalizi.
月鱼	1	lamprid=【動】【PIV】Granda mara fis^
木栓	1	suber=【植】【PIV】Histo de vaskulp
杜鹃	1	azale=【植】アザレア;ツツジ（躑躅）,>>rodode
条虫	1	teni={Ｏ}【動】ジョウチュウ（条虫）,サナダムシ（真
松鸦	1	garol={Ｏ}【鳥】カケス（属）
松鼠	1	sciur={Ｂ}【動】リス（栗鼠）（科の総称）
极乐鸟	1	paradize=【鳥】フウチョウ（風鳥）,ゴクラクチョウ（極楽鳥
柠檬	1	limon=【果】レモン,>>citrono
树瘤	1	gajl={Ｏ}【植】虫こぶ,ふし,没食子（もっしょくし）
核果	1	drup=【植】石果（せきか）（ウメ、モモなど堅い核をもつ
核桃	1	jugland={Ｏ}【果】クルミ（胡桃）;【植】クルミ（属）,
根芽	1	draj^=【植】【PIV】S^oso, kiu kresk
根茎	1	rizom=【植】根茎,地下茎
植相	1	flau^r=【植】植物相,フロラ,=vegetaj^aro
椰干	1	kopr=【植】コプラ（ココヤシの胚乳を乾燥したもの）
橄榄	1	oliv={Ｂ}【果】オリーブ
毒参	1	koni=【植】ドクニンジン（属）
毒芹	1	cikut={Ｏ}【植】ドクゼリ（属）;ドクニンジンの毒
毒苹	1	mancinel=【植】マンチニール（有毒な樹液を分泌する熱帯アメ
毒麦	1	lol={Ｏ}【植】ドクムギ（属）,ライグラス
比目鱼	1	pleu^ronekt={Ｏ}【魚】ツノガレイ（属）,>>platfis
毛癣菌	2	trikofit=【植】【医】【PIV】G. (Genro) (T / trih^ofit=【PIV】= trikofito.
水仙	1	narcis={Ｏ}【植】スイセン（水仙）（属）
水母	1	meduz={Ｏ}【動】クラゲ（海月・水母）
水牛	1	bubal={Ｏ}【動】スイギュウ（水牛）
水苏	1	staki=【植】【PIV】G. (Genro) (Stac
河狸	1	kastor={Ｏ}【動】ビーバー（属）;ビーバーの毛皮
泽泻	1	alism=【植】【PIV】G. (Genro) (Alis
浆果	1	ber={Ｂ}（イチゴ・ブドウなど汁気の多い）実;【植】
海参	1	holoturi=【動】ナマコ（海鼠）（綱の総称）,=markol
海星	1	asteri=【動】ヒトデ,=marstelo
海月	1	au^reli=【動】【PIV】G. (Genro) (Aure
海桶	1	salp=【動】【PIV】G. (Genro) (Salp
海燕	1	procelari=【動】【PIV】G. (Genro) (Proc
海胆	2	ekin=【動】ウニ,=markas^tano / eh^in=【PIV】= ekino.
海葵	1	aktini=【動】【化】【PIV】1 Rozosimila 
海豚	1	delfen={Ｏ}【動】イルカ
海豹	1	fok={Ｏ}【動】ゴマフアザラシ（属）;《般》アザラシ
渡鸦	1	korak=【鳥】ワタリガラス
滑鱼	1	bleni=【動】【PIV】G. (Genro) (Blen
灌木	1	arbust={Ｏ}低木,小低木;【植】小低木
火烈鸟	1	flameng=【動】【PIV】Fenikoptero. -> 
火鸡	1	meleagr={Ｏ}【鳥】シチメンチョウ（属）（七面鳥）
灵长	1	primat=【動】霊長類（の動物）
熊猫	1	pand=【動】パンダ
燕雀	1	fring={Ｏ}【鳥】アトリ（属）
燕麦	1	aven={Ｂ}【植】カラスムギ（烏麦）（属）;【植】エン
爬虫	1	sau^r=【動】【PIV】Kn (Kolektiva no
牡丹	1	peoni={Ｏ}【植】ボタン（牡丹）（属）,シャクヤク（芍
牡牛	1	tau^r=《稀》雄牛,種牛,=virbovo;【動】ウシ（
牧草	2	gres=牧草,芝草,>>herbo / medikag=【植】ウマゴヤシ（属）,>>luzerno
狮鹰	1	grif=【神】グリュプス,グリフォン（頭と翼が鷲で胴体が
猪牙花	1	eritroni=【植】【PIV】G. (Genro) (Eryt
猫头鹰	1	strig={Ｂ}【鳥】フクロウ（梟）（の類）
玉米	1	maiz={Ｂ}【植】トウモロコシ（種）;トウモロコシの実
球虫	1	kokcidi=【動】【PIV】Subklaso (Coccid
琴鸡	1	tetr={Ｏ}【鳥】クロライチョウ（黒雷鳥）（種）
瑞香	1	dafn=【植】ジンチョウゲ（属）
甘草	1	gliciriz={Ｏ}【植】カンゾウ（甘草）（属）
甘菊	1	kamomil={Ｏ}【植】カミツレ,カミルレ（_Matrica
甜柠	2	limed=【植】【PIV】1 Sp. (Specio) d / limet=【PIV】(evi (evitinda)) = 
甜菜	1	bet={Ｂ}【植】ビート,テンサイ（甜菜）,サトウダイ
生菜	1	laktuk={Ｏ}【植】レタス,チシャ;【植】アキノノゲシ（
电鱼	1	gimnot=【動】ギムノートゥス（属）（デンキウナギ目の電気
疮疤	1	skab=【植】【PIV】Plantmalsano, ka
瘦果	1	aken=【植】【PIV】1 (ss (striktase
白蚁	1	termit={Ｏ}【虫】シロアリ（白蟻）（目の総称）
白鱼	1	alburn=【魚】ブリーク（ヨーロッパ産のコイ科の淡水魚）
百合	1	lili={Ｂ}【植】ユリ（属）（百合）
盘尾	1	onkocerk=【動】【PIV】G. (Genro) (Onch
盲蛛	1	opilion=【動】【PIV】G. (Genro) (Opil
眼镜蛇	1	kobr=【動】【PIV】Kn (Kolektiva no
睡莲	1	nimfe=【植】スイレン（睡蓮）（属）,=akvolili
睡鼠	1	glir=【動】オオヤマネ,=dormomuso
矛尾鱼	1	celakant=【魚】シーラカンス
石南	1	erik={Ｏ}【植】エリカ（属）,ヒース
石松	1	likopodi=【植】ヒカゲノカズラ（属）
硬木	1	tekton=【植】【PIV】1 G. (Genro) (Te
硬翅	1	elitr=【虫】（甲虫類の）翅鞘（ししょう）,さやばね
磷虾	1	eu^fau^zi=【動】【PIV】G. (Genro) (Euph
秃鹰	1	vultur={Ｂ}【鳥】コンドル（種）,=kondoro;《
秋水仙	1	kolc^ik=【植】コルチカム（属）,イヌサフラン
秧鸡	1	ral=【動】【PIV】G. (Genro) (Rall
穿山甲	1	manis=【動】【PIV】G. (Genro) (Mani
竹节虫	1	fasm=【動】【PIV】Vulgara nomo (Ph
红果	1	arbut=【果】アルブツスの実（ヘビイチゴに似た赤く丸い果
红虫	1	koc^=【動】【PIV】1 Sp. (Specio) (
纤毛	1	cili=【動】繊毛;【植】細毛
纸草	2	papir=【解】【PIV】Papiruso (en kun / papirus={Ｏ}【植】パピルス（種）;【史】パピルス紙;パ
绒膜	1	kori=【解】【動】【PIV】1 Ekstera par
续断	1	dipsak=【植】ナベナ（属）
绵枣儿	1	scil=【植】【PIV】G. (Genro) (Scil
羊菊	1	arnik={Ｏ}【植】ウサギギク（兎菊）（属）;アルニカ,
美洲鸵	1	rea=【動】【PIV】G. (Genro) (Rhea
翠鸟	1	alcion={Ｏ}【鳥】カワセミ
翼展	1	envergur=【海】帆幅;【空】翼幅;【鳥】翼幅
翼甲	1	pteraspid=【動】【PIV】G. (Genro) (Pter
耳猫	1	karakal=【動】【PIV】Sp. (Specio) de 
聚伞	2	cum=【植】【PIV】(cyma) Decentra  / kim=【PIV】= cumo.
肝草	1	hepatik=【植】スハマソウ（属）,=hepatherbo
胎盘	1	placent=【解】胎盤;【植】胎座
胡萝卜	1	karot={Ｂ}【植】ニンジン（人参）
脆樱	1	bigarel=【植】【PIV】Rug^a k blanka c
脊索	1	h^ord=【動】【PIV】(chorda dorsalis
腊肠树	1	kasi=【植】【PIV】G. (Genro) (Cass
腔肠	1	celenter=【動】【PIV】Interna kavo de 
腰果	1	akaj^u=【果】カシューの果実
自发	2	spontane={Ｏ}自発的な,自然に起こる,自然発生的な;【植 / spontan=自発的な,自然に起こる,=spontanea
臭虫	1	cim={Ｏ}【虫】ナンキンムシ（南京虫）;カメムシ（亀
芒果	1	mang={Ｏ}【果】マンゴー（の実）
芙蓉	1	hibisk=【植】ハイビスカス,フヨウ（属）
芝麻	1	sezam=【植】ゴマ（胡麻）（属）;【料】ごま（ゴマの種子
花冠	1	korol={Ｏ}【植】花冠（かかん）,=petalaro
花序	1	infloresk=【植】花序
花生	1	arakid=【植】ラッカセイ（落花生）（属）,>>ternu
苦艾	1	absint={Ｏ}【植】ニガヨモギ（苦艾）（種）;=absi
苦菜	1	endivi={Ｏ}【植】キクヂシャ,エンダイブ
茎叶体	1	korm=【植】【PIV】1 Vegeta korpo d
菌丝	1	hif=【植】【PIV】Fadenforma eleme
菠菜	1	spinac={Ｂ}【植】ホウレンソウ（菠薐草）（属）
菠萝	1	ananas={Ｏ}【果】パイナップル
菠萝蜜	1	jakv=【植】【PIV】Frukto (s^ajnfru
落松	1	larik={Ｏ}【植】カラマツ（属）
葫芦	1	kalabas=【植】ヒョウタンノキ,フクベノキ;【植】ヒョウタ
蓝菊	1	cejan={Ｏ}【植】ヤグルマギク（矢車菊）
蔓春	1	vink={Ｏ}【植】ツルニチニチソウ（蔓日々草）（属）
薄荷	1	ment={Ｏ}【植】ハッカ（属）（薄荷）,ミント
藤壶	1	balan=【動】【PIV】1 G. (Genro) (Ba
虎鲸	1	ork=【動】シャチ（鯱）（種）
虾虎	1	gobius=【魚】ハゼ（科の総称）;ゴビウス（属）
蛇尾	1	ofiur=【動】【PIV】G. (Genro) (Ophi
蛇麻	1	lupol={Ｏ}【植】ホップ（種）
蛤蟆	1	buf={Ｏ}【動】ヒキガエル（蟇蛙）（属）,ガマ（蝦蟇
蛤蟆鱼	1	lofi=【動】【PIV】G. (Genro) (Loph
蜂斗菜	1	petazit=《Ｎ》【植】フキ（蕗）（genro _Petas
蜂草	1	melis={Ｏ}【植】メリッサ,セイヨウヤマハッカ（属）
蜡蝉	1	fulgor=【動】【PIV】G. (Genro) (Fulg
蝇子草	1	silen=【植】【PIV】G. (Genro) (Sile
蝎鱼	1	skorpen=【動】【PIV】G. (Genro) (Scor
血虫	2	bilharzi=【PIV】(ark. (arkaismo, ar / skistosom=【動】【PIV】G. (Genro) (Schi
裸子	1	gimnosperm=【植】裸子の,裸子植物の
西番莲	1	barbaden=【植】【PIV】1 Sp. (Specio) d
角豆	1	karob={Ｏ}【果】イナゴマメ（の実）
触手	1	tentakl=【動】触手,触腕
触角	1	anten={Ｏ}【虫】触角;【通】アンテナ
警笛	1	siren=【機】サイレン;【動】カイギュウ（海牛）類
象甲	1	kurkuli=【虫】ゾウムシ（科）,=bekskarabo;シ
贝母	1	fritilari=【植】バイモ（貝母）（属）;ヨウラクユリ
质体	1	plastid=【生】【植】【PIV】Organeto de v
足根	1	tars=【解】足根骨;【虫】ふ節
蹄兔	2	prokavi=【動】【PIV】G. (Genro) (Proc / hirak=【聖】【PIV】= prokavio.
车前	1	plantag={Ｏ}【植】オオバコ（大葉子）（属）
软体	1	molusk={Ｏ}【動】軟体動物
酸模	1	okzal={Ｏ}【植】スイバ（酸葉）（種）
酸橙	1	bigarad=【植】【PIV】1 Subsp. de citr
野李	1	prunel={Ｏ}【果】スピノサスモモの実
野牛	1	bizon={Ｏ}【動】バイソン,ヤギュウ（野牛）,>>Am
野芝麻	1	lami=【植】オドリコソウ（属）;【神】ラミア（ギリシア
野豌豆	1	vici=【植】ソラマメ（空豆）（属）（ソラマメ、カラスノ
金丝燕	1	salangan=【動】【PIV】G. (Genro) (Coll
金合欢	1	akaci={Ｏ}【植】アカシア（属）
针鱼	1	belon=【動】【PIV】G. (Genro) (Belo
钩虫	1	ancilostom=【動】【PIV】G. (Genro) (Ancy
钱虫	1	numulit=【動】【PIV】G. (Genro) (Numm
铁杉	1	cug=【植】【PIV】G. (Genro) (Tsug
铁线草	1	adiant=【植】クジャクシダ（属）,アジアンタム,=har
铃兰	1	konval={Ｂ}【植】スズラン（属）（鈴蘭）,>>majf
银莲	1	anemon={Ｏ}【植】アネモネ
锹甲	1	lukan=【虫】クワガタムシ（属）,=cervskarab
闭花	1	klejstogam=【植】【PIV】(pp (se paroli p
问荆	1	ekvizet=【植】スギナ（属）,>>mang^ebla ek
隆鸟	1	epiornit=【鳥】エピオルニス（絶滅した大型の走鳥類の鳥）
雄蕊	1	stamen={Ｂ}【植】おしべ,雄蕊（ゆうずい）,>>pis
雌雄	1	androgin=【植】（同一花序に）雌雄両花のある
雪松	1	cedr={Ｏ}【植】ヒマラヤスギ属;セイヨウスギ,シーダ
雪铃	1	soldanel=【植】【PIV】G. (Genro) (Sold
青柠	1	lime=【植】【PIV】1 Sp. (Specio) d
鞭草	1	verben={Ｏ}【植】クマツヅラ（熊葛）（属）;【園】バー
颈卵器	1	arkegoni=【植】【PIV】Inseksa reproduk
颈鹿	1	g^iraf={Ｏ}【動】キリン
颗石	1	kokolit=【植】【PIV】1 G. (Genro) Coc
风信子	1	hiacint={Ｏ}【植】ヒアシンス（属）
食袋	1	krop={Ｏ}【鳥】そ嚢（のう）;【病】=strumo（
香桃	1	mirt={Ｏ}【植】ギンバイカ（銀梅花）（属）,ミルテ（
香脂	1	ladan=【植】【PIV】Aroma gumo, live
香茅	1	citronel=【植】【PIV】Sp. (Specio) de 
香菜	1	koriandr=【植】コエンドロ（属）;コリアンダー
香豌豆	1	latir=【植】レンリソウ（属）
马车	2	fiakr={Ｏ}辻馬車,>>dros^ko,>>kales / faeton=フェートン（無蓋 の軽四輪馬車）;【鳥】ネッタイ
驯鹿	1	rangifer=【動】=boaco（トナカイ）
驼鹿	1	alk={Ｏ}【動】オオシカ
高粱	1	sorg={Ｂ}【植】モロコシ（蜀黍）（属）;《般》コウリ
魔芋	1	amorfofal=【植】コンニャク（蒟蒻）
鳄梨	1	avokad={Ｏ}【果】アボカド（の実）
鸟巢兰	1	neoti=【植】【PIV】G. (Genro) (Neot
鸡油菌	1	kantarel=【菌】アンズタケ（属）
鹅膏	1	amanit=【菌】テングタケ（天狗茸）,ベニテングタケ
鹦螺	1	nau^til=【動】オウムガイ（属）
鹦鹉	1	psitak=【動】【PIV】Papago (unuspeci
麦草	1	kvik=【植】【PIV】1 (ss (striktase
麦角	1	ergot=【植】麦角（ばっかく）;【鳥】蹴爪（けづめ）,=
黄昏鸟	1	hesperornit=【動】【PIV】G. (Genro) (Hesp
黄杨	1	buks={Ｏ}【植】ツゲ（黄楊）
黄米	1	mile=《Ｎ》【植】キビ（黍）（種）,>>panico
黄麻	1	jut=【織】ジュート;【植】=jutplanto（ツナ
黑穗病	1	smut=【植】黒穂病
黑麦	1	sekal={Ｂ}【植】ライムギ（属）;ライ麦（穀物）
鼠尾草	1	salvi={Ｏ}【植】サルビア（属）,アキギリ（属）;セー
龙胆	1	gencian={Ｏ}【植】リンドウ（属）
龙虾	1	omar={Ｏ}【動】ウミザリガニ（属）,オマールエビ,ロ
龙血树	1	dracen=【植】【PIV】G. (Genro) (Drac

### [2b] 生物以外の多字master(参考)
金盐(bismutat) 脉炎(arteriit) 建筑(arkitekt) 君主(monark) 压计(manometr) 气学(aerologi) 气计(aerometr) 菌学(bakteriologi) 担子菌(bazidimicet) 矿盐(selenat)
藻藻(bangific) 外科(kirurgi) 抽筋(spasm) 沥青(pec^) 糖尿(diabet) 无政(anarki) 查封(sekvestr) 专制(despot) 甘油(glicerin) 信风(trad)
毒疮(s^ankr) 帆船(skun) 气学家(aerolog) 高计(altimetr) 古学家(arh^eolog) 古学(arh^eologi) 菌学家(bakteriolog) 心病(kardiopati) 髓病(medolopati) 中肠(mesenter)
硫盐(sulfinat) 百万(milion) 经济(ekonomi) 化学(ĥemi) 暴风(tempest) 天使(anĝel) 物理(fizik) 神经(nerv) 预算(buĝet) 制服(uniform)
直升机(helikopter) 合唱(ĥor) 花环(girland) 黄铜(latun) 椭圆(oval) 无产(prolet) 反射(reflekt) 雪车(sled) 赛场(stadion) 离子(jon)
数据(daten) 特许(patent) 精液(sperm) 发电(generator) 蛋白(protein) 甲状(tiroid) 硅盐(siliciat) 堂区(parok) 耻骨(pub) 催眠(hipnot)
尿素(ure) 自治(au^tonom) 鸦片(opi) 柴油(dizel) 介电(dielektrik) 短裤(kulot) 龙骨(karen) 修院(klostr) 霍乱(h^oler) 草原(step)
院长(abat) 结核(ftiz) 游击(geril) 软骨(kondr) 肛交(sodomi) 偏执(bigot) 驱魔(ekzorc) 圣餐(komuni) 阳具(kac) 性病(vener)
酸乳(jogurt) 八度(oktav) 地铁(metro) 主祭(pontifik) 红胞(eritrocit) 相关(korelativ) 戏仿(travesti) 地籍(katastr) 饰带(pasament) 三角(trigonometri)
胆醇(kolesterol) 垂体(hipofiz) 时效(preskript) 微风(zefir) 异形(alotrop) 脓疮(impetig) 心医(psikiatri) 火枪(musked) 递归(rikur) 多色(pleokro)
草坪(gazon) 摄氏(celsius) 史诗(epik) 煽动(demagog) 咽炎(angin) 鱼龙(iktiosau^r) 舔吸(sesdeknau^) 位似(homotet) 激素(stimulin) 结石(kalkulus)
混乱(kaos) 长椅(divan) 亚甲(metilen) 蛋白霜(mering) 微分同胚(difeomorf) 同伦(homotopi) 等分(mitoz) 正视(eu^metrop) 尿酸盐(urat) 帆索(bras)
电疗(faradiz) 击倒(nokau^t) 短长短(amfibrak) 群岛(arkipelag) 石棉(asbest) 先例(precedenc) 掌骨(metakarp) 白喉(difteri) 潮解(likvesk) 炼金(alkemi)
肾盆(pjel) 疑病(hipokondri) 批文(pamflet) 寡头(oligark) 腺病(adenpati) 农学(agronom) 射计(aktinometr) 射疗(aktinoterapi) 高测(altometri) 抗粒(antikorpuskl)
树学(arbologi) 古主义(arh^aism) 原型(arketip) 矿化(arsenid) 节炎(artrit) 囊菌(askomicet) 星学(astrologi) 菌杀(baktericid) 菌吞(bakteriofag) 经爱(bibliofil)
苔植(brifit) 支镜(bronkoskop) 囊炎(bursit) 胞学(c^elologi) 青植(cianfit) 神主义(deism) 神家(deist) 皮翅(dermapter) 皮炎(dermatit) 十二声(dodekafoni)
电解(elektrolit) 电计(elektrometr) 电镜(elektroskop) 电型(elektrotip) 栓症(emboloz) 胚植(embrifit) 胚源(embrigenez) 胚切(embriotomi) 食管镜(ezofagoskop) 咽镜(faringoskop)
声计(fonometr) 光疗(fototerapi) 拍型(fototip) 气生(gasogen) 胃炎(gastrit) 胃镜(gastroskop) 地记(geograf) 地学家(geolog) 地学(geologi) 地测(geometri)
糖血(glukemi) 土学家(grundolog) 卤化(halogenid) 乐主义(hedonism) 乐家(hedonist) 超感(hiperestez) 同形(homomorf) 鱼学家(ih^tiolog) 肠炎(ileit) 虫杀(insekticid)
等形(izomorfi) 心学家(kardiolog) 斜计(klinometr) 色计(kolormetr) 色测(kolormetri) 冠炎(koronariit) 木植(magnolifit) 械疗(meh^anoterapi) 髓炎(mjelit) 神经学(nervologi)
核配(nuklegami) 目镜(oftalmoskop) 振具(oscilator) 渗计(osmozmetr) 骨病(osteopati) 耳镜(otoskop) 卵源(ovogenez) 围心(perikard) 火硫盐(pirosulfat) 铅盐(plumbat)
雨计(pluvmetr) 肺炎(pneu^monit) 政学家(politikolog) 政学(politikologi) 射声(radiofon) 速计(rapidometr) 直肠镜(rektumoskop) 震记(seismograf) 震学(seismologi) 谱镜(spektroskop)
锡盐(stanat) 立体声(stereofon) 立体镜(stereoskop) 口镜(stomatoskop) 闪镜(stroboskop) 神治(teokrat) 毒学家(toksolog) 毒学(toksologi) 气管炎(trah^eit) 气管切(trah^eotomi)
侧柏(tujan) 尿学(urinologi) 无感(anestez) 磷盐(fosfat) 全形(holomorf) 心记(kardiograf) 氯盐(klorat) 中子(mezon) 氮盐(nitrat) 远声(telefon)
无时(neniam) 无量(neniom) 无之(nenies) 无因(nenial) 无样(neniel) 何时(kiam) 何量(kiom) 何之(kies) 何因(kial) 何样(kiel)
全时(ĉiam) 全量(ĉiom) 全之(ĉies) 全因(ĉial) 全样(ĉiel) 某时(iam) 某量(iom) 某之(ies) 某因(ial) 某样(iel)
那时(tiam) 那量(tiom) 那之(ties) 那因(tial) 那样(tiel) 不顾(malgraŭ) 学家(log) 主义(ism) 四月(april) 八月(aŭgust)
十月(oktobr) 一月(januar) 十一月(novembr) 十二月(decembr) 三月(mart) 九月(septembr) 五月(maj) 七月(juli) 二月(februar) 六月(juni)
