圏外字	延べ出現	最近傍JIS字	形の近さ	手動対応字	真対の近さ	真対の順位(全JIS)	真対の順位(常用相当)	透明
颁	6	頒	0.754					判定不能
颠	6	顛	0.787					判定不能
鲤	6	鯉	0.862					判定不能
尔	5	尓	0.792					判定不能
懒	5	瀬	0.686					判定不能
拥	5	押	0.818					判定不能
胁	5	肪	0.704					判定不能
谈	5	淡	0.671					判定不能
谓	5	消	0.667					判定不能
败	5	畋	0.753					判定不能
贬	5	貶	0.660					判定不能
镐	5	稿	0.753					判定不能
镑	5	榜	0.722					判定不能
饲	5	惆	0.674					判定不能
鸥	5	鴎	0.697					判定不能
鹊	5	鷁	0.653					判定不能
齐	5	吝	0.701					判定不能
仅	4	俣	0.636					判定不能
劲	4	助	0.673					判定不能
呕	4	咽	0.678					判定不能
啃	4	哨	0.721					判定不能
垒	4	堊	0.664					判定不能
孙	4	秤	0.608					判定不能
枫	4	柤	0.695					判定不能
桨	4	梨	0.675					判定不能
润	4	涸	0.752					判定不能
滩	4	雕	0.654					判定不能
牺	4	栖	0.762					判定不能
琐	4	瑣	0.752					判定不能
矫	4	矮	0.621					判定不能
硕	4	碩	0.738					判定不能
绎	4	烽	0.636					判定不能
缚	4	愽	0.733					判定不能
腾	4	膾	0.690					判定不能
荆	4	刳	0.692					判定不能
贫	4	貧	0.677					判定不能
辉	4	解	0.629					判定不能
这	4	迭	0.689					判定不能
递	4	遇	0.703					判定不能
锄	4	耡	0.733					判定不能
锦	4	棉	0.766	錦	0.681	3	2	yes
难	4	雉	0.717	難	0.569	198	28	no
饺	4	蛟	0.669					判定不能
驰	4	腫	0.656					判定不能
鹉	4	鷆	0.641					判定不能
厕	3	厠	0.735					判定不能
吗	3	鳴	0.645					判定不能
坠	3	墜	0.653					判定不能
奋	3	杳	0.702					判定不能
娇	3	姚	0.673					判定不能
怀	3	怦	0.703					判定不能
拟	3	揖	0.687					判定不能
晓	3	眺	0.649					判定不能
术	3	木	0.825					判定不能
杨	3	杤	0.695					判定不能
桦	3	樵	0.693					判定不能
浊	3	油	0.774					判定不能
涨	3	漲	0.712					判定不能
玛	3	羯	0.622					判定不能
绕	3	綫	0.649					判定不能
脏	3	朖	0.707					判定不能
腻	3	膩	0.787					判定不能
苏	3	芬	0.607					判定不能
萤	3	苣	0.679					判定不能
讥	3	迸	0.649					判定不能
讹	3	枇	0.680					判定不能
赚	3	賺	0.754					判定不能
鉴	3	篁	0.627					判定不能
锣	3	螺	0.623					判定不能
锰	3	糯	0.666					判定不能
阵	3	陣	0.686					判定不能
顺	3	順	0.791					判定不能
驮	3	肋	0.633					判定不能
亩	2	市	0.743					判定不能
亿	2	仏	0.646					判定不能
凿	2	黹	0.710					判定不能
刚	2	刪	0.774					判定不能
叹	2	収	0.715					判定不能
啰	2	唖	0.636					判定不能
增	2	憎	0.770					判定不能
妇	2	妁	0.675					判定不能
宾	2	官	0.603					判定不能
户	2	戸	0.613					判定不能
拨	2	援	0.731					判定不能
挣	2	抂	0.666					判定不能
灿	2	畑	0.763					判定不能
础	2	砥	0.702					判定不能
绊	2	拌	0.661					判定不能
翘	2	翅	0.648					判定不能
蜗	2	蝎	0.767					判定不能
讨	2	忖	0.739					判定不能
诡	2	怩	0.656					判定不能
赠	2	贈	0.760					判定不能
轿	2	餅	0.608					判定不能
辐	2	幅	0.701					判定不能
辙	2	徹	0.716					判定不能
迟	2	近	0.687					判定不能
闲	2	困	0.669					判定不能
闻	2	閹	0.694					判定不能
际	2	阮	0.638					判定不能
颖	2	穎	0.721					判定不能
颗	2	顆	0.834					判定不能
骂	2	買	0.596					判定不能
乡	1	夢	0.537					判定不能
凤	1	凩	0.664					判定不能
篱	1	籥	0.657					判定不能
虽	1	凩	0.654					判定不能
诞	1	涎	0.757					判定不能
赖	1	頼	0.707					判定不能
铭	1	銘	0.639					判定不能
锹	1	愀	0.731					判定不能
顷	1	頃	0.711					判定不能
氢	0	氛	0.645					判定不能
贷	0	貸	0.664					判定不能
